number,hm_symbol,schoenflies_symbol,point_group,lattice_system,centering
1,P1,C1^1,C1,Triclinic,P
2,P-1,Ci^1,Ci,Triclinic,P
3,P2,C2^1,C2,Monoclinic,P
4,P21,C2^2,C2,Monoclinic,P
5,C2,C2^3,C2,Monoclinic,C
6,Pm,Cs^1,Cs,Monoclinic,P
7,Pc,Cs^2,Cs,Monoclinic,P
8,Cm,Cs^3,Cs,Monoclinic,C
9,Cc,Cs^4,Cs,Monoclinic,C
10,P2/m,C2h^1,C2h,Monoclinic,P
11,P21/m,C2h^2,C2h,Monoclinic,P
12,C2/m,C2h^3,C2h,Monoclinic,C
13,P2/c,C2h^4,C2h,Monoclinic,P
14,P21/c,C2h^5,C2h,Monoclinic,P
15,C2/c,C2h^6,C2h,Monoclinic,C
16,P222,D2^1,D2,Orthorhombic,P
17,P2221,D2^2,D2,Orthorhombic,P
18,P21212,D2^3,D2,Orthorhombic,P
19,P212121,D2^4,D2,Orthorhombic,P
20,C2221,D2^5,D2,Orthorhombic,C
21,C222,D2^6,D2,Orthorhombic,C
22,F222,D2^7,D2,Orthorhombic,F
23,I222,D2^8,D2,Orthorhombic,I
24,I212121,D2^9,D2,Orthorhombic,I
25,Pmm2,C2v^1,C2v,Orthorhombic,P
26,Pmc21,C2v^2,C2v,Orthorhombic,P
27,Pcc2,C2v^3,C2v,Orthorhombic,P
28,Pma2,C2v^4,C2v,Orthorhombic,P
29,Pca21,C2v^5,C2v,Orthorhombic,P
30,Pnc2,C2v^6,C2v,Orthorhombic,P
31,Pmn21,C2v^7,C2v,Orthorhombic,P
32,Pba2,C2v^8,C2v,Orthorhombic,P
33,Pna21,C2v^9,C2v,Orthorhombic,P
34,Pnn2,C2v^10,C2v,Orthorhombic,P
35,Cmm2,C2v^11,C2v,Orthorhombic,C
36,Cmc21,C2v^12,C2v,Orthorhombic,C
37,Ccc2,C2v^13,C2v,Orthorhombic,C
38,Amm2,C2v^14,C2v,Orthorhombic,A
39,Abm2,C2v^15,C2v,Orthorhombic,A
40,Ama2,C2v^16,C2v,Orthorhombic,A
41,Aba2,C2v^17,C2v,Orthorhombic,A
42,Fmm2,C2v^18,C2v,Orthorhombic,F
43,Fdd2,C2v^19,C2v,Orthorhombic,F
