,,Correlation Coefficient,P-value
min_strain,stdev_strain,-0.8671483753685368,5.593517794876468e-64
stdev_strain,min_strain,-0.8671483753685368,5.593517794876468e-64
stdev_strain,mean_strain,-0.8444726863973823,1.6990067366089108e-57
mean_strain,stdev_strain,-0.8444726863973823,1.6990067366089108e-57
min_strain,mean_strain,0.7517402280164747,6.330112555048693e-39
mean_strain,min_strain,0.7517402280164747,6.330112555048693e-39
BLRMS200,BNS,0.5812472518233168,4.2197987352194395e-20
BNS,BLRMS200,0.5812472518233168,4.2197987352194395e-20
BLRMS1000,BLRMS200,0.4824410610438786,1.8259735353291014e-13
BLRMS200,BLRMS1000,0.4824410610438786,1.8259735353291014e-13
mean_strain,duty_cycle,0.42090212454159653,2.703964587899729e-10
duty_cycle,mean_strain,0.42090212454159653,2.703964587899729e-10
duty_cycle,BNS,0.32856444842177096,1.341802850554101e-06
BNS,duty_cycle,0.32856444842177096,1.341802850554101e-06
duty_cycle,stdev_strain,-0.28793523852415415,2.5875769780882336e-05
stdev_strain,duty_cycle,-0.28793523852415415,2.5875769780882336e-05
max_strain,stdev_strain,0.2657020519996193,0.000109094032313986
stdev_strain,max_strain,0.2657020519996193,0.000109094032313986
max_strain,duty_cycle,0.23918524881613404,0.0005186088848523876
duty_cycle,max_strain,0.23918524881613404,0.0005186088848523876
duty_cycle,min_strain,0.2356363772019269,0.0006309603730923126
min_strain,duty_cycle,0.2356363772019269,0.0006309603730923126
duty_cycle,BLRMS200,0.2179498452075916,0.0016062112287866734
BLRMS200,duty_cycle,0.2179498452075916,0.0016062112287866734
max_strain,BLRMS1000,-0.13914522626775974,0.04554713206733943
BLRMS1000,max_strain,-0.13914522626775974,0.04554713206733943
