0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
(1+0j),(-0.5+0.866j),(-1+1.732j),(-1.5+2.598j),(-2+3.464j),(-2.5+4.33j),(-3+5.196j),(-3.5+6.062j),(-4+6.928j),(-4.5+7.794j),(-5+8.66j),(-5.5+9.526j),(-6+10.392j),(-6.5+11.258j),(-7+12.124j),(-7.5+12.99j)
(1+0j),(1+0j),1.732j,(-0.5+2.598j),(-1+3.464j),(-1.5+4.33j),(-2+5.196j),(-2.5+6.062j),(-3+6.928j),(-3.5+7.794j),(-4+8.66j),(-4.5+9.526j),(-5+10.392j),(-5.5+11.258j),(-6+12.124j),(-6.5+12.99j)
(2+0j),(1.5+0.866j),(1+0j),(0.5+2.598j),3.464j,(-0.5+4.33j),(-1+5.196j),(-1.5+6.062j),(-2+6.928j),(-2.5+7.794j),(-3+8.66j),(-3.5+9.526j),(-4+10.392j),(-4.5+11.258j),(-5+12.124j),(-5.5+12.99j)
(3+0j),(2.5+0.866j),(2+1.732j),(1+0j),(1+3.464j),(0.5+4.33j),5.196j,(-0.5+6.062j),(-1+6.928j),(-1.5+7.794j),(-2+8.66j),(-2.5+9.526j),(-3+10.392j),(-3.5+11.258j),(-4+12.124j),(-4.5+12.99j)
(4+0j),(3.5+0.866j),(3+1.732j),(2.5+2.598j),(1+0j),(1.5+4.33j),(1+5.196j),(0.5+6.062j),6.928j,(-0.5+7.794j),(-1+8.66j),(-1.5+9.526j),(-2+10.392j),(-2.5+11.258j),(-3+12.124j),(-3.5+12.99j)
(5+0j),(4.5+0.866j),(4+1.732j),(3.5+2.598j),(3+3.464j),(1+0j),(2+5.196j),(1.5+6.062j),(1+6.928j),(0.5+7.794j),8.66j,(-0.5+9.526j),(-1+10.392j),(-1.5+11.258j),(-2+12.124j),(-2.5+12.99j)
(6+0j),(5.5+0.866j),(5+1.732j),(4.5+2.598j),(4+3.464j),(3.5+4.33j),(1+0j),(2.5+6.062j),(2+6.928j),(1.5+7.794j),(1+8.66j),(0.5+9.526j),10.392j,(-0.5+11.258j),(-1+12.124j),(-1.5+12.99j)
(7+0j),(6.5+0.866j),(6+1.732j),(5.5+2.598j),(5+3.464j),(4.5+4.33j),(4+5.196j),(1+0j),(3+6.928j),(2.5+7.794j),(2+8.66j),(1.5+9.526j),(1+10.392j),(0.5+11.258j),12.124j,(-0.5+12.99j)
(8+0j),(7.5+0.866j),(7+1.732j),(6.5+2.598j),(6+3.464j),(5.5+4.33j),(5+5.196j),(4.5+6.062j),(1+0j),(3.5+7.794j),(3+8.66j),(2.5+9.526j),(2+10.392j),(1.5+11.258j),(1+12.124j),(0.5+12.99j)
(9+0j),(8.5+0.866j),(8+1.732j),(7.5+2.598j),(7+3.464j),(6.5+4.33j),(6+5.196j),(5.5+6.062j),(5+6.928j),(1+0j),(4+8.66j),(3.5+9.526j),(3+10.392j),(2.5+11.258j),(2+12.124j),(1.5+12.99j)
(10+0j),(9.5+0.866j),(9+1.732j),(8.5+2.598j),(8+3.464j),(7.5+4.33j),(7+5.196j),(6.5+6.062j),(6+6.928j),(5.5+7.794j),(1+0j),(4.5+9.526j),(4+10.392j),(3.5+11.258j),(3+12.124j),(2.5+12.99j)
(11+0j),(10.5+0.866j),(10+1.732j),(9.5+2.598j),(9+3.464j),(8.5+4.33j),(8+5.196j),(7.5+6.062j),(7+6.928j),(6.5+7.794j),(6+8.66j),(1+0j),(5+10.392j),(4.5+11.258j),(4+12.124j),(3.5+12.99j)
(12+0j),(11.5+0.866j),(11+1.732j),(10.5+2.598j),(10+3.464j),(9.5+4.33j),(9+5.196j),(8.5+6.062j),(8+6.928j),(7.5+7.794j),(7+8.66j),(6.5+9.526j),(1+0j),(5.5+11.258j),(5+12.124j),(4.5+12.99j)
(13+0j),(12.5+0.866j),(12+1.732j),(11.5+2.598j),(11+3.464j),(10.5+4.33j),(10+5.196j),(9.5+6.062j),(9+6.928j),(8.5+7.794j),(8+8.66j),(7.5+9.526j),(7+10.392j),(1+0j),(6+12.124j),(5.5+12.99j)
(14+0j),(13.5+0.866j),(13+1.732j),(12.5+2.598j),(12+3.464j),(11.5+4.33j),(11+5.196j),(10.5+6.062j),(10+6.928j),(9.5+7.794j),(9+8.66j),(8.5+9.526j),(8+10.392j),(7.5+11.258j),(1+0j),(6.5+12.99j)
(15+0j),(14.5+0.866j),(14+1.732j),(13.5+2.598j),(13+3.464j),(12.5+4.33j),(12+5.196j),(11.5+6.062j),(11+6.928j),(10.5+7.794j),(10+8.66j),(9.5+9.526j),(9+10.392j),(8.5+11.258j),(8+12.124j),(1+0j)
