x,alpha,density
-100.000000,2.00,9.282341e-21
-99.609375,2.00,7.425532e-21
-99.218750,2.00,3.449125e-21
-98.828125,2.00,4.841906e-23
-98.437500,2.00,2.779166e-21
-98.046875,2.00,8.751325e-21
-97.656250,2.00,1.242373e-20
-97.265625,2.00,8.599642e-21
-96.875000,2.00,5.278052e-21
-96.484375,2.00,1.181272e-20
-96.093750,2.00,2.669226e-20
-95.703125,2.00,4.287000e-20
-95.312500,2.00,5.084959e-20
-94.921875,2.00,5.835378e-20
-94.531250,2.00,9.469240e-20
-94.140625,2.00,1.839032e-19
-93.750000,2.00,3.374112e-19
-93.359375,2.00,5.655478e-19
-92.968750,2.00,8.652539e-19
-92.578125,2.00,1.177463e-18
-92.187500,2.00,1.448242e-18
-91.796875,2.00,1.759564e-18
-91.406250,2.00,2.246705e-18
-91.015625,2.00,2.957533e-18
-90.625000,2.00,3.994193e-18
-90.234375,2.00,5.366517e-18
-89.843750,2.00,6.779979e-18
-89.453125,2.00,8.083746e-18
-89.062500,2.00,9.446758e-18
-88.671875,2.00,1.107969e-17
-88.281250,2.00,1.321771e-17
-87.890625,2.00,1.614012e-17
-87.500000,2.00,1.997311e-17
-87.109375,2.00,2.460187e-17
-86.718750,2.00,2.985930e-17
-86.328125,2.00,3.566110e-17
-85.937500,2.00,4.177885e-17
-85.546875,2.00,4.767600e-17
-85.156250,2.00,5.316532e-17
-84.765625,2.00,5.868035e-17
-84.375000,2.00,6.423870e-17
-83.984375,2.00,6.978294e-17
-83.593750,2.00,7.653960e-17
-83.203125,2.00,8.640600e-17
-82.812500,2.00,1.012145e-16
-82.421875,2.00,1.225114e-16
-82.031250,2.00,1.510236e-16
-81.640625,2.00,1.863485e-16
-81.250000,2.00,2.267713e-16
-80.859375,2.00,2.695808e-16
-80.468750,2.00,3.125054e-16
-80.078125,2.00,3.544745e-16
-79.687500,2.00,3.923256e-16
-79.296875,2.00,4.179823e-16
-78.906250,2.00,4.262984e-16
-78.515625,2.00,4.179330e-16
-78.125000,2.00,3.867209e-16
-77.734375,2.00,3.285722e-16
-77.343750,2.00,2.610396e-16
-76.953125,2.00,2.083170e-16
-76.562500,2.00,1.824888e-16
-76.171875,2.00,1.843058e-16
-75.781250,2.00,2.011696e-16
-75.390625,2.00,2.083984e-16
-75.000000,2.00,1.832606e-16
-74.609375,2.00,1.236800e-16
-74.218750,2.00,5.872615e-17
-73.828125,2.00,4.145392e-17
-73.437500,2.00,1.328045e-16
-73.046875,2.00,3.776072e-16
-72.656250,2.00,7.602494e-16
-72.265625,2.00,1.211600e-15
-71.875000,2.00,1.506721e-15
-71.484375,2.00,1.215463e-15
-71.093750,2.00,3.898952e-16
-70.703125,2.00,5.686704e-17
-70.312500,2.00,1.481240e-15
-69.921875,2.00,4.802467e-15
-69.531250,2.00,8.741314e-15
-69.140625,2.00,1.158942e-14
-68.750000,2.00,1.288043e-14
-68.359375,2.00,1.538658e-14
-67.968750,2.00,2.534238e-14
-67.578125,2.00,4.897550e-14
-67.187500,2.00,8.863284e-14
-66.796875,2.00,1.421323e-13
-66.406250,2.00,2.085519e-13
-66.015625,2.00,3.049327e-13
-65.625000,2.00,4.588009e-13
-65.234375,2.00,6.732849e-13
-64.843750,2.00,9.129298e-13
-64.453125,2.00,1.130145e-12
-64.062500,2.00,1.307291e-12
-63.671875,2.00,1.435283e-12
-63.281250,2.00,1.496771e-12
-62.890625,2.00,1.491836e-12
-62.500000,2.00,1.425638e-12
-62.109375,2.00,1.282266e-12
-61.718750,2.00,1.018424e-12
-61.328125,2.00,6.160310e-13
-60.937500,2.00,2.935297e-13
-60.546875,2.00,9.662979e-13
-60.156250,2.00,5.146274e-12
-59.765625,2.00,1.831231e-11
-59.375000,2.00,4.982381e-11
-58.984375,2.00,1.085036e-10
-58.593750,2.00,1.887054e-10
-58.203125,2.00,2.704324e-10
-57.812500,2.00,3.563951e-10
-57.421875,2.00,4.628849e-10
-57.031250,2.00,5.842126e-10
-56.640625,2.00,7.401940e-10
-56.250000,2.00,9.472905e-10
-55.859375,2.00,1.227380e-9
-55.468750,2.00,1.638696e-9
