plateifu,cd_re,cd_im,g2_re,g2_im,j3o_re,j3o_im,sl2_re,sl2_im
10001-12701,-2.53077807e-1,-2.22914223e-1,-4.84581062e-1,-6.41083156e-1,-1.54547722e-1,-4.89332377e-1,-4.67974570e-2,-5.72985787e-2
10001-12702,-5.54616271e-2,-1.50170964e-2,-1.54432180e-1,-3.86005162e-2,-1.32082492e-1,-3.64108472e-2,-8.39354148e-3,-3.00243459e-3
10001-12703,-6.20432317e-1,-3.19730835e-1,-1.54054416e0,-1.09122431e0,-9.93840970e-1,-1.10547979e0,-1.25144123e-1,-6.74537021e-2
10001-12705,-6.15483326e-1,-5.16745809e-1,-1.25929918e0,-1.62462278e0,-4.58487457e-1,-1.43782003e0,-1.24564103e-1,-1.22117871e-1
10001-1901,3.35416887e-1,2.27085551e-1,8.01003201e-1,7.81263526e-1,4.63993147e-1,8.01112123e-1,6.88642307e-2,4.73025983e-2
10001-1902,7.29626101e0,9.62599522e-1,2.02818039e1,3.45248972e0,1.64197535e1,3.78502832e0,1.41418045e0,1.85812929e-1
10001-3703,1.14055120e-1,2.11044478e-1,1.04287668e-1,6.47841889e-1,-1.79406387e-1,5.46418631e-1,2.45401197e-2,5.14096470e-2
10001-6101,1.21948513e-1,-2.88239412e-2,3.72487562e-1,-9.53116783e-2,3.48930752e-1,-9.08712141e-2,2.26200255e-2,-6.41233384e-3
10001-6102,-3.74152462e-1,-1.36516669e-1,-9.86007295e-1,-4.77936000e-1,-7.21596611e-1,-5.04348238e-1,-7.41741756e-2,-2.75772613e-2
10001-6103,-3.49629695e-2,5.58018399e-3,-1.53536115e-1,-2.03894465e-2,-1.88441801e-1,-8.39435902e-2,-6.63696444e-3,5.08306688e-3
10001-6104,-8.13586882e-1,-2.38829944e-1,-2.19152804e0,-8.45669009e-1,-1.67303069e0,-9.08446880e-1,-1.60005745e-1,-4.72576807e-2
10001-9101,-2.55541468e-1,-1.07879425e-1,-6.54490315e-1,-3.57863692e-1,-4.61520832e-1,-3.54905641e-1,-4.95760248e-2,-2.32634593e-2
10001-9102,-2.58412677e-1,-1.57591513e-1,-5.94505159e-1,-4.99150263e-1,-3.30436057e-1,-4.50161145e-1,-5.11425691e-2,-3.67892334e-2
