mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
1,0.897598,0,700,10.9800,10.2300,11.0600,1.26538788e-1,1.61693864e-1,4.21569705e-2,0.906766,3.55519833e-1,0.577525,0.577525
2,1.795196,0,700,10.9800,10.2300,11.0600,-4.69773400e-2,1.97130428e-1,4.10672759e-2,1.804739,3.55519833e-1,0.577525,0.570012
3,2.692794,0,700,10.9800,10.2300,11.0600,-1.77456155e-1,8.70165442e-2,3.90625660e-2,2.685691,3.55519833e-1,0.577525,0.555925
4,3.590392,0,700,10.9800,10.2300,11.0600,-1.74818216e-1,-7.39942548e-2,3.60365585e-2,-2.741193,3.55519833e-1,0.577525,0.533959
5,4.487990,0,700,10.9800,10.2300,11.0600,-6.08274691e-2,-1.68530072e-1,3.21023661e-2,-1.917174,3.55519833e-1,0.577525,0.503970
6,5.385587,0,700,10.9800,10.2300,11.0600,7.04220081e-2,-1.50746241e-1,2.76836883e-2,-1.133767,3.55519833e-1,0.577525,0.468002
7,6.283185,0,700,10.9800,10.2300,11.0600,1.41164681e-1,-5.95813773e-2,2.34774077e-2,-0.399386,3.55519833e-1,0.577525,0.430984
1,0.897598,1,700,11.1200,11.0600,11.1800,-7.10141486e-2,-7.02949209e-2,9.98438520e-3,-2.361284,1.29275580e-1,0.772937,0.772937
2,1.795196,1,700,11.1200,11.0600,11.1800,-9.95963126e-4,-9.74010577e-2,9.48795799e-3,-1.581021,1.29275580e-1,0.772937,0.753477
3,2.692794,1,700,11.1200,11.0600,11.1800,6.50056191e-2,-6.70603275e-2,8.72281803e-3,-0.800955,1.29275580e-1,0.772937,0.722457
4,3.590392,1,700,11.1200,11.0600,11.1800,8.81295930e-2,-1.89197392e-3,7.77040472e-3,-0.021465,1.29275580e-1,0.772937,0.681876
5,4.487990,1,700,11.1200,11.0600,11.1800,5.96230559e-2,5.62939362e-2,6.72391604e-3,0.756686,1.29275580e-1,0.772937,0.634300
6,5.385587,1,700,11.1200,11.0600,11.1800,2.90978448e-3,7.52675348e-2,5.67366864e-3,1.532156,1.29275580e-1,0.772937,0.582660
7,6.283185,1,700,11.1200,11.0600,11.1800,-4.57975352e-2,5.09677346e-2,4.69512420e-3,2.302815,1.29275580e-1,0.772937,0.530038
1,0.897598,2,700,11.2300,11.1800,11.2900,-1.06212733e-1,-7.65499742e-2,1.71410431e-2,-2.517094,1.42211173e-1,0.920630,0.920630
2,1.795196,2,700,11.2300,11.1800,11.2900,-4.08136688e-2,-1.21339730e-1,1.63890858e-2,-1.895267,1.42211173e-1,0.920630,0.900210
3,2.692794,2,700,11.2300,11.1800,11.2900,3.55549641e-2,-1.18246279e-1,1.52463381e-2,-1.278711,1.42211173e-1,0.920630,0.868259
4,3.590392,2,700,11.2300,11.1800,11.2900,9.22807247e-2,-7.30763201e-2,1.38558807e-2,-0.669777,1.42211173e-1,0.920630,0.827720
5,4.487990,2,700,11.2300,11.1800,11.2900,1.10981282e-1,-7.80635977e-3,1.23777841e-2,-0.070224,1.42211173e-1,0.920630,0.782326
6,5.385587,2,700,11.2300,11.1800,11.2900,9.08821955e-2,5.19622833e-2,1.09596523e-2,0.519392,1.42211173e-1,0.920630,0.736147
7,6.283185,2,700,11.2300,11.1800,11.2900,4.46570264e-2,8.78469876e-2,9.71134323e-3,1.100491,1.42211173e-1,0.920630,0.692956
1,0.897598,3,700,11.3500,11.2900,11.4100,1.29768681e-1,1.10936244e-1,2.91467606e-2,0.707319,5.80249452e-2,2.942256,2.942256
2,1.795196,3,700,11.3500,11.2900,11.4100,2.57339895e-2,1.64374193e-1,2.76811135e-2,1.415500,5.80249452e-2,2.942256,2.867326
3,2.692794,3,700,11.3500,11.2900,11.4100,-8.38979400e-2,1.35411959e-1,2.53752628e-2,2.125485,5.80249452e-2,2.942256,2.745305
4,3.590392,3,700,11.3500,11.2900,11.4100,-1.42897260e-1,4.47045806e-2,2.24181263e-2,2.838394,5.80249452e-2,2.942256,2.580387
5,4.487990,3,700,11.3500,11.2900,11.4100,-1.26336857e-1,-5.55210547e-2,1.90435890e-2,-2.727531,5.80249452e-2,2.942256,2.378262
6,5.385587,3,700,11.3500,11.2900,11.4100,-5.22675426e-2,-1.13017339e-1,1.55048149e-2,-2.003975,5.80249452e-2,2.942256,2.145945
7,6.283185,3,700,11.3500,11.2900,11.4100,3.23824729e-2,-1.04875206e-1,1.20474335e-2,-1.271312,5.80249452e-2,2.942256,1.891614
1,0.897598,4,700,11.4800,11.4100,11.5400,-7.88579572e-2,-5.95996844e-2,9.77069980e-3,-2.494399,7.52074535e-2,1.314323,1.314323
2,1.795196,4,700,11.4800,11.4100,11.5400,-2.64750273e-2,-9.35783123e-2,9.45782761e-3,-1.846509,7.52074535e-2,1.314323,1.293108
3,2.692794,4,700,11.4800,11.4100,11.5400,3.45386032e-2,-8.81021871e-2,8.95491047e-3,-1.197180,7.52074535e-2,1.314323,1.258258
4,3.590392,4,700,11.4800,11.4100,11.5400,7.78244576e-2,-4.72418749e-2,8.28844094e-3,-0.545573,7.52074535e-2,1.314323,1.210530
5,4.487990,4,700,11.4800,11.4100,11.5400,8.60453675e-2,9.44350395e-3,7.49298504e-3,0.109313,7.52074535e-2,1.314323,1.150977
6,5.385587,4,700,11.4800,11.4100,11.5400,5.84344883e-2,5.65181089e-2,6.60888606e-3,0.768729,7.52074535e-2,1.314323,1.080944
7,6.283185,4,700,11.4800,11.4100,11.5400,1.02550909e-2,7.46622392e-2,5.67961686e-3,1.434297,7.52074535e-2,1.314323,1.002071
1,0.897598,5,699,11.6100,11.5400,11.7000,1.32138800e-1,7.93782227e-2,2.37615647e-2,0.540948,4.83358962e-2,3.189097,3.189097
2,1.795196,5,699,11.6100,11.5400,11.7000,7.17469615e-2,1.34825414e-1,2.33255188e-2,1.081763,4.83358962e-2,3.189097,3.159700
3,2.692794,5,699,11.6100,11.5400,11.7000,-7.74265336e-3,1.50175019e-1,2.26124851e-2,1.622308,4.83358962e-2,3.189097,3.111031
4,3.590392,5,699,11.6100,11.5400,11.7000,-8.20486624e-2,1.22108701e-1,2.16425180e-2,2.162435,4.83358962e-2,3.189097,3.043576
5,4.487990,5,699,11.6100,11.5400,11.7000,-1.29382893e-1,6.08503314e-2,2.04426957e-2,2.701976,4.83358962e-2,3.189097,2.958008
6,5.385587,5,699,11.6100,11.5400,11.7000,-1.37330097e-1,-1.36606490e-2,1.90461689e-2,-3.042446,4.83358962e-2,3.189097,2.855184
7,6.283185,5,699,11.6100,11.5400,11.7000,-1.06324176e-1,-7.86522224e-2,1.74910025e-2,-2.504690,4.83358962e-2,3.189097,2.736135
1,0.897598,6,699,11.7900,11.7000,11.9100,1.85259830e-1,1.03853530e-1,4.51067602e-2,0.510932,6.40231999e-2,3.317290,3.317290
2,1.795196,6,699,11.7900,11.7000,11.9100,1.10360928e-1,1.80428189e-1,4.47338657e-2,1.021846,6.40231999e-2,3.317290,3.303550
3,2.692794,6,699,11.7900,11.7000,11.9100,7.99461840e-3,2.09889298e-1,4.41174313e-2,1.532725,6.40231999e-2,3.317290,3.280709
4,3.590392,6,699,11.7900,11.7000,11.9100,-9.47115014e-2,1.85188271e-1,4.32649642e-2,2.043549,6.40231999e-2,3.317290,3.248859
5,4.487990,6,699,11.7900,11.7000,11.9100,-1.70979014e-1,1.13811237e-1,4.21868208e-2,2.554298,6.40231999e-2,3.317290,3.208123
6,5.385587,6,699,11.7900,11.7000,11.9100,-2.01634085e-1,1.54839456e-2,4.08960568e-2,3.064951,6.40231999e-2,3.317290,3.158663
7,6.283185,6,699,11.7900,11.7000,11.9100,-1.80120084e-1,-8.34565280e-2,3.94082367e-2,-2.707702,6.40231999e-2,3.317290,3.100674
1,0.897598,7,699,12.0700,11.9200,12.2900,2.64098924e-3,1.27183339e-3,8.59238432e-6,0.448799,0.00000000e0,0.000000,0.000000
2,1.795196,7,699,12.0700,11.9200,12.2900,1.82762126e-3,2.29176457e-3,8.59238432e-6,0.897598,0.00000000e0,0.000000,0.000000
3,2.692794,7,699,12.0700,11.9200,12.2900,6.52270476e-4,2.85778368e-3,8.59238432e-6,1.346397,0.00000000e0,0.000000,0.000000
