template,mode,k,power,snr
standard_1n_exp,1,0.897598,2.05651268e-4,0.113495
standard_1n_exp,2,1.795196,3.94111922e-4,0.157116
standard_1n_exp,3,2.692794,6.93851396e-4,0.208470
standard_1n_exp,4,3.590392,1.06956622e-3,0.258830
standard_1n_exp,5,4.487990,1.45639117e-3,0.302029
standard_1n_exp,6,5.385587,1.76534425e-3,0.332526
standard_1n_exp,7,6.283185,1.90533138e-3,0.345458
flat_amp_exp,1,0.897598,2.05651268e-4,0.113495
flat_amp_exp,2,1.795196,3.94111922e-4,0.157116
flat_amp_exp,3,2.692794,6.93851396e-4,0.208470
flat_amp_exp,4,3.590392,1.06956622e-3,0.258830
flat_amp_exp,5,4.487990,1.45639117e-3,0.302029
flat_amp_exp,6,5.385587,1.76534425e-3,0.332526
flat_amp_exp,7,6.283185,1.90533138e-3,0.345458
1n_gauss,1,0.897598,1.98964648e-4,0.111634
1n_gauss,2,1.795196,3.98488594e-4,0.157986
1n_gauss,3,2.692794,7.10779541e-4,0.210998
1n_gauss,4,3.590392,1.09464313e-3,0.261846
1n_gauss,5,4.487990,1.48138186e-3,0.304610
1n_gauss,6,5.385587,1.78196636e-3,0.334087
1n_gauss,7,6.283185,1.90893402e-3,0.345785
flat_amp_flat,1,0.897598,7.80404826e-4,0.221091
flat_amp_flat,2,1.795196,1.05713625e-3,0.257321
flat_amp_flat,3,2.692794,1.48067880e-3,0.304537
flat_amp_flat,4,3.590392,1.98600580e-3,0.352696
flat_amp_flat,5,4.487990,2.47616468e-3,0.393822
flat_amp_flat,6,5.385587,2.83504848e-3,0.421396
flat_amp_flat,7,6.283185,2.95593694e-3,0.430287
1n2_exp,1,0.897598,2.05651268e-4,0.113495
1n2_exp,2,1.795196,3.94111922e-4,0.157116
1n2_exp,3,2.692794,6.93851396e-4,0.208470
1n2_exp,4,3.590392,1.06956622e-3,0.258830
1n2_exp,5,4.487990,1.45639117e-3,0.302029
1n2_exp,6,5.385587,1.76534425e-3,0.332526
1n2_exp,7,6.283185,1.90533138e-3,0.345458
optimal_mf,1,0.897598,2.05651268e-4,0.113495
optimal_mf,2,1.795196,3.94111922e-4,0.157116
optimal_mf,3,2.692794,6.93851396e-4,0.208470
optimal_mf,4,3.590392,1.06956622e-3,0.258830
optimal_mf,5,4.487990,1.45639117e-3,0.302029
optimal_mf,6,5.385587,1.76534425e-3,0.332526
optimal_mf,7,6.283185,1.90533138e-3,0.345458
