rank,plateifu,total_power,is_anomalous,p1,p2,p3,p4,p5,p6,p7,ph1,ph2,ph3,ph4,ph5,ph6,ph7
1,11827-3704,1.72685998e3,1,2.55427407e2,2.53978253e2,2.51595114e2,2.48325136e2,2.44232308e2,2.39395527e2,2.33906236e2,0.056872,0.113578,0.169953,0.225835,0.281064,0.335486,0.388951
2,10219-6102,1.66655703e3,1,2.39941977e2,2.39646116e2,2.39153813e2,2.38466264e2,2.37585138e2,2.36512569e2,2.35251153e2,0.029140,0.058272,0.087389,0.116482,0.145546,0.174570,0.203549
3,8465-3704,1.62682568e3,1,2.46611667e2,2.44191673e2,2.40239623e2,2.34874317e2,2.28255976e2,2.20580424e2,2.12072000e2,0.051997,0.103599,0.154410,0.204032,0.252061,0.298094,0.341729
4,9868-1901,1.61114983e3,1,2.31806650e2,2.31545601e2,2.31111285e2,2.30504850e2,2.29727897e2,2.28782475e2,2.27671075e2,0.028860,0.057710,0.086541,0.115343,0.144105,0.172818,0.201472
5,12510-1901,1.42485605e3,1,2.32154140e2,2.27252585e2,2.19261688e2,2.08441048e2,1.95138625e2,1.79776176e2,1.62831793e2,0.131876,0.263638,0.395165,0.526331,0.656992,0.786987,0.916121
6,8715-6104,1.27593320e3,1,1.83664764e2,1.83440522e2,1.83069028e2,1.82553617e2,1.81898884e2,1.81110627e2,1.80195756e2,0.017345,0.034659,0.051913,0.069075,0.086118,0.103012,0.119730
7,8939-1901,1.21673612e3,1,1.78912593e2,1.78089044e2,1.76725165e2,1.74833881e2,1.72433044e2,1.69545184e2,1.66197208e2,0.059811,0.119567,0.179212,0.238692,0.297950,0.356927,0.415564
8,7981-1902,1.10426280e3,1,1.59484303e2,1.59209270e2,1.58751527e2,1.58112058e2,1.57292257e2,1.56293953e2,1.55119431e2,0.040403,0.080796,0.121170,0.161516,0.201822,0.242078,0.282273
9,8625-3704,1.09495920e3,1,1.72099222e2,1.69389902e2,1.64983976e2,1.59039726e2,1.51766886e2,1.43415664e2,1.34263825e2,0.116574,0.232690,0.347886,0.461689,0.573611,0.683147,0.789776
10,8250-3702,1.00457566e3,1,1.48331443e2,1.47533197e2,1.46219664e2,1.44415701e2,1.42155216e2,1.39480297e2,1.36440146e2,0.046563,0.092955,0.139006,0.184547,0.229411,0.273431,0.316447
11,8326-1901,9.03962355e2,1,1.34907850e2,1.33955846e2,1.32387749e2,1.30230950e2,1.27522867e2,1.24310046e2,1.20647047e2,0.060189,0.120206,0.179878,0.239030,0.297485,0.355062,0.411577
12,8939-3703,7.58355906e2,1,1.30967037e2,1.26917241e2,1.20393780e2,1.11720212e2,1.01319267e2,8.96853696e1,7.73529996e1,0.150257,0.300113,0.449142,0.596866,0.742723,0.886015,1.025840
13,10516-3703,7.12628570e2,1,1.08272128e2,1.07172754e2,1.05376610e2,1.02936317e2,9.99224395e1,9.64205585e1,9.25277634e1,0.064046,0.127730,0.190691,0.252565,0.312990,0.371605,0.428053
14,10504-1902,7.05872201e2,1,1.02973684e2,1.02631231e2,1.02062873e2,1.01272190e2,1.00264169e2,9.90451683e1,9.76228859e1,0.046135,0.092231,0.138249,0.184150,0.229893,0.275437,0.320738
15,8945-1902,6.70709808e2,1,9.62362179e1,9.61709598e1,9.60616738e1,9.59075934e1,9.57076792e1,9.54606517e1,9.51650324e1,0.034339,0.068687,0.103054,0.137449,0.171880,0.206353,0.240875
16,8248-6104,6.66427498e2,1,1.06134195e2,1.04169960e2,1.01012430e2,9.68246635e1,9.18137664e1,8.62125884e1,8.02598949e1,0.099083,0.197429,0.294313,0.389038,0.480949,0.569460,0.654088
17,8082-3703,6.52060203e2,1,1.00778447e2,9.94700048e1,9.73377536e1,9.44520093e1,9.09065228e1,8.68140969e1,8.23013692e1,0.076175,0.151915,0.226781,0.300329,0.372108,0.441659,0.508520
18,10845-3704,6.41526617e2,1,9.59967318e1,9.51804700e1,9.38830748e1,9.21930884e1,9.02230302e1,8.80992951e1,8.59509270e1,0.053195,0.105765,0.157119,0.206732,0.254186,0.299203,0.341680
19,12090-3704,5.95615272e2,1,8.83768082e1,8.78256158e1,8.69215338e1,8.56859642e1,8.41479733e1,8.23434301e1,8.03139471e1,0.038870,0.077503,0.115661,0.153110,0.189618,0.224958,0.258910
