test,metric,value
A,r2_svd0,0.049323
A,r2_svd1,0.005474
A,r2_combined,0.047855
A,original_rms,0.126354
A,corrected_rms,0.137837
A,rms_change_pct,+9.0875
A,original_snr,0.430287
A,corrected_snr,0.356233
A,n_galaxies,6995
A,n_valid_features,6995
A,svd_var_2modes_pct,97.49
A,beta0_intercept,-0.000000
A,beta1_intercept,-0.000000
A,beta0_ha_ew,-0.518777
A,beta1_ha_ew,0.032133
A,beta0_sersic_n,0.397170
A,beta1_sersic_n,-0.028198
A,beta0_inclination,-0.545334
A,beta1_inclination,0.027457
A,beta0_sigma,-0.918595
A,beta1_sigma,0.005503
C,gamma,0.807914
C,implied_beta,-1.615828
C,n_modes_within_ratio,7
C,rayleigh_r_mode1,0.031811
C,rayleigh_r_pred_mode1,0.030299
C,rayleigh_r_mode2,0.048777
C,rayleigh_r_pred_mode2,0.053044
C,rayleigh_r_mode3,0.071415
C,rayleigh_r_pred_mode3,0.073605
C,rayleigh_r_mode4,0.095497
C,rayleigh_r_pred_mode4,0.092864
C,rayleigh_r_mode5,0.116681
C,rayleigh_r_pred_mode5,0.111209
C,rayleigh_r_mode6,0.132333
C,rayleigh_r_pred_mode6,0.128858
C,rayleigh_r_mode7,0.140616
C,rayleigh_r_pred_mode7,0.145948
