mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
1,0.897598,0,140,10.8700,10.2300,10.9000,2.62617682e-1,2.55905720e-1,1.34455784e-1,0.772455,5.87708582e-1,0.625198,0.623918
2,1.795196,0,140,10.8700,10.2300,10.9000,9.69175343e-3,3.66854893e-1,1.34676442e-1,1.544384,5.87708582e-1,0.625198,0.624430
3,2.692794,0,140,10.8700,10.2300,10.9000,-2.48902703e-1,2.70123007e-1,1.34918994e-1,2.315332,5.87708582e-1,0.625198,0.624992
4,3.590392,0,140,10.8700,10.2300,10.9000,-3.66845137e-1,2.07939719e-2,1.35007744e-1,3.084970,5.87708582e-1,0.625198,0.625198
5,4.487990,0,140,10.8700,10.2300,10.9000,-2.77982729e-1,-2.39678909e-1,1.34720377e-1,-2.430054,5.87708582e-1,0.625198,0.624532
6,5.385587,0,140,10.8700,10.2300,10.9000,-3.38090536e-2,-3.64234917e-1,1.33810127e-1,-1.663353,5.87708582e-1,0.625198,0.622418
7,6.283185,0,140,10.8700,10.2300,10.9000,2.26461086e-1,-2.84160553e-1,1.32031844e-1,-0.897919,5.87708582e-1,0.625198,0.618269
1,0.897598,1,140,10.9300,10.9000,10.9500,-1.15943151e-1,-5.23929998e-2,1.61878408e-2,-2.717172,2.30876539e-1,0.807411,0.551080
2,1.795196,1,140,10.9300,10.9000,10.9500,-8.68750369e-2,-1.03584306e-1,1.82769804e-2,-2.268687,2.30876539e-1,0.807411,0.585561
3,2.692794,1,140,10.9300,10.9000,10.9500,-3.09906870e-2,-1.43060825e-1,2.14268224e-2,-1.784126,2.30876539e-1,0.807411,0.634014
4,3.590392,1,140,10.9300,10.9000,10.9500,4.79909637e-2,-1.51277672e-1,2.51880665e-2,-1.263601,2.30876539e-1,0.807411,0.687413
5,4.487990,1,140,10.9300,10.9000,10.9500,1.28864444e-1,-1.11426317e-1,2.90218691e-2,-0.712954,2.30876539e-1,0.807411,0.737875
6,5.385587,1,140,10.9300,10.9000,10.9500,1.78193977e-1,-2.49165304e-2,3.23739270e-2,-0.138927,2.30876539e-1,0.807411,0.779324
7,6.283185,1,140,10.9300,10.9000,10.9500,1.67631166e-1,8.15434230e-2,3.47495376e-2,0.452745,2.30876539e-1,0.807411,0.807411
1,0.897598,2,140,10.9800,10.9500,11.0000,-1.70244706e-2,-9.60387161e-3,3.82066948e-4,-2.627972,5.25395701e-2,0.372035,0.372035
2,1.795196,2,140,10.9800,10.9500,11.0000,-9.84865167e-3,-1.60773650e-2,3.55477606e-4,-2.120414,5.25395701e-2,0.372035,0.358856
3,2.692794,2,140,10.9800,10.9500,11.0000,-9.79884694e-4,-1.77310606e-2,3.15350683e-4,-1.626004,5.25395701e-2,0.372035,0.337995
4,3.590392,2,140,10.9800,10.9500,11.0000,6.62132942e-3,-1.49550311e-2,2.67494958e-4,-1.153988,5.25395701e-2,0.372035,0.311294
5,4.487990,2,140,10.9800,10.9500,11.0000,1.11609660e-2,-9.72507565e-3,2.19144258e-4,-0.716757,5.25395701e-2,0.372035,0.281759
