x,delta_nfw,delta_dc14,delta_nfw_err,delta_dc14_err,n_contributing
0.500000,4.82802483e-2,-1.36429610e-1,1.59155836e-4,1.30273964e-4,2488
0.547739,1.59889749e-2,-1.73553414e-1,1.88708665e-4,1.52803655e-4,1963
0.595477,-2.49018627e-2,-2.15665692e-1,2.25882704e-4,1.81176179e-4,1514
0.643216,-2.26574642e-2,-2.21821441e-1,2.78251330e-4,2.20964416e-4,1147
0.690955,-4.12180145e-2,-2.51155818e-1,3.45193616e-4,2.70244205e-4,846
0.738693,-3.33380297e-2,-2.58915864e-1,4.03623345e-4,3.11036805e-4,637
0.786432,-1.18295640e-1,-3.21077254e-1,4.89697879e-4,3.78963177e-4,473
0.834171,-1.46800500e-1,-3.50258138e-1,5.62216128e-4,4.31749500e-4,357
0.881910,-1.75906371e-2,-2.56817983e-1,7.22085870e-4,5.51671135e-4,265
0.929648,9.72037287e-2,-1.81525878e-1,9.14879456e-4,6.89454582e-4,180
0.977387,8.58210332e-2,-1.90650855e-1,1.41927650e-3,1.05738636e-3,124
1.025126,1.18002791e-2,-2.50759898e-1,1.83518687e-3,1.36033544e-3,92
1.072864,-1.01659471e-1,-3.42194436e-1,2.17388351e-3,1.59401965e-3,61
1.120603,-3.66148741e-2,-2.97705733e-1,2.48141398e-3,1.81005221e-3,41
1.168342,-2.46482774e-2,-2.91221672e-1,4.05602909e-3,2.95663621e-3,23
1.216080,1.42495228e-1,-1.65654524e-1,5.26215424e-3,3.84770155e-3,13
1.263819,2.69606412e-1,-7.77330485e-2,5.35346018e-3,3.89134922e-3,8
1.311558,3.67545604e-1,-1.38020573e-2,5.44073328e-3,3.92372363e-3,3
1.359296,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1
1.407035,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.454774,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.502513,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.550251,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.597990,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.645729,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.693467,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.741206,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.788945,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.836683,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.884422,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.932161,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
1.979899,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.027638,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.075377,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.123116,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.170854,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.218593,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.266332,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.314070,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.361809,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.409548,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.457286,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.505025,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.552764,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.600503,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.648241,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.695980,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.743719,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.791457,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.839196,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.886935,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.934673,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
2.982412,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.030151,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.077889,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.125628,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.173367,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.221106,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.268844,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.316583,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.364322,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.412060,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.459799,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.507538,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
