x,delta_nfw,delta_corrected,correction,n_contributing
0.500000,4.82802483e-2,-1.35445490e-2,6.18247973e-2,2488
0.547739,1.59889749e-2,-7.63203723e-3,2.36210121e-2,1963
0.595477,-2.49018627e-2,-1.66957435e-2,-8.20611915e-3,1514
0.643216,-2.26574642e-2,1.09991325e-2,-3.36565966e-2,1147
0.690955,-4.12180145e-2,1.15124059e-2,-5.27304203e-2,846
0.738693,-3.33380297e-2,3.20895605e-2,-6.54275902e-2,637
0.786432,-1.18295640e-1,-4.65475334e-2,-7.17481063e-2,473
0.834171,-1.46800500e-1,-7.51085312e-2,-7.16919685e-2,357
0.881910,-1.75906371e-2,4.76685398e-2,-6.52591769e-2,265
0.929648,9.72037287e-2,1.49653460e-1,-5.24497316e-2,180
0.977387,8.58210332e-2,1.19084666e-1,-3.32636324e-2,124
1.025126,1.18002791e-2,1.95011585e-2,-7.70087940e-3,92
1.072864,-1.01659471e-1,-1.25897999e-1,2.42385274e-2,61
1.120603,-3.66148741e-2,-9.91694621e-2,6.25545880e-2,41
1.168342,-2.46482774e-2,-1.31895580e-1,1.07247302e-1,23
1.216080,1.42495228e-1,-1.58214425e-2,1.58316671e-1,13
1.263819,2.69606412e-1,5.38437192e-2,2.15762693e-1,8
1.311558,3.67545604e-1,8.79602352e-2,2.79585369e-1,3
1.359296,0.00000000e0,-3.49784698e-1,3.49784698e-1,1
1.407035,0.00000000e0,-4.26360682e-1,4.26360682e-1,0
1.454774,0.00000000e0,-5.09313319e-1,5.09313319e-1,0
1.502513,0.00000000e0,-5.98642610e-1,5.98642610e-1,0
1.550251,0.00000000e0,-6.94348555e-1,6.94348555e-1,0
1.597990,0.00000000e0,-7.96431154e-1,7.96431154e-1,0
1.645729,0.00000000e0,-9.04890406e-1,9.04890406e-1,0
1.693467,0.00000000e0,-1.01972631e0,1.01972631e0,0
1.741206,0.00000000e0,-1.14093887e0,1.14093887e0,0
1.788945,0.00000000e0,-1.26852809e0,1.26852809e0,0
1.836683,0.00000000e0,-1.40249395e0,1.40249395e0,0
1.884422,0.00000000e0,-1.54283648e0,1.54283648e0,0
1.932161,0.00000000e0,-1.68955565e0,1.68955565e0,0
1.979899,0.00000000e0,-1.84265148e0,1.84265148e0,0
2.027638,0.00000000e0,-2.00212396e0,2.00212396e0,0
2.075377,0.00000000e0,-2.16797310e0,2.16797310e0,0
2.123116,0.00000000e0,-2.34019889e0,2.34019889e0,0
2.170854,0.00000000e0,-2.51880134e0,2.51880134e0,0
2.218593,0.00000000e0,-2.70378043e0,2.70378043e0,0
2.266332,0.00000000e0,-2.89513619e0,2.89513619e0,0
2.314070,0.00000000e0,-3.09286859e0,3.09286859e0,0
2.361809,0.00000000e0,-3.29697765e0,3.29697765e0,0
2.409548,0.00000000e0,-3.50746337e0,3.50746337e0,0
2.457286,0.00000000e0,-3.72432573e0,3.72432573e0,0
2.505025,0.00000000e0,-3.94756475e0,3.94756475e0,0
2.552764,0.00000000e0,-4.17718043e0,4.17718043e0,0
2.600503,0.00000000e0,-4.41317276e0,4.41317276e0,0
2.648241,0.00000000e0,-4.65554174e0,4.65554174e0,0
2.695980,0.00000000e0,-4.90428738e0,4.90428738e0,0
2.743719,0.00000000e0,-5.15940967e0,5.15940967e0,0
2.791457,0.00000000e0,-5.42090861e0,5.42090861e0,0
2.839196,0.00000000e0,-5.68878421e0,5.68878421e0,0
2.886935,0.00000000e0,-5.96303646e0,5.96303646e0,0
2.934673,0.00000000e0,-6.24366537e0,6.24366537e0,0
2.982412,0.00000000e0,-6.53067092e0,6.53067092e0,0
3.030151,0.00000000e0,-6.82405314e0,6.82405314e0,0
3.077889,0.00000000e0,-7.12381200e0,7.12381200e0,0
3.125628,0.00000000e0,-7.42994752e0,7.42994752e0,0
3.173367,0.00000000e0,-7.74245970e0,7.74245970e0,0
3.221106,0.00000000e0,-8.06134853e0,8.06134853e0,0
3.268844,0.00000000e0,-8.38661401e0,8.38661401e0,0
3.316583,0.00000000e0,-8.71825615e0,8.71825615e0,0
3.364322,0.00000000e0,-9.05627494e0,9.05627494e0,0
3.412060,0.00000000e0,-9.40067038e0,9.40067038e0,0
3.459799,0.00000000e0,-9.75144248e0,9.75144248e0,0
3.507538,0.00000000e0,-1.01085912e1,1.01085912e1,0
3.555276,0.00000000e0,-1.04721166e1,1.04721166e1,0
