alpha,power_index,newton_max_vel,non_newton_max_vel,vel_reduction,tau_min,tau_max,mean_strain_rate
0.000,1.200,0.01426368,0.01426368,0.000000,0.650000,0.650000,0.00343020
0.000,1.500,0.01426368,0.01426368,0.000000,0.650000,0.650000,0.00343020
0.000,2.000,0.01426368,0.01426368,0.000000,0.650000,0.650000,0.00343020
0.500,1.200,0.01426368,0.01425252,0.000782,0.650034,0.650690,0.00342722
0.500,1.500,0.01426368,0.01426089,0.000195,0.650000,0.650141,0.00342946
0.500,2.000,0.01426368,0.01426346,0.000015,0.650000,0.650010,0.00343014
1.000,1.200,0.01426368,0.01424178,0.001535,0.650077,0.651381,0.00342434
1.000,1.500,0.01426368,0.01425811,0.000390,0.650000,0.650282,0.00342873
1.000,2.000,0.01426368,0.01426325,0.000030,0.650000,0.650020,0.00343009
5.000,1.200,0.01426368,0.01416068,0.007221,0.650532,0.656891,0.00340249
5.000,1.500,0.01426368,0.01423609,0.001934,0.650004,0.651411,0.00342292
5.000,2.000,0.01426368,0.01426152,0.000151,0.650000,0.650100,0.00342963
20.000,1.200,0.01426368,0.01388604,0.026475,0.652770,0.677390,0.00332818
20.000,1.500,0.01426368,0.01415551,0.007583,0.650031,0.655618,0.00340164
20.000,2.000,0.01426368,0.01425506,0.000604,0.650000,0.650401,0.00342792
100.000,1.200,0.01426368,0.01271202,0.108784,0.667825,0.783350,0.00301517
100.000,1.500,0.01426368,0.01376203,0.035169,0.650324,0.677502,0.00329792
100.000,2.000,0.01426368,0.01422087,0.003001,0.650000,0.651997,0.00341887
