z,ra,dec,bestObjID
0.1000087,157.1807,48.225215,1237657628447539338
0.1000126,222.32868,7.1208783,1237662269145350186
0.1000162,254.32671,34.276947,1237655473434722785
0.1000535,152.78503,0.48575069,1237654670810546289
0.1000592,251.60875,39.492261,1237655502421622930
0.1000592,329.8503,1.2181902,1237678617941508225
0.1000676,132.93305,15.509075,1237670451057590430
0.1000781,210.35182,16.762959,1237668350818254929
0.1001256,244.24458,23.132053,1237665356688392318
0.1001532,168.54129,-0.13573419,1237648721225711805
0.1002235,186.59717,37.45052,1237664818751864898
0.1002776,135.81887,36.134867,1237660344469815390
0.1002838,240.18747,50.870439,1237655129835438333
0.1002942,134.68618,14.984989,1237667782813745438
0.100305,259.62087,57.572877,1237651212824608876
0.1003266,218.68728,23.295217,1237665531713814668
0.1003482,162.49447,31.457876,1237665331454607489
0.1003542,198.4464,51.591893,1237662301893230831
0.1003844,166.74414,37.735641,1237662224061235305
0.1003844,187.7489,35.761889,1237665025979777112
0.1004129,182.96303,44.557659,1237661850395017428
0.1004272,156.37622,14.035377,1237664132626776244
0.100452,192.26628,29.117052,1237665440977912025
0.1004626,131.79401,29.539677,1237661126151897412
0.1004794,177.49204,57.85216,1237661353779265649
0.1005037,8.2438642,14.2522,1237649918962892929
0.1005038,221.27961,27.539931,1237665180060745807
0.1005119,121.06606,25.864856,1237660343925801307
0.1005269,252.61667,29.181371,1237659161207570757
0.1005365,51.712229,-6.4811728,1237649962992795810
0.1005502,217.06114,19.14902,1237667735058907321
0.1005922,173.67258,5.1796307,1237654605868564536
0.1006098,184.03066,-2.2382793,1237650371020587050
0.1006608,173.57325,20.906828,1237667781219450938
0.1006622,335.98069,5.1871075,1237678778467680261
0.1007343,198.46714,9.6776825,1237662237472260228
0.1007588,158.03475,47.486448,1237658205577478167
0.100769,316.56364,9.0438839,1237652937792291268
0.1007966,190.89174,3.9648133,1237671764788314277
0.1008639,192.84238,47.414377,1237661357546733662
0.1008919,116.94162,51.648926,1237663918412857358
0.1009139,137.09832,57.184544,1237651271890174124
0.1009751,351.80208,0.81837699,1237663462607750179
0.1009857,168.29569,20.633824,1237667733965176989
0.1010349,159.00559,6.8404997,1237658299534278667
0.1010617,252.36344,38.156676,1237655474506694774
0.101069,207.36914,-3.2357634,1237671991343710340
0.101082,152.1221,7.3913595,1237658425161023755
0.1011032,126.16179,19.28854,1237667109574279564
0.1011093,170.86718,5.4731109,1237655126077079554
0.1011196,237.41437,6.53181,1237662197751087316
0.1011332,114.96988,32.805688,1237674289680548307
0.1011447,114.05337,23.277721,1237657629502865521
0.1011497,138.57799,54.342408,1237653614795423794
0.1011675,181.87588,33.683786,1237665228378079358
0.1011701,218.78765,23.185495,1237665531713880235
0.1012381,180.27358,4.6456934,1237671126980821058
0.1012562,10.674636,15.157257,1237653652376322202
0.1012567,143.93778,32.033092,1237664092905275395
0.1012581,138.38383,53.454381,1237654383052062923
0.1012874,344.9357,21.17573,1237666183492206805
0.1013031,128.72537,54.445701,1237651496836202653
0.101316,122.20395,6.4811372,1237661066014949935
0.1013642,184.42608,22.812094,1237667735582343242
0.1014028,44.965524,-0.2563165,1237663783680213140
0.101408,258.34552,32.94123,1237655504035971150
0.1015794,258.34412,32.941116,1237655504035971143
0.1015911,139.57852,54.195429,1237654383052521538
0.1016051,140.53175,12.890485,1237671124299940019
0.1016098,139.15075,53.911916,1237654383052325092
0.1016289,192.3402,2.8025452,1237671264961036533
0.1016454,252.26204,22.66654,1237661464383980259
0.1016693,189.63056,64.582359,1237654609605951625
0.1016944,210.10652,41.879581,1237661872411640037
0.1017012,162.98495,10.23083,1237658493882663284
0.1017756,175.5619,5.6606956,1237654606406221885
0.1017784,179.00324,10.830575,1237658493889544362
0.1017791,175.47695,6.5860137,1237661970644533272
0.1018321,185.22228,5.0529589,1237655125546434691
0.1018366,191.81438,62.481294,1237655464843804776
0.1018447,136.43253,1.5157592,1237653664716030278
0.1018704,190.00042,22.557258,1237667782836748345
0.1018785,124.24933,22.430006,1237664093433430272
0.1018891,176.98974,23.781745,1237667549276209244
0.1019059,188.62361,48.896871,1237658203438841953
0.1019262,161.77599,37.873845,1237664668974514309
0.1019983,51.314962,0.5690081,1237660241387978892
0.1020008,118.53337,15.564008,1237664834848030978
0.1020218,345.45925,17.138672,1237679457066549479
