name,gl,gb,p0,p1,dm
PSR J0518-6939,280.46,-33.36,0.33020997,null,254.20000
PSR J1623-6936,319.61,-13.96,0.0024098729945847,9.059E-21,46.41400
PSR J0535-6935,280.08,-31.94,0.20051133,1.15E-14,93.70000
PSR J0519-6932,280.29,-33.25,0.263211634568,6.968E-16,118.86000
PSR J0519-6931,280.28,-33.31,0.37773586,null,82.70000
PSR J1112-6926,294.42,-8.22,0.820488094061,2.82152E-15,148.66900
PSR J0537-69,279.77,-31.73,0.11261321,null,273.00000
PSR J0540-6919,279.72,-31.52,0.0505697030222,4.78909E-13,147.20000
PSR J0540-69_P,279.70,-31.53,0.9090003,null,52.70000
PSR J0537-6910,279.56,-31.74,0.0161222220245,5.17843E-14,null
PSR J0456-69,280.46,-35.33,0.117073051,null,103.00000
PSR J0534-6905,279.51,-32.01,0.8427825,null,244.00000
PSR J1055-6905,292.88,-8.50,2.9193969868,2.0336E-14,142.80000
PSR J1629-6902,320.37,-13.93,0.0060006034432179,1E-20,29.49480
PSR J0949-6902,287.83,-11.70,0.640015724160,6.37E-16,93.00000
PSR J0543-6851,279.13,-31.24,0.70895418575,3.94E-15,134.90000
PSR J0522-6847,279.35,-33.17,0.67453190906,1.7727E-14,126.45000
PSR J0750-6846,281.06,-20.05,0.91521580361,1.096E-16,54.60000
PSR J0509-6845,279.59,-34.28,0.30719713,null,92.60000
PSR J1456-6843,313.87,-8.54,0.2633769266537,9.895E-17,8.63500
PSR J1204-6843,298.68,-6.24,0.30886101484815,2.17013E-16,134.15000
PSR J0509-6838,279.46,-34.30,0.2787536,null,149.00000
PSR J2045-6837,326.07,-35.43,0.0029622548584408,1.2803E-20,21.07170
PSR J2045-68,326.10,-35.40,0.00296,null,21.20000
PSR J0521-68,279.12,-33.26,0.4334207,null,136.00000
PSR J1239-6832,301.88,-5.69,1.301924397751,1.18829E-14,94.06000
PSR J1646-6831,321.84,-14.83,1.785613597368,1.7017E-15,41.91700
PSR J0711-6830,279.53,-23.28,0.005490968507655535,1.49073E-20,18.40960
PSR J0542-68,278.45,-31.41,0.4251890,null,114.00000
PSR J1310-63,305.05,-0.52,0.18566668,null,625.00000
PSR J1130-6807,295.48,-6.43,0.2563531710011,4.6056E-16,148.73400
PSR J1352-6803,308.61,-5.87,0.6289033843652,1.2281E-15,215.01000
PSR J1414-6802,310.59,-6.42,4.6301880619,6.39E-15,153.50000
PSR J1502-6752,314.80,-8.07,0.02674442376700,3.145E-19,152.24200
PSR J0458-67,278.67,-35.52,1.1339000,null,97.00000
PSR J1259-6741,303.69,-4.83,0.6633302482426,8.5664E-16,91.90700
PSR J1558-67,319.35,-10.90,0.267268,null,105.00000
PSR J0556-67,277.45,-30.15,0.7905492,null,71.00000
PSR J1237-6725,301.58,-4.59,2.11097411794,2.19E-15,176.50000
PSR J1035-6720,290.37,-7.84,0.0028720063916972,4.6463E-20,84.16600
PSR J0451-67,278.41,-36.29,0.24545429,0E0,45.00000
PSR J1047-6709,291.31,-7.13,0.1984529493781,1.68722E-15,116.15600
PSR J1803-6707,326.85,-20.34,0.0021346188308539,1.8424E-20,38.38200
PSR J0534-6703,277.13,-32.28,1.81756503106,4.2505E-13,95.30000
PSR J1307-67,304.52,-4.24,3.65120,null,44.00000
PSR J1326-6700,306.31,-4.37,0.5430158772953,5.3206E-15,208.90000
PSR J1137-6700,295.79,-5.17,0.5562161259311,6.98E-17,228.04100
PSR J0529-6652,276.97,-32.76,0.975736826742,1.54735E-14,103.31000
PSR J0535-66,276.88,-32.20,0.21052436,null,75.00000
PSR J1123-6651,294.47,-5.44,0.2329788722770,2.74636E-15,111.19600
PSR J2127-6648,326.39,-39.78,0.3257716011374,2.25431E-16,35.93000
PSR J1507-6640,315.86,-7.30,0.35565648577332,1.15199E-15,130.21800
PSR J0532-6639,276.67,-32.48,0.64274275093,5.354E-15,69.20000
PSR J1305-66,304.34,-3.82,0.1972763,null,316.10000
PSR J0839-66,281.44,-14.93,0.449339,null,83.00000
PSR J1430-6623,312.65,-5.40,0.7854433453623,2.77752E-15,65.11200
PSR J1626-6621,322.21,-11.90,0.450867766330,7.664E-16,84.11000
PSR J1415-6621,311.23,-4.85,0.3924793799002,5.7802E-16,260.19400
PSR J1339-6618,307.79,-3.89,0.55817922185,3.5E-16,241.00000
PSR J0502-6617,276.87,-35.50,0.69125141818,2.309E-14,68.90000
PSR J1716+34,58.10,33.70,0.00211,null,null
PSR J1306-6617,304.46,-3.46,0.473027799896,5.9783E-15,438.21000
PSR J1622-6617,321.98,-11.56,0.023623444739392,5.88E-20,88.00490
PSR J1112-6613,293.19,-5.23,0.33421397350728,8.2307E-16,249.09000
PSR J1146-6610,296.48,-4.12,0.003722312502674,7.93E-21,133.82000
PSR J1328-6605,306.71,-3.50,0.734367,null,329.30000
