file_id	date	raw_rows	quarantined_rows	admitted_decisions	positive_decisions
0	2015-03-17	23875	0	21813	154
1	2015-03-18	27529	0	26498	340
2	2015-03-19	27528	0	26497	3810
3	2015-03-20	19765	0	17703	594
4	2015-03-21	27036	0	26005	2172
5	2015-03-24	4091	0	2724	255
6	2015-03-25	27529	0	26498	1449
7	2015-03-26	27529	0	25466	690
8	2015-03-27	27530	0	26499	109
9	2015-03-28	27529	0	26498	77
10	2015-03-29	27529	0	26498	516
11	2015-04-03	27530	0	26499	460
12	2015-04-04	27531	0	26500	1768
13	2015-04-05	27530	0	26499	262
14	2015-04-06	27532	0	26501	1505
15	2015-04-07	27530	0	26499	77
16	2015-04-08	27530	0	26499	308
17	2015-04-10	27530	0	26499	279
18	2015-04-11	27530	0	26499	226
19	2015-04-12	27529	0	26498	624
20	2015-04-13	27530	0	26499	1174
21	2015-04-14	27530	0	26499	76
22	2015-04-16	26460	0	25429	356
23	2015-04-17	5235	0	4204	956
24	2015-04-18	27529	0	26498	4761
25	2015-04-19	27530	0	26499	293
26	2015-04-20	27529	0	26498	1387
27	2015-04-21	27529	0	26498	516
28	2015-04-22	27529	0	26498	2110
29	2015-04-23	27528	0	26497	715
30	2015-04-24	27529	0	26498	1060
31	2015-04-26	27530	0	26499	154
32	2015-04-27	27528	0	25465	77
33	2015-04-28	27529	0	26498	585
34	2015-04-29	27529	0	26498	77
35	2015-04-30	27529	0	26498	316
36	2015-05-02	27530	0	26499	231
37	2015-05-03	27529	0	26498	210
38	2015-05-04	27529	0	26498	736
39	2015-05-05	27531	0	26500	682
40	2015-05-06	27530	0	26499	473
41	2015-05-08	26098	0	25067	497
42	2015-05-09	27529	0	26498	77
43	2015-05-10	27529	0	26498	853
44	2015-05-11	27530	0	26499	230
45	2015-05-12	27529	0	26498	154
46	2015-05-13	27530	0	26499	431
47	2015-05-14	27530	0	26499	1758
48	2015-05-15	27530	0	26499	695
49	2015-05-16	27529	0	26498	1174
50	2015-05-17	24571	0	23540	322
51	2015-05-18	26892	0	23798	0
52	2015-05-19	27530	0	26499	1470
53	2015-05-20	27530	0	26499	444
54	2015-05-23	27530	0	26499	372
55	2015-05-24	27530	0	26499	385
56	2015-05-25	27529	0	26498	613
57	2015-05-26	27530	0	26499	303
58	2015-05-27	27530	0	26499	77
59	2015-05-28	27530	0	26499	494
60	2015-05-29	27530	0	26499	242
61	2015-05-30	27530	0	26499	153
62	2015-05-31	27531	0	26500	449
63	2015-06-01	27531	0	26500	503
64	2015-06-04	27532	0	26501	76
65	2015-06-05	27530	0	26499	77
66	2015-06-08	27530	0	26499	396
67	2015-06-09	15175	0	13113	1446
68	2015-06-10	27530	0	26499	1628
69	2015-06-11	27530	0	26499	3879
70	2015-06-12	27531	0	26500	154
71	2015-06-13	27531	0	26500	1015
72	2015-06-14	27531	0	26500	93
73	2015-06-15	27529	0	26498	3291
74	2015-06-17	27530	0	26499	109
75	2015-06-18	27518	0	26487	77
76	2015-06-21	27378	0	26347	76
77	2015-06-22	27379	0	26348	152
78	2015-06-23	27377	0	26346	380
79	2015-06-24	27377	0	26346	888
80	2015-06-25	27378	0	26347	3117
81	2015-06-26	27377	0	26346	460
82	2015-06-30	27379	0	26348	152
83	2015-07-01	27379	0	26348	1780
84	2015-07-03	27378	0	26347	208
85	2015-07-04	27378	0	26347	84
86	2015-07-05	27377	0	26346	1100
87	2015-07-06	27378	0	26347	572
88	2015-07-07	27377	0	26346	184
89	2015-07-09	27378	0	26347	586
90	2015-07-10	27380	0	26349	152
91	2015-07-12	5216	0	4185	1698
92	2015-07-13	27378	0	26347	92
93	2015-07-15	27377	0	26346	3137
94	2015-07-22	27376	0	26345	344
95	2015-07-23	27379	0	26348	550
96	2015-07-26	27377	0	26346	837
97	2015-07-29	27379	0	26348	196
98	2015-07-30	27378	0	26347	304
99	2015-07-31	27379	0	26348	2265
100	2015-08-01	27380	0	26349	1839
101	2015-08-02	27379	0	25316	149
102	2015-08-06	27382	0	26351	902
103	2015-08-08	27380	0	25317	1191
104	2015-08-09	27379	0	26348	944
105	2015-08-10	27379	0	26348	626
106	2015-08-15	27379	0	26348	1811
107	2015-08-16	27378	0	26347	1221
108	2015-08-26	27379	0	26348	152
109	2015-08-27	27377	0	26346	1120
110	2015-08-28	27379	0	26348	372
111	2015-09-02	27377	0	26346	116
112	2015-09-07	27378	0	26347	756
113	2015-09-09	27377	0	26346	456
114	2016-07-06	27376	0	26345	100
115	2016-07-07	27375	0	26344	365
116	2016-07-08	27377	0	26346	93
117	2016-07-09	27375	0	26344	1218
118	2016-07-24	27374	0	26343	417
119	2016-07-25	27374	0	26343	76
120	2016-07-28	27374	0	26343	76
121	2016-07-29	27374	0	26343	320
122	2016-08-02	27375	0	26344	76
123	2016-08-07	26765	0	25530	228
124	2016-08-08	27401	0	26370	1257
125	2016-08-16	27396	0	26365	76
126	2016-08-21	27397	0	26366	470
127	2016-08-22	27397	0	26366	152
128	2016-08-23	27398	0	26367	550
129	2016-08-24	27389	0	26358	76
130	2016-08-25	27364	0	26333	240
131	2016-08-26	27365	0	26334	76
132	2016-08-30	27363	0	26332	1092
133	2016-08-31	27364	0	26333	627
134	2016-09-01	27363	0	26332	468
135	2016-09-02	14856	4	12456	0
136	2016-09-03	27363	0	26332	1532
137	2016-09-04	26511	0	24449	516
138	2016-09-05	16516	0	14454	2270
139	2016-09-06	27364	0	26333	352
140	2016-09-07	27363	0	26332	1104
141	2016-09-11	27365	0	26334	201
142	2016-09-13	27364	0	25301	305
143	2016-09-14	27365	0	25402	920
144	2016-09-15	27364	0	26333	230
145	2016-09-17	27365	0	26334	228
146	2016-09-20	27365	0	26334	598
147	2016-09-21	27364	0	26333	1262
148	2016-09-25	27364	0	26333	466
149	2016-09-26	27363	0	26332	1168
150	2016-09-27	27363	0	26332	250
151	2016-09-28	27363	0	26332	3645
152	2016-09-29	27363	0	26332	2361
153	2016-09-30	12347	0	9253	212
154	2016-10-01	27198	0	24466	0
155	2016-10-04	27363	0	26332	1845
156	2016-10-05	27363	0	26332	2098
157	2016-10-06	26848	0	24786	1027
158	2016-10-07	27363	0	26332	509
159	2016-10-12	27362	0	26331	153
160	2016-10-13	27362	0	26331	153
161	2016-10-16	27364	0	26333	2116
162	2016-10-17	27363	0	26332	161
163	2016-10-22	27362	0	24461	917
164	2016-10-24	27362	0	26331	732
165	2016-10-25	23731	0	22094	1924
