energy_ev,n,k
116.448,0.931671039,0.00955497218
118.331,0.935554441,0.00827797733
120.245,0.939045159,0.00740606137
122.19,0.942211233,0.00662598339
124.166,0.94516334,0.00592813963
126.175,0.947962136,0.00530368462
128.215,0.950613104,0.00481227565
130.289,0.953090303,0.00438785384
132.397,0.955480171,0.0040008235
134.538,0.957747989,0.00376765333
136.714,0.959833603,0.00356081754
138.925,0.961817597,0.00340201991
141.172,0.963697021,0.00327724173
143.456,0.965466902,0.00323220163
145.776,0.967099013,0.00318333953
148.134,0.968665446,0.00313117381
150.53,0.97017425,0.00314308445
152.964,0.971573344,0.00318276397
155.439,0.972886155,0.00322287003
157.953,0.974145988,0.00326352299
160.507,0.975364373,0.00336976153
163.103,0.976472608,0.00352204381
165.742,0.977467198,0.00368011611
168.422,0.978373456,0.00381509846
171.146,0.979191214,0.00395224957
173.915,0.97994053,0.00400763575
176.727,0.980675803,0.00406388318
179.586,0.981353163,0.00412085241
182.491,0.981980897,0.00411217985
185.442,0.982606295,0.0040996008
188.442,0.983199364,0.00408700404
191.489,0.983758738,0.00405713885
194.587,0.984305681,0.00400624675
197.734,0.984837616,0.00395386416
200.932,0.98535412,0.00389061051
204.182,0.985858974,0.00382835735
207.485,0.986348573,0.00376707806
210.84,0.98682199,0.00370684549
214.251,0.987279417,0.00364750765
217.716,0.987720535,0.00358915329
221.237,0.988145733,0.00353173938
224.816,0.98855523,0.00347521071
228.452,0.988948665,0.00341962289
232.147,0.989325984,0.00336490634
235.902,0.989680648,0.00331106303
239.717,0.990014149,0.00323967683
243.595,0.990353721,0.0031625845
247.535,0.990686097,0.00308734612
251.538,0.991009856,0.00301390822
255.607,0.991323839,0.00294219233
259.741,0.991626544,0.00286732628
263.942,0.991925052,0.00279209566
268.211,0.992216258,0.00271883453
272.549,0.992498482,0.00264749303
276.957,0.992767265,0.00257789638
281.437,0.993030055,0.00248864838
285.989,0.993298989,0.00240250882
290.615,0.993566844,0.00231933626
295.315,0.993832068,0.00223899179
300.092,0.994094124,0.00216135418
304.945,0.99434951,0.00208642205
309.878,0.994600638,0.00200014652
314.89,0.994864682,0.00191393475
319.983,0.995136675,0.00183700633
325.158,0.995400916,0.00176823322
330.418,0.995659639,0.00168729119
335.762,0.995953568,0.00160426852
341.192,0.996268976,0.00154685534
346.711,0.996575846,0.00151898686
352.319,0.996892371,0.0014901248
358.017,0.997214039,0.00148973756
363.808,0.997544618,0.0015088604
369.692,0.997885465,0.00153534514
375.672,0.998255743,0.00159888969
381.748,0.998697543,0.00174626465
387.922,0.999089264,0.00198726089
394.197,0.999421737,0.00239840548
400.573,0.999608546,0.00284684299
407.052,0.999609433,0.00327772981
413.635,0.9995578,0.00366330814
420.326,0.999417138,0.00398743849
427.124,0.999166856,0.00419942578
434.032,0.998951074,0.00433414329
441.052,0.998765779,0.00436466783
448.186,0.998609156,0.00439538533
455.435,0.998470892,0.00438590801
462.802,0.998351993,0.00437510098
470.287,0.998231197,0.00436434742
477.894,0.998112919,0.0043193439
485.623,0.997997177,0.0042727284
493.478,0.997896156,0.00418135963
501.459,0.997822354,0.00409020098
509.57,0.997762674,0.00400101981
517.812,0.997710967,0.00391380157
526.187,0.997662728,0.00382376064
534.698,0.997624737,0.00373110392
