energy_ev,n,k
0.640084,0.92,13.78
0.770088,0.56,11.21
0.890052,0.43,9.519
1.019607,0.35,8.145
1.139561,0.27,7.15
1.260002,0.22,6.35
1.389957,0.17,5.663
1.509977,0.16,5.083
1.640003,0.14,4.542
1.759889,0.13,4.103
1.879973,0.14,3.697
2.01012,0.21,3.272
2.129947,0.29,2.863
2.260011,0.43,2.455
2.380192,0.62,2.081
2.500185,1.04,1.833
2.630127,1.31,1.849
2.749705,1.38,1.914
2.880005,1.45,1.948
2.99986,1.46,1.958
3.119884,1.47,1.952
3.249913,1.46,1.933
3.370052,1.48,1.895
3.500401,1.5,1.866
3.619977,1.48,1.871
3.740096,1.48,1.883
3.869669,1.54,1.898
3.99048,1.53,1.893
4.120445,1.53,1.889
4.240226,1.49,1.878
4.359501,1.47,1.869
4.490554,1.43,1.847
4.610792,1.38,1.803
4.739457,1.35,1.749
4.860219,1.33,1.688
4.979285,1.33,1.631
5.110643,1.32,1.577
5.229194,1.32,1.536
5.36032,1.3,1.497
5.481176,1.31,1.46
5.600009,1.3,1.427
5.729399,1.3,1.387
5.851071,1.3,1.35
5.980907,1.3,1.304
6.098583,1.33,1.277
6.220983,1.33,1.251
6.348397,1.34,1.226
6.470992,1.32,1.203
6.598414,1.28,1.188
