energy_ev,n,k
0.640084,1.09,13.43
0.770088,0.76,11.12
0.890052,0.6,9.439
1.019607,0.48,8.245
1.139561,0.36,7.217
1.260002,0.32,6.421
1.389957,0.3,5.768
1.509977,0.26,5.18
1.640003,0.24,4.665
1.759889,0.21,4.205
1.879973,0.22,3.747
2.01012,0.3,3.205
2.129947,0.7,2.704
2.260011,1.02,2.577
2.380192,1.18,2.608
2.500185,1.22,2.564
2.630127,1.25,2.483
2.749705,1.24,2.397
2.880005,1.25,2.305
2.99986,1.28,2.207
3.119884,1.32,2.116
3.249913,1.33,2.045
3.370052,1.36,1.975
3.500401,1.37,1.916
3.619977,1.36,1.864
3.740096,1.34,1.821
3.869669,1.38,1.783
3.99048,1.38,1.729
4.120445,1.4,1.679
4.240226,1.42,1.633
4.359501,1.45,1.633
4.490554,1.46,1.646
4.610792,1.45,1.668
4.739457,1.41,1.691
4.860219,1.41,1.741
4.979285,1.37,1.783
5.110643,1.34,1.799
5.229194,1.28,1.802
5.36032,1.23,1.792
5.481176,1.18,1.768
5.600009,1.13,1.737
5.729399,1.08,1.699
5.851071,1.04,1.651
5.980907,1.01,1.599
6.098583,0.99,1.55
6.220983,0.98,1.493
6.348397,0.97,1.44
6.470992,0.95,1.388
6.598414,0.94,1.337
