radial_bin,mode,n_galaxies,mean_r_kpc,mean_r_norm,aligned_abs_km_s,aligned_phase_rad,aligned_rayleigh_r,aligned_bootstrap_sigma_km_s,aligned_snr,unaligned_abs_km_s,unaligned_phase_rad,unaligned_bootstrap_sigma_km_s,unaligned_snr
12,1,6,8.783823,0.696931,59.346431,2.533166,0.529139,25.462640,2.330726,75.902535,-2.498425,24.788012,3.062066
12,2,6,8.783823,0.696931,25.211752,-2.527397,0.195622,28.655677,0.879817,47.827599,-2.501520,31.800635,1.503983
12,3,6,8.783823,0.696931,48.110170,0.561668,0.381524,24.136449,1.993258,54.775472,2.114998,23.840700,2.297561
12,4,6,8.783823,0.696931,34.023455,3.015541,0.337306,23.348292,1.457214,35.528609,1.758484,24.681485,1.439484
13,0,10,12.724822,0.750668,113.839880,3.141593,0.400000,64.867205,1.754968,113.839880,3.141593,66.007729,1.724645
13,1,10,12.724822,0.750668,85.965334,-0.110872,0.504559,50.082093,1.716488,60.784481,1.592726,46.400573,1.309994
13,2,10,12.724822,0.750668,82.353990,2.609996,0.492154,52.414207,1.571215,54.240395,-0.434587,51.636124,1.050435
13,3,10,12.724822,0.750668,60.940214,-0.765094,0.147542,45.550124,1.337872,70.316904,-2.520869,45.363339,1.550082
13,4,10,12.724822,0.750668,59.215933,1.567559,0.409501,44.195376,1.339867,53.151873,2.371522,48.638495,1.092794
15,0,6,13.826285,0.861509,54.296653,3.141593,0.000000,41.898091,1.295922,54.296653,3.141593,44.971447,1.207358
15,1,6,13.826285,0.861509,38.752891,-2.860003,0.374001,18.940404,2.046044,20.535487,-3.071233,18.867234,1.088421
15,2,6,13.826285,0.861509,48.866003,-1.822474,0.519336,22.648083,2.157622,14.571226,1.967421,20.363086,0.715571
15,3,6,13.826285,0.861509,55.178669,-0.427662,0.522060,24.155721,2.284290,27.593839,2.267442,22.323507,1.236089
15,4,6,13.826285,0.861509,62.299447,0.627118,0.521846,21.008843,2.965392,10.703407,2.062861,20.959695,0.510666
