plateifu,ring_idx,r_kpc,n_pixels,mean_v_circ_km_s,rms_residual_km_s,mode_0_abs_km_s,mode_1_abs_km_s,mode_2_abs_km_s,mode_3_abs_km_s,mode_4_abs_km_s,mode_0_rel_axisymmetric,mode_1_rel_axisymmetric,mode_2_rel_axisymmetric,mode_3_rel_axisymmetric,mode_4_rel_axisymmetric
10001-12702,5,11.240057,291,-123.298876,35.769169,123.298876,33.872668,79.274465,46.422734,36.204428,1.000000,0.274720,0.642946,0.376506,0.293631
10001-12702,6,13.027844,20,-123.537129,22.446855,123.537129,122.375620,119.035703,113.930329,107.676754,1.000000,0.990598,0.963562,0.922236,0.871615
10001-12703,0,1.485128,22,65.589569,33.280523,65.589569,7.754421,35.319997,2.937697,4.453680,1.000000,0.118226,0.538500,0.044789,0.067902
10001-12703,1,3.641258,72,128.271937,25.320572,128.271937,2.456969,72.918389,2.739399,6.672994,1.000000,0.019154,0.568467,0.021356,0.052022
10001-12703,2,6.029868,112,153.349935,17.862166,153.349935,7.004876,98.396897,8.837350,26.976042,1.000000,0.045679,0.641649,0.057629,0.175912
10001-12703,3,8.204673,157,163.230085,16.379227,163.230085,10.234213,103.357231,8.062398,14.864396,1.000000,0.062698,0.633200,0.049393,0.091064
10001-12703,4,10.488684,191,167.460482,23.008153,167.460482,57.003695,94.100060,38.239837,11.755264,1.000000,0.340401,0.561924,0.228351,0.070197
10001-12703,5,12.593211,221,175.845547,26.345679,175.845547,69.212593,100.775321,46.409429,25.684126,1.000000,0.393599,0.573090,0.263922,0.146061
10001-12705,0,1.641757,34,-84.220085,49.123402,84.220085,38.318066,46.972500,8.855774,7.516739,1.000000,0.454975,0.557735,0.105150,0.089251
10001-12705,1,3.702374,100,-141.423953,37.556432,141.423953,42.478287,74.640515,18.754773,4.318059,1.000000,0.300361,0.527778,0.132614,0.030533
10001-12705,2,5.926502,164,-162.762594,32.650206,162.762594,47.773594,88.556807,27.096073,18.972837,1.000000,0.293517,0.544086,0.166476,0.116568
10001-12705,3,8.317028,226,-170.039103,26.578169,170.039103,64.619215,121.296558,41.136627,62.082205,1.000000,0.380026,0.713345,0.241925,0.365105
10001-12705,4,10.389980,292,-176.489980,21.926262,176.489980,79.800879,138.797742,65.238602,84.270187,1.000000,0.452155,0.786434,0.369645,0.477479
10001-12705,5,12.533081,324,-188.909123,25.847952,188.909123,114.016106,130.881843,64.657288,51.880487,1.000000,0.603550,0.692830,0.342267,0.274632
10001-12705,6,14.462212,28,-200.662699,74.769353,200.662699,74.336444,91.176521,84.764891,118.724597,1.000000,0.370455,0.454377,0.422425,0.591663
10001-1901,0,0.789296,32,-47.368381,20.697034,47.368381,5.469484,22.688020,6.522266,5.251177,1.000000,0.115467,0.478970,0.137692,0.110858
10001-1901,1,1.776894,99,-96.166567,37.833247,96.166567,40.096489,34.341140,8.230640,17.042447,1.000000,0.416948,0.357101,0.085587,0.177218
10001-1901,2,3.119476,74,-201.765898,155.101440,201.765898,130.675360,75.671271,104.065435,83.968740,1.000000,0.647658,0.375045,0.515773,0.416169
10001-1902,0,0.784632,46,-28.874656,639.446445,28.874656,58.898234,120.496003,128.985597,109.877343,1.000000,2.039790,4.173072,4.467087,3.805321
10001-1902,1,2.013078,150,-13.915327,299.880354,13.915327,47.046860,41.047546,37.325134,10.907970,1.000000,3.380938,2.949808,2.682304,0.783882
10001-1902,2,2.940806,62,-104.592260,423.262226,104.592260,137.360022,177.797037,156.357668,157.981004,1.000000,1.313290,1.699906,1.494926,1.510446
10001-3703,0,1.339926,40,-62.941511,26.294425,62.941511,2.274280,32.532045,1.858443,2.735908,1.000000,0.036133,0.516862,0.029527,0.043467
10001-3703,1,3.105132,110,-126.075500,13.876626,126.075500,5.499832,73.456955,7.841752,11.203522,1.000000,0.043623,0.582643,0.062199,0.088864
10001-3703,2,4.999716,177,-155.969903,14.068553,155.969903,25.866961,101.202472,20.761124,32.179691,1.000000,0.165846,0.648859,0.133110,0.206320
10001-3703,3,6.567602,36,-172.528466,13.325992,172.528466,98.422273,137.927927,75.141444,104.760481,1.000000,0.570470,0.799450,0.435531,0.607207
10001-6101,0,4.038322,54,-69.164029,283.497370,69.164029,166.668540,64.207362,87.631496,24.120692,1.000000,2.409758,0.928335,1.267010,0.348746
10001-6101,1,10.096755,156,-1135.673183,267.292429,1135.673183,1134.460383,1120.347142,1117.784154,1103.096496,1.000000,0.998932,0.986505,0.984248,0.971315
10001-6101,2,12.392984,251,-839.177219,561.324322,839.177219,822.995974,821.550948,868.011464,866.040910,1.000000,0.980718,0.978996,1.034360,1.032012
10001-6101,3,18.693025,217,-4.352514,456.538429,4.352514,105.668735,173.254603,130.047810,71.975165,1.000000,24.277635,39.805643,29.878783,16.536459
10001-6102,0,0.773809,36,-56.410860,31.205719,56.410860,29.815216,26.207027,1.590677,4.860208,1.000000,0.528537,0.464574,0.028198,0.086157
10001-6102,1,2.075063,106,-136.548328,46.713083,136.548328,7.144660,71.071519,7.606581,10.241392,1.000000,0.052323,0.520486,0.055706,0.075002
10001-6102,2,3.513840,178,-206.377577,35.665598,206.377577,11.774162,155.229241,28.611958,69.963384,1.000000,0.057052,0.752161,0.138639,0.339007
10001-6102,3,4.720280,234,-217.455827,33.848401,217.455827,57.596071,151.592636,61.707302,46.881950,1.000000,0.264863,0.697119,0.283769,0.215593
10001-6102,4,5.894299,169,-227.741510,44.129067,227.741510,84.985170,67.619492,92.892562,135.404105,1.000000,0.373165,0.296913,0.407886,0.594552
10001-6103,0,1.302649,52,-135.177306,98.307461,135.177306,93.580651,76.862019,75.015724,59.687723,1.000000,0.692281,0.568601,0.554943,0.441551
10001-6103,1,3.292547,156,-61.152456,311.900103,61.152456,112.366373,120.982997,92.733333,74.166586,1.000000,1.837479,1.978383,1.516429,1.212815
10001-6103,2,5.299795,256,-7.306300,330.242306,7.306300,99.508798,53.522716,62.699910,58.186288,1.000000,13.619588,7.325557,8.581623,7.963852
10001-6103,3,7.246634,336,-91.405945,348.523777,91.405945,164.238004,151.296658,63.192264,143.942582,1.000000,1.796798,1.655217,0.691336,1.574762
10001-6103,4,8.815463,99,-58.290371,582.578622,58.290371,119.663273,120.203512,317.229802,127.563595,1.000000,2.052882,2.062150,5.442233,2.188416
10001-6104,0,1.878954,38,50.598191,31.417747,50.598191,7.084949,24.250172,3.750400,4.448466,1.000000,0.140024,0.479270,0.074121,0.087917
10001-6104,1,5.175017,112,159.762182,57.625664,159.762182,41.971850,89.289909,12.532801,8.735236,1.000000,0.262715,0.558893,0.078447,0.054676
