lambda,spearman_r,pearson_r,n_regions,mean_frustration,mean_viscosity,lbm_max_velocity,betti_0,betti_1
0.500,-0.952381,-0.998978,8,0.551663,0.327731,0.00682342,1,0
1.000,-0.952381,-0.999042,8,0.551663,0.322252,0.00688129,1,0
1.500,-0.952381,-0.999104,8,0.551663,0.316893,0.00693985,1,0
2.000,-0.952381,-0.999163,8,0.551663,0.311652,0.00699904,1,0
3.000,-0.976190,-0.999273,8,0.551663,0.301509,0.00711914,1,0
5.000,-0.976190,-0.999465,8,0.551663,0.282498,0.00736475,1,0
10.000,-0.976190,-0.999797,8,0.551663,0.241448,0.00798970,1,1
