lambda,spearman_r,pearson_r,n_regions,mean_frustration,mean_viscosity,lbm_max_velocity,betti_0,betti_1
0.500,-0.998947,-0.997749,64,0.551575,0.327776,0.08343115,3,0
1.000,-0.998947,-0.997892,64,0.551575,0.322339,0.08379162,3,0
1.500,-0.998947,-0.998029,64,0.551575,0.317019,0.08413731,3,0
2.000,-0.999130,-0.998161,64,0.551575,0.311812,0.08446782,3,0
3.000,-0.999176,-0.998411,64,0.551575,0.301727,0.08508166,3,0
5.000,-0.999313,-0.998850,64,0.551575,0.282795,0.08611055,3,0
10.000,-0.999405,-0.999617,64,0.551575,0.241779,0.08745923,2,0
