lambda,spearman_r,pearson_r,n_regions,mean_frustration,mean_viscosity,lbm_max_velocity,betti_0,betti_1
0.500,-0.997558,-0.997354,27,0.551943,0.327748,0.02651526,1,2
1.000,-0.997558,-0.997526,27,0.551943,0.322284,0.02680749,1,2
1.500,-0.997558,-0.997690,27,0.551943,0.316939,0.02710240,1,2
2.000,-0.997558,-0.997849,27,0.551943,0.311708,0.02739986,1,2
3.000,-0.998779,-0.998149,27,0.551943,0.301579,0.02800271,1,2
5.000,-0.998779,-0.998677,27,0.551943,0.282575,0.02923646,1,2
10.000,-1.000000,-0.999591,27,0.551943,0.241446,0.03241851,1,2
