lambda,spearman_r,pearson_r,n_regions,mean_frustration,mean_viscosity,lbm_max_velocity,betti_0,betti_1
0.500,-0.993702,-0.996229,125,0.551476,0.327783,0.13673612,2,0
1.000,-0.993917,-0.996462,125,0.551476,0.322353,0.13637782,2,0
1.500,-0.994175,-0.996686,125,0.551476,0.317039,0.13600918,2,0
2.000,-0.994556,-0.996902,125,0.551476,0.311838,0.13563036,2,0
3.000,-0.995121,-0.997311,125,0.551476,0.301764,0.13484274,2,0
5.000,-0.996086,-0.998032,125,0.551476,0.282851,0.13315181,2,0
10.000,-0.998243,-0.999297,125,0.551476,0.241868,0.12830873,2,0
