idx	rel	fname	url	local_path	exists	size	status	signature
1	m0/nomenclature	Cayley-E2-80-93Dickson-construction-d7887cb4.html	https://en.wikipedia.org/wiki/Cayley%E2%80%93Dickson_construction	data/external/cd_synthesis_axes/files/m0/nomenclature/Cayley-E2-80-93Dickson-construction-d7887cb4.html	True	211567	html_or_text	<!DOCTYPE html> 
2	m0/nomenclature	Trigintaduonion-29dd6060.html	https://en.wikipedia.org/wiki/Trigintaduonion	data/external/cd_synthesis_axes/files/m0/nomenclature/Trigintaduonion-29dd6060.html	True	1182755	html_or_text	<!DOCTYPE html> 
3	m0/nomenclature	what-comes-after-the-ducentiquinquagintasexions-74dc00b1.html	https://english.stackexchange.com/questions/234607/what-comes-after-the-ducentiquinquagintasexions	data/external/cd_synthesis_axes/files/m0/nomenclature/what-comes-after-the-ducentiquinquagintasexions-74dc00b1.html	True	208744	html_or_text	 <!DOCTYPE html>
4	m1/construction	2-3-Cayley-Dickson-20process-bd653199.pdf	https://mysite.science.uottawa.ca/neher/Papers/alternative/2.3.Cayley-Dickson%20process.pdf	data/external/cd_synthesis_axes/files/m1/construction/2-3-Cayley-Dickson-20process-bd653199.pdf	True	1130658	pdf	%PDF-1.2 % âãÏÓ 
5	m1/construction	schafer-nonassociative-algebras-c15f8f35.pdf	https://math.mit.edu/~hrm/palestine/schafer-nonassociative-algebras.pdf	data/external/cd_synthesis_axes/files/m1/construction/schafer-nonassociative-algebras-c15f8f35.pdf	True	5916574	pdf	%PDF-1.6 %âãÏÓ  
6	m1/construction	pjm-v20-n3-p03-s-179b79ac.pdf	https://msp.org/pjm/1967/20-3/pjm-v20-n3-p03-s.pdf	data/external/cd_synthesis_axes/files/m1/construction/pjm-v20-n3-p03-s-179b79ac.pdf	True	1008368	pdf	%PDF-1.4 %çóÏÓ 1
7	m1/construction	pjm-v117-n1-pjm-v117-n1-p10-s-3ff5b0d9.pdf	https://msp.org/pjm/1985/117-1/pjm-v117-n1-pjm-v117-n1-p10-s.pdf	data/external/cd_synthesis_axes/files/m1/construction/pjm-v117-n1-pjm-v117-n1-p10-s-3ff5b0d9.pdf	True	240	placeholder_unavailable	Automated fetch 
8	m2/identity-regime	ptt110-d91e7c01.pdf	https://academic.oup.com/ptep/article-pdf/2014/1/013A03/4432616/ptt110.pdf	data/external/cd_synthesis_axes/files/m2/identity-regime/ptt110-d91e7c01.pdf	True	525	pdf_path_nonpdf_payload	Title: Just a mo
9	m3/zero-divisors	0207003-6bbb803e.pdf	https://arxiv.org/pdf/math/0207003	data/external/cd_synthesis_axes/files/m3/zero-divisors/0207003-6bbb803e.pdf	True	304671	pdf	%PDF-1.2  %âãÏÓ 
10	m3/zero-divisors	0403113-dd6c39f2.pdf	https://arxiv.org/pdf/math/0403113	data/external/cd_synthesis_axes/files/m3/zero-divisors/0403113-dd6c39f2.pdf	True	206494	pdf	%PDF-1.4  %äöÜß 
11	m3/zero-divisors	0603281-5a00c6d4.pdf	https://arxiv.org/pdf/math/0603281	data/external/cd_synthesis_axes/files/m3/zero-divisors/0603281-5a00c6d4.pdf	True	402016	pdf	%PDF-1.4  %äöÜß 
12	m3/zero-divisors	0704-a20a133a.pdf	https://arxiv.org/pdf/0704.0026	data/external/cd_synthesis_axes/files/m3/zero-divisors/0704-a20a133a.pdf	True	201711	pdf	%PDF-1.4 %Çì¢ 5
13	m3/zero-divisors	17-2-3-6ed3419d.pdf	https://content.wolfram.com/uploads/sites/13/2023/02/17-2-3.pdf	data/external/cd_synthesis_axes/files/m3/zero-divisors/17-2-3-6ed3419d.pdf	True	391656	pdf	%PDF-1.6 %âãÏÓ  
14	m5/loops	1102-59b95a7f.pdf	https://arxiv.org/pdf/1102.5151	data/external/cd_synthesis_axes/files/m5/loops/1102-59b95a7f.pdf	True	663591	pdf	%PDF-1.5 % 53 0
15	m5/loops	1505440830-a0bf1445.pdf	https://projecteuclid.org/journals/journal-of-generalized-lie-theory-and-applications/volume-6/issue-none/Automorphism-Groups-of-Cayley-Dickson-Loops/jglta/1505440830.pdf	data/external/cd_synthesis_axes/files/m5/loops/1505440830-a0bf1445.pdf	True	1015627	pdf	%PDF-1.4 %Óëéá 1
16	m5/loops	0412390-aedcddde.pdf	https://arxiv.org/pdf/math/0412390	data/external/cd_synthesis_axes/files/m5/loops/0412390-aedcddde.pdf	True	239721	pdf	%PDF-1.4 %Çì¢ 5
17	m5/loops	cayleydickson-algebras-and-loops-1736-4337-1-101-082879a2.pdf	https://www.hilarispublisher.com/open-access/cayleydickson-algebras-and-loops-1736-4337-1-101.pdf	data/external/cd_synthesis_axes/files/m5/loops/cayleydickson-algebras-and-loops-1736-4337-1-101-082879a2.pdf	True	173935	pdf	%PDF-1.7 %âãÏÓ  
18	m6/representation	1405-2dcfda8e.pdf	https://arxiv.org/pdf/1405.6888	data/external/cd_synthesis_axes/files/m6/representation/1405-2dcfda8e.pdf	True	434317	pdf	%PDF-1.4 %Çì¢ 5
19	m6/representation	ceedeenions-40c63f2f.pdf	https://www.astro.sk/~msaniga/pub/ftp/ceedeenions.pdf	data/external/cd_synthesis_axes/files/m6/representation/ceedeenions-40c63f2f.pdf	True	394250	pdf	%PDF-1.4 %âãÏÓ  
20	m6/representation	1602-5f83c982.pdf	https://arxiv.org/pdf/1602.02317	data/external/cd_synthesis_axes/files/m6/representation/1602-5f83c982.pdf	True	43492	pdf_path_nonpdf_payload	<!DOCTYPE html> 
21	m6/representation	1602-e6af4309.pdf	https://arxiv.org/pdf/1602.02843	data/external/cd_synthesis_axes/files/m6/representation/1602-e6af4309.pdf	True	120533	pdf	%PDF-1.4 %Çì¢ 5
22	m6/representation	A-Tree-for-Computing-the-Cayley-Dickson-Twist-889dfb86.pdf	https://www.researchgate.net/profile/John-Bales/publication/238738095_A_Tree_for_Computing_the_Cayley-Dickson_Twist/links/0a85e53a8b63445499000000/A-Tree-for-Computing-the-Cayley-Dickson-Twist.pdf	data/external/cd_synthesis_axes/files/m6/representation/A-Tree-for-Computing-the-Cayley-Dickson-Twist-889dfb86.pdf	True	667	pdf_path_nonpdf_payload	Title: Just a mo
23	m6/representation	Thesis-3-3-f10028dd.pdf	https://www.math.fsu.edu/~hoeij/2021/Thesis-3.3.pdf	data/external/cd_synthesis_axes/files/m6/representation/Thesis-3-3-f10028dd.pdf	True	533362	pdf	%PDF-1.5 %ÐÔÅØ 6
24	m6/representation	Cayley-Dickson-1f11f4e8.html	https://github.com/thoppe/Cayley-Dickson	data/external/cd_synthesis_axes/files/m6/representation/Cayley-Dickson-1f11f4e8.html	True	278800	html_or_text	       <!DOCTYPE
25	m6/representation	hypercomplex-4c897131.html	https://pypi.org/project/hypercomplex/	data/external/cd_synthesis_axes/files/m6/representation/hypercomplex-4c897131.html	True	3101	html_or_text	<!DOCTYPE html> 
