test_type,epsilon_mpc,n_points,n_testable,metric_value,null_mean,p_value,verdict
local_ultrametricity,100,12,0,NaN,NaN,1.000000,UncalibratedGeometryRelabeling
dendrogram_cophenetic,global,12,12,0.512044,0.512044,0.333333,UncalibratedGeometryRelabeling
