parameter	unit	baseline_width	improved_width	point_noise_pa	information_before	information_after	relative_information_gain	scope
offset	Pa	2.00000000000000004e-3	1.00000000000000002e-3	3.00000000000000006e-3	5.14854430068055251e1	5.25250286710679148e1	2.01918368290037176e-2	conditional_design_scenario
patch_amplitude_at_100nm	Pa	1.00000000000000002e-2	5.00000000000000010e-3	3.00000000000000006e-3	5.14854430068055251e1	5.28169721997255621e1	2.58622460089161788e-2	conditional_design_scenario
full_differential_gap	nm	1.00000000000000006e-1	5.00000000000000028e-2	3.00000000000000006e-3	5.14854430068055251e1	1.11513055985564307e2	1.16591427543556581e0	conditional_design_scenario
full_differential_gain	1	1.00000000000000002e-3	5.00000000000000010e-4	3.00000000000000006e-3	5.14854430068055251e1	5.30796002781824683e1	3.09632622014386349e-2	conditional_design_scenario
roughness_variance_difference	nm^2	1.00000000000000000e0	5.00000000000000000e-1	3.00000000000000006e-3	5.14854430068055251e1	5.32519233431731820e1	3.43102872035918605e-2	conditional_design_scenario
full_differential_au_thickness	nm	1.00000000000000006e-1	5.00000000000000028e-2	3.00000000000000006e-3	5.14854430068055251e1	5.48553394639192504e1	6.54533837199047230e-2	conditional_design_scenario
full_differential_silica_thickness	nm	5.00000000000000000e-1	2.50000000000000000e-1	3.00000000000000006e-3	5.14854430068055251e1	5.14930755957558048e1	1.48247514336619091e-4	conditional_design_scenario
full_differential_alumina_thickness	nm	5.00000000000000000e-1	2.50000000000000000e-1	3.00000000000000006e-3	5.14854430068055251e1	5.14854431333351101e1	2.45757969530302489e-9	conditional_design_scenario
