gap_nm	target_pa	mean_pa	offset_pa_per_pa	patch_pa_per_pa	gap_pa_per_nm	gain_pa_per_fraction	roughness_pa_per_nm2	cap_pa_per_nm	silica_pa_per_nm	alumina_pa_per_nm
100	1.46395800620370053e-1	-5.01652711033480347e0	1.00000000000000000e0	1.00000000000000000e0	1.74283906059828908e-1	-5.01652711033480347e0	-3.86048674858585541e-3	-7.34125091590276391e-2	8.15484295260127112e-4	1.26809317904097441e-4
125	5.49313190824638475e-2	-2.30154559552411619e0	1.00000000000000000e0	6.40000000000000124e-1	6.46230975208883507e-2	-2.30154559552411619e0	-1.15351936180729787e-3	-3.50438519858786712e-2	4.21488359985122685e-4	1.00269334574187852e-4
150	2.36565862782680547e-2	-1.21029280292638530e0	1.00000000000000000e0	4.44444444444444420e-1	2.85704756657700898e-2	-1.21029280292638530e0	-4.27725304996684377e-4	-1.86712198967581289e-2	2.35785836693591655e-4	7.23101353200528152e-5
175	1.12676085162494166e-2	-6.99707287221162932e-1	1.00000000000000000e0	3.26530612244897933e-1	1.42684356690181424e-2	-6.99707287221162932e-1	-1.84159597560462602e-4	-1.07756169241163269e-2	1.40102854828683121e-4	5.10664016822870437e-5
200	5.79861169032946933e-3	-4.33763138528172054e-1	1.00000000000000000e0	2.50000000000000000e-1	7.79324470316478113e-3	-4.33763138528172054e-1	-8.84772935361155397e-5	-6.61067965914946543e-3	8.73239648865875573e-5	3.61057843968615177e-5
225	3.17385104887402125e-3	-2.83712872240933167e-1	1.00000000000000000e0	1.97530864197530853e-1	4.55896728500659876e-3	-2.83712872240933167e-1	-4.62289131197834923e-5	-4.25675218192006488e-3	5.65911875168023659e-5	2.57658566935048405e-5
250	1.82707302151180473e-3	-1.93635368461123586e-1	1.00000000000000000e0	1.60000000000000031e-1	2.81586983858578277e-3	-1.93635368461123586e-1	-2.58112963502643533e-5	-2.85124073462254823e-3	3.78864949698853870e-5	1.86139582290800742e-5
275	1.09707369330278026e-3	-1.36812275299283248e-1	1.00000000000000000e0	1.32231404958677690e-1	1.81769275048287993e-3	-1.36812275299283248e-1	-1.52080385368291681e-5	-1.97347577391412954e-3	2.60741839822747901e-5	1.36250219499867153e-5
300	6.82782266883952271e-4	-9.94825431593113624e-2	1.00000000000000000e0	1.11111111111111105e-1	1.21704949341577828e-3	-9.94825431593113624e-2	-9.36867609047098257e-6	-1.40436353515776408e-3	1.83767716628938094e-5	1.01043875988179876e-5
325	4.38276001227200229e-4	-7.41145318530551656e-2	1.00000000000000000e0	9.46745562130177631e-2	8.40384893834103530e-4	-7.41145318530551656e-2	-5.99190032382623720e-6	-1.02344814127776351e-3	1.32232873158860675e-5	7.58830288282580367e-6
350	2.89011999778349127e-4	-5.63735275298906449e-2	1.00000000000000000e0	8.16326530612244833e-2	5.95778239985203517e-4	-5.63735275298906449e-2	-3.95685981480209307e-6	-7.61424744738815884e-4	9.69059229246477249e-6	5.76702856905017547e-6
375	1.95159981383440095e-4	-4.36569270323223374e-2	1.00000000000000000e0	7.11111111111111110e-2	4.32097027624131491e-4	-4.36569270323223374e-2	-2.68624760560443001e-6	-5.76842334568811177e-4	7.21804101053505343e-6	4.43218788320071111e-6
400	1.34592154206011894e-4	-3.43446061194424487e-2	1.00000000000000000e0	6.25000000000000000e-2	3.19682378017854818e-4	-3.43446061194424487e-2	-1.86820527312003783e-6	-4.44064530936427726e-4	5.45518392139343611e-6	3.44214417823118790e-6
