central_difference_step_nm	unrestricted_residual_fraction	one_width_bounded_residual_fraction
0.025	5.00429655118655692e-8	6.70186813641846513e-1
0.050	5.00427760514289569e-8	6.70186358517010028e-1
0.100	5.00467105649886096e-8	6.70184537997313035e-1
0.200	5.00571341425537913e-8	6.70177255112398451e-1
0.500	5.01203162475301087e-8	6.70126238964737442e-1
