gap_nm	pressure_a_zero_t_pa	pressure_b_zero_t_pa	delta_zero_t_pa	pressure_a_300k_pa	pressure_b_300k_pa	delta_300k_pa	delta_relative_change	zero_mode_delta_pa
100	-5.41979893711622296e0	-5.46672520200074086e0	4.69262648845178987e-2	-5.38458681293583652e0	-5.43151269226304922e0	4.69258793272127050e-2	-8.21623681623862012e-6	0.00000000000000000e0
200	-4.70938188891251608e-1	-4.72803691819418115e-1	1.86550292816650698e-3	-4.62351847399767202e-1	-4.64217279431954344e-1	1.86543203218714204e-3	-3.80036816316486892e-5	0.00000000000000000e0
400	-3.68172756826518968e-2	-3.68583928720542658e-2	4.11171894023690254e-5	-3.51578893267466275e-2	-3.51989990423331456e-2	4.11097155865181030e-5	-1.81768646144164769e-4	0.00000000000000000e0
