parameter	unit	scenario_width	mimic_in_scenario_widths	physical_mimic
offset	Pa	2.00000000000000004e-3	-8.51121586090715886e-3	-1.70224317218143180e-5
patch_amplitude_at_100nm	Pa	1.00000000000000002e-2	2.78163099470684516e-1	2.78163099470684532e-3
full_differential_gap	nm	1.00000000000000006e-1	1.12885953478078864e1	1.12885953478078860e0
full_differential_gain	1	1.00000000000000002e-3	8.09781317149194848e1	8.09781317149194796e-2
roughness_variance_difference	nm^2	1.00000000000000000e0	7.76600292137023285e0	7.76600292137023285e0
full_differential_au_thickness	nm	1.00000000000000006e-1	-9.00585124154128636e1	-9.00585124154128636e0
full_differential_silica_thickness	nm	5.00000000000000000e-1	-7.14684455030484628e2	-3.57342227515242314e2
full_differential_alumina_thickness	nm	5.00000000000000000e-1	2.10765666721182868e2	1.05382833360591434e2
