factor	target	kappa_cutoff	radial_order	angular_order	observable	value	reference_value	relative_change_from_reference	relative_tolerance	within_tolerance
cutoff	perfect_conductor_half_spaces	1.60000000000000000e1	256	64	pressure_pa	-8.12578607722737822e-1	-8.12578607779843809e-1	7.02774919981697223e-11	2.00000000000000012e-9	true
cutoff	perfect_conductor_half_spaces	1.60000000000000000e1	256	64	energy_j_m2	-5.41719071840244165e-8	-5.41719071821061846e-8	3.54100850476258036e-11	2.00000000000000012e-9	true
cutoff	perfect_conductor_half_spaces	2.00000000000000000e1	256	64	pressure_pa	-8.12578607779808726e-1	-8.12578607779843809e-1	4.31749583883460798e-14	2.00000000000000012e-9	true
cutoff	perfect_conductor_half_spaces	2.00000000000000000e1	256	64	energy_j_m2	-5.41719071834612322e-8	-5.41719071821061846e-8	2.50138428809565781e-11	2.00000000000000012e-9	true
cutoff	perfect_conductor_half_spaces	2.40000000000000000e1	256	64	pressure_pa	-8.12578607779843809e-1	-8.12578607779843809e-1	0.00000000000000000e0	2.00000000000000012e-9	true
cutoff	perfect_conductor_half_spaces	2.40000000000000000e1	256	64	energy_j_m2	-5.41719071821061846e-8	-5.41719071821061846e-8	0.00000000000000000e0	2.00000000000000012e-9	true
radial_order	perfect_conductor_half_spaces	2.40000000000000000e1	128	64	pressure_pa	-8.12578607779845585e-1	-8.12578607779845363e-1	2.73259230305987330e-16	2.00000000000000012e-9	true
radial_order	perfect_conductor_half_spaces	2.40000000000000000e1	128	64	energy_j_m2	-5.41719069818051140e-8	-5.41719071852724600e-8	3.75595685197267703e-9	2.00000000000000012e-9	false
radial_order	perfect_conductor_half_spaces	2.40000000000000000e1	256	64	pressure_pa	-8.12578607779843809e-1	-8.12578607779845363e-1	1.91281461214191116e-15	2.00000000000000012e-9	true
radial_order	perfect_conductor_half_spaces	2.40000000000000000e1	256	64	energy_j_m2	-5.41719071821061846e-8	-5.41719071852724600e-8	5.84486590153943067e-11	2.00000000000000012e-9	true
radial_order	perfect_conductor_half_spaces	2.40000000000000000e1	512	64	pressure_pa	-8.12578607779845363e-1	-8.12578607779845363e-1	0.00000000000000000e0	2.00000000000000012e-9	true
radial_order	perfect_conductor_half_spaces	2.40000000000000000e1	512	64	energy_j_m2	-5.41719071852724600e-8	-5.41719071852724600e-8	0.00000000000000000e0	2.00000000000000012e-9	true
angular_order	Au20/SiO2-50/Al2O3-50/Si_vs_Au	na	128	32	pressure_pa	-4.70938188891810938e-1	-4.70938188891251774e-1	1.18734016383109937e-12	1.00000000000000002e-8	true
angular_order	Au20/SiO2-50/Al2O3-50/Si_vs_Au	na	128	64	pressure_pa	-4.70938188891251774e-1	-4.70938188891251774e-1	0.00000000000000000e0	1.00000000000000002e-8	true
angular_order	Au20/SiO2-50/Al2O3-50/Si_vs_Au	na	128	128	pressure_pa	-4.70938188891251774e-1	-4.70938188891251774e-1	0.00000000000000000e0	1.00000000000000002e-8	true
