uv_completion_ev	gap_nm	delta_pressure_pa	relative_change	evidence_class
constant_background	100	4.69262648845178987e-2	0.00000000000000000e0	hypothetical_model_sensitivity
8	100	4.66779934719792067e-2	-5.29067065426302996e-3	hypothetical_model_sensitivity
12	100	4.68170413535142771e-2	-2.32755646059645827e-3	hypothetical_model_sensitivity
20	100	4.68875635563916759e-2	-8.24726370646899909e-4	hypothetical_model_sensitivity
40	100	4.69166905735134421e-2	-2.04028831785718623e-4	hypothetical_model_sensitivity
constant_background	200	1.86550292816650698e-3	0.00000000000000000e0	hypothetical_model_sensitivity
8	200	1.85333118408309572e-3	-6.52464485562298524e-3	hypothetical_model_sensitivity
12	200	1.85997237657098413e-3	-2.96464374942495557e-3	hypothetical_model_sensitivity
20	200	1.86348938277791643e-3	-1.07935793516522605e-3	hypothetical_model_sensitivity
40	200	1.86499716367694024e-3	-2.71114283408757650e-4	hypothetical_model_sensitivity
constant_background	400	4.11171894023690254e-5	0.00000000000000000e0	hypothetical_model_sensitivity
8	400	4.09298701742125126e-5	-4.55574009019499293e-3	hypothetical_model_sensitivity
12	400	4.10327816438571524e-5	-2.05285817777733914e-3	hypothetical_model_sensitivity
20	400	4.10865838741183986e-5	-7.44348743079825681e-4	hypothetical_model_sensitivity
40	400	4.11095146417086998e-5	-1.86655770296528800e-4	hypothetical_model_sensitivity
