bound_multiplier	residual_fraction	residual_norm_pa	active_lower_bounds	active_upper_bounds
1	6.70183691684873573e-1	1.06356294456844649e-1	3	5
3	1.27484246767012532e-1	2.02313966394408774e-2	3	4
10	1.30418322215971336e-3	2.06970262814029686e-4	0	0
100	8.25090794544708133e-6	1.30939622355793517e-6	0	0
unrestricted	5.00490741196890286e-8	7.94264935182730181e-9	0	0
