url	http_code	content_type	size_download	is_pdf	status	note	checked_at
https://doi.org/10.1073/pnas.0402717101	403	text/html; charset=UTF-8	6088	0	http_403		2026-02-15
https://www.pnas.org/doi/pdf/10.1073/pnas.0402717101	403	text/html; charset=UTF-8	6152	0	http_403		2026-02-15
https://pubmed.ncbi.nlm.nih.gov/15210982	200	text/html; charset=utf-8	20421	0	ok_nonpdf		2026-02-15
https://arxiv.org/pdf/gr-qc/0407075	200	application/pdf	179792	1	pdf_ok		2026-02-15
http://arxiv.org/abs/gr-qc/0407075	200	text/html; charset=utf-8	46575	0	ok_nonpdf		2026-02-15
http://europepmc.org/pmc/articles/PMC470711	404	application/json	135	0	http_404		2026-02-15
http://doi.org/10.1073/pnas.0402717101	403	text/html; charset=UTF-8	6124	0	http_403		2026-02-15
https://pnas.org/doi/full/10.1073/pnas.0402717101	403	text/html; charset=UTF-8	6109	0	http_403		2026-02-15
https://pnas.org/doi/pdf/10.1073/pnas.0402717101	403	text/html; charset=UTF-8	6102	0	http_403		2026-02-15
https://doi.org/10.1080/00927870701724094	403	text/html; charset=UTF-8	6132	0	http_403		2026-02-15
http://www.tandfonline.com/doi/abs/10.1080/00927870701724094	403	text/html; charset=UTF-8	6180	0	http_403		2026-02-15
http://www.tandfonline.com/doi/pdf/10.1080/00927870701724094	403	text/html; charset=UTF-8	6179	0	http_403		2026-02-15
https://doi.org/10.1080/03605300600987306	403	text/html; charset=UTF-8	6161	0	http_403		2026-02-15
https://arxiv.org/pdf/math/0608640	200	application/pdf	208813	1	pdf_ok		2026-02-15
http://arxiv.org/abs/math/0608640	200	text/html; charset=utf-8	44817	0	ok_nonpdf		2026-02-15
http://www.tandfonline.com/doi/abs/10.1080/03605300600987306	403	text/html; charset=UTF-8	6116	0	http_403		2026-02-15
http://www.tandfonline.com/doi/pdf/10.1080/03605300600987306	403	text/html; charset=UTF-8	6181	0	http_403		2026-02-15
https://doi.org/10.1080/03605301003735680	403	text/html; charset=UTF-8	6132	0	http_403		2026-02-15
http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.766.4327	301	text/html	0	0	http_301		2026-02-15
http://www.tandfonline.com/doi/abs/10.1080/03605301003735680	403	text/html; charset=UTF-8	6134	0	http_403		2026-02-15
