source_bucket	source_root	path	name	size	mtime	relevance_tags	sha256
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-constraint-probabilistic/dpll_cdcl.md	dpll_cdcl.md	12659	1767375043	cd	10d5d5c26298d4dfce5426a266edff4d80cdec04368dc64995e445f5cfac9e84
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-constraint-probabilistic/linear_constraints.md	linear_constraints.md	49430	1767375043	linear	59d840556088c0d401ce8efe38450ef3af94d0cbbde8924a47df04473dc0eede
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-constraint-probabilistic/probabilistic_lambda_intro.md	probabilistic_lambda_intro.md	64311	1767375046	lambda	a682c65aa7c3fe2cdfe53715c1efdf8ca803e80ea238d9181922acaf739f9bbd
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-formal-methods/linear_logic_girard.md	linear_logic_girard.md	77569	1767375057	linear	cbf3effd9c9c03349bef5e7f785e2d91947b9e19d88b51c0e5d33fc048f285dd
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-formal-methods/linear_logic_programming.md	linear_logic_programming.md	97699	1767375057	linear	f900f0affe8542c387c92c5534eca4f49f5ed6075c48730554f4c511f0c4a090
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-game-geometry/bounded_linear_logic.md	bounded_linear_logic.md	47952	1767375058	linear	4009251c61a5ec91aae529376ae989a6d0e5d09496de65305de68a98af298eca
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-game-geometry/differential_lambda_survey.md	differential_lambda_survey.md	108948	1767375059	lambda	96cbd32830e10654440290b071cd2a9428c84dd7d8f19b84a6b555b67cf70939
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-game-geometry/differential_linear_logic.md	differential_linear_logic.md	153690	1767375059	linear	fe41420380887df6acdfb48943c8c8636d9d1b2a1b483905258b3c31d18a1960
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-game-geometry/goi_linear_logic.md	goi_linear_logic.md	54290	1767375060	linear	f4309d744ed8d39004a7b67ab2d4ab214c4f437caf97cedb06db5787e7204778
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-game-geometry/taylor_expansion_lambda.md	taylor_expansion_lambda.md	93323	1767375063	lambda	e7a6018328cf5aea9780a8ed94ab7f9ca6c8beb35e8c3bf4d70e2ee804c30882
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-semantics/linear_haskell.md	linear_haskell.md	118915	1767375079	linear	ecf691203dae483a690cf52e0954d433c547f425506dc5d396e0d53f5e571043
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-semantics/linear_types_survey.md	linear_types_survey.md	37543	1767375079	linear	c7a6e8a827d4854cc2936ad870bdf15bebec39d807f0ae29445e6ea109ae9c82
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-theorem-provers/hott_agda.md	hott_agda.md	33421	1767375091	hott	96e669ff5add50ed524b809472755fe7ef65dbc3c163b0801658206e19be33b8
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-theorem-provers/idris2_linear_types.md	idris2_linear_types.md	48321	1767375091	linear	6dd905d82fd4dcb2deee13aa9e5c97cbb190b943b50cda39a8f92139b02c09b7
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-topos-rewriting/graphical_linear_algebra.md	graphical_linear_algebra.md	101909	1767375100	linear	942d10069668f45f7492aa1a9bbe90b5e2475f540d80c9bf6828f16d8229f8fd
documents_primary	/home/eirikr/Documents	/home/eirikr/Documents/1_Analysis/data/pdf-corpus/markdown/agl-library-topos-rewriting/synthetic_topology.md	synthetic_topology.md	89785	1767375106	topology	2a59b6499602d8e09a06b99a3f2cf6094a81bab9dfb1826dd11471a2bae678b4
