Dimension,Gamma,Perturbation Magnitude,Quantum Coherence,Stable,Stability Boundary
16,10,0.0,1.0,True,0.0
16,10,0.00404040404040404,0.9604013198123577,True,0.00404040404040404
16,10,0.00808080808080808,0.9223706950973188,True,0.00808080808080808
16,10,0.012121212121212121,0.8858460329277067,True,0.012121212121212121
16,10,0.01616161616161616,0.850767699174311,True,0.01616161616161616
16,10,0.0202020202020202,0.8170784211407313,True,0.0202020202020202
16,10,0.024242424242424242,0.7847231940537559,True,0.024242424242424242
16,10,0.028282828282828285,0.7536491912565962,True,0.028282828282828285
16,10,0.03232323232323232,0.7238056779583512,True,0.03232323232323232
16,10,0.03636363636363636,0.6951439283988787,True,0.03636363636363636
16,10,0.0404040404040404,0.6676171462938303,True,0.0404040404040404
16,10,0.044444444444444446,0.6411803884299545,True,0.044444444444444446
16,10,0.048484848484848485,0.6157904912859286,True,0.048484848484848485
16,10,0.052525252525252523,0.5914060005589061,True,0.052525252525252523
16,10,0.05656565656565657,0.5679871034817215,True,0.05656565656565657
16,10,0.06060606060606061,0.5454955638202434,True,0.06060606060606061
16,10,0.06464646464646465,0.5238946594447481,True,0.06464646464646465
16,10,0.06868686868686869,0.5031491223733818,True,0.06868686868686869
16,10,0.07272727272727272,0.48322508118982543,False,
16,10,0.07676767676767676,0.46409000574114206,False,
16,10,0.0808080808080808,0.44571265402551763,False,
16,10,0.08484848484848485,0.428063021183176,False,
16,10,0.08888888888888889,0.41111229050718745,False,
16,10,0.09292929292929293,0.3948327863941843,False,
16,10,0.09696969696969697,0.3791979291581653,False,
16,10,0.10101010101010101,0.36418219163361504,False,
16,10,0.10505050505050505,0.3497610574970808,False,
16,10,0.10909090909090909,0.3359109812391624,False,
16,10,0.11313131313131314,0.3226093497215558,False,
16,10,0.11717171717171718,0.30983444525638865,False,
16,10,0.12121212121212122,0.2975654101475653,False,
16,10,0.12525252525252525,0.2857822126362273,False,
16,10,0.1292929292929293,0.2744656141947287,False,
16,10,0.13333333333333333,0.26359713811572677,False,
16,10,0.13737373737373737,0.2531590393451045,False,
16,10,0.1414141414141414,0.24313427550946687,False,
16,10,0.14545454545454545,0.23350647909091338,False,
16,10,0.1494949494949495,0.22425993070364988,False,
16,10,0.15353535353535352,0.21537953342881333,False,
16,10,0.15757575757575756,0.20685078816560218,False,
16,10,0.1616161616161616,0.1986597699584708,False,
16,10,0.16565656565656567,0.1907931052617347,False,
16,10,0.1696969696969697,0.18323795010446808,False,
16,10,0.17373737373737375,0.17598196912004216,False,
16,10,0.17777777777777778,0.16901331540606607,False,
16,10,0.18181818181818182,0.16232061118184815,False,
16,10,0.18585858585858586,0.15589292921179543,False,
16,10,0.1898989898989899,0.1497197749644229,False,
16,10,0.19393939393939394,0.14379106947784095,False,
16,10,0.19797979797979798,0.13809713290374886,False,
16,10,0.20202020202020202,0.13262866870306309,False,
16,10,0.20606060606060606,0.12737674846737776,False,
16,10,0.2101010101010101,0.12233279734147631,False,
16,10,0.21414141414141413,0.1174885800230915,False,
16,10,0.21818181818181817,0.11283618731705691,False,
16,10,0.2222222222222222,0.10836802322189586,False,
16,10,0.22626262626262628,0.104076792527765,False,
16,10,0.23030303030303031,0.09995548890550246,False,
16,10,0.23434343434343435,0.09599738346733408,False,
16,10,0.2383838383838384,0.09219601378056065,False,
16,10,0.24242424242424243,0.08854517331628883,False,
16,10,0.24646464646464647,0.08503890131597773,False,
16,10,0.2505050505050505,0.08167147305925784,False,
16,10,0.2545454545454545,0.07843739051713071,False,
16,10,0.2585858585858586,0.07533137337528963,False,
16,10,0.26262626262626265,0.07234835041290565,False,
16,10,0.26666666666666666,0.06948345122280154,False,
16,10,0.27070707070707073,0.06673199825949618,False,
16,10,0.27474747474747474,0.06408949920213611,False,
16,10,0.2787878787878788,0.061551639619844584,False,
16,10,0.2828282828282828,0.05911427592751336,False,
16,10,0.2868686868686869,0.05677342862053568,False,
16,10,0.2909090909090909,0.05452527577743516,False,
16,10,0.29494949494949496,0.05236614681978151,False,
16,10,0.298989898989899,0.05029251651920589,False,
16,10,0.30303030303030304,0.04830099924173013,False,
16,10,0.30707070707070705,0.04638834342001332,False,
16,10,0.3111111111111111,0.04455142624448969,False,
16,10,0.3151515151515151,0.0427872485647308,False,
16,10,0.3191919191919192,0.04109292999270688,False,
16,10,0.3232323232323232,0.03946570419995254,False,
16,10,0.32727272727272727,0.037902914400958485,False,
16,10,0.33131313131313134,0.036402009015415376,False,
16,10,0.33535353535353535,0.03496053750222628,False,
16,10,0.3393939393939394,0.03357614635848754,False,
16,10,0.3434343434343434,0.03224657527690432,False,
16,10,0.3474747474747475,0.030969653455367452,False,
16,10,0.3515151515151515,0.029743296052666266,False,
16,10,0.35555555555555557,0.028565500784550352,False,
16,10,0.3595959595959596,0.027434344654583106,False,
16,10,0.36363636363636365,0.02634798081444871,False,
16,10,0.36767676767676766,0.02530463554858723,False,
16,10,0.3717171717171717,0.024302605378233907,False,
16,10,0.37575757575757573,0.023340254280134747,False,
16,10,0.3797979797979798,0.02241601101539744,False,
16,10,0.3838383838383838,0.021528366564116053,False,
16,10,0.3878787878787879,0.020675871661581288,False,
16,10,0.39191919191919194,0.01985713443205359,False,
16,10,0.39595959595959596,0.019070818116235677,False,
16,10,0.4,0.01831563888873418,False,
32,10,0.0,1.0,True,0.0
32,10,0.00404040404040404,0.9604013198123579,True,0.00404040404040404
32,10,0.00808080808080808,0.9223706950973188,True,0.00808080808080808
32,10,0.012121212121212121,0.8858460329277068,True,0.012121212121212121
