x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99
1.3887943864964021e-11,3.774749385421681e-11,1.0052545450701706e-10,2.62302070815293e-10,6.706024639252753e-10,1.6798338249450355e-09,4.122923253580866e-09,9.914753723226044e-09,2.336126538487369e-08,5.3932250951138415e-08,1.219940029465742e-07,2.7037477357447835e-07,5.871263979094043e-07,1.249208116484322e-06,2.6042084216736177e-06,5.319299360963677e-06,1.0645617978080012e-05,2.087493221251511e-05,4.010670854936238e-05,7.549996005574842e-05,0.00013925608239859973,0.0002516630040190348,0.0004456175955920155,0.0007731131089877226,0.001314200097813233,0.002188858587883799,0.003572001773463725,0.005711410539145427,0.008947729429304078,0.013734727867825876,0.020656894268089435,0.030440217122777707,0.0439509449293023,0.06217652402211638,0.08618315986580656,0.11704588209469761,0.15574984254978327,0.2030658275067066,0.2594082750365854,0.32468973447273924,0.3981906351147617,0.4784662150377244,0.5633123390047616,0.6498079239471103,0.7344436719297315,0.813335512349839,0.8825081578459237,0.9382217007464496,0.9773046622194881,0.9974524902978223,0.9974524902978222,0.9773046622194878,0.9382217007464491,0.8825081578459233,0.8133355123498381,0.734443671929731,0.6498079239471093,0.5633123390047612,0.47846621503772396,0.3981906351147609,0.32468973447273886,0.25940827503658476,0.20306582750670632,0.15574984254978277,0.11704588209469725,0.08618315986580641,0.06217652402211616,0.0439509449293022,0.030440217122777585,0.02065689426808939,0.013734727867825801,0.008947729429304031,0.005711410539145407,0.003572001773463706,0.0021888585878837934,0.0013142000978132258,0.000773113108987717,0.0004456175955920155,0.000251663004019033,0.00013925608239859924,7.549996005574789e-05,4.010670854936224e-05,2.0874932212514962e-05,1.0645617978079935e-05,5.319299360963677e-06,2.6042084216735944e-06,1.2492081164843197e-06,5.871263979094001e-07,2.703747735744769e-07,1.219940029465729e-07,5.393225095113803e-08,2.3361265384873525e-08,9.914753723225939e-09,4.122923253580836e-09,1.6798338249450175e-09,6.706024639252729e-10,2.62302070815293e-10,1.0052545450701564e-10,3.774749385421654e-11,1.3887943864964021e-11
0.0,9.495419304020735e-11,2.5055023684177196e-10,6.478660300314391e-10,1.6416704118054395e-09,4.076596683698106e-09,9.920217027666406e-09,2.365684804245332e-08,5.528476772205592e-08,1.2660988511686236e-07,2.8414751520938257e-07,6.249349740024676e-07,1.3469178429388046e-06,2.844875526275833e-06,5.888462160397617e-06,1.1944212560840492e-05,2.3742733764819407e-05,4.625109547623631e-05,8.829415468349414e-05,0.00016518135552972947,0.00030283756443599136,0.0005440998430143424,0.0009580056520953942,0.001653021955690347,0.0027951859462489936,0.004631959523522278,0.007522136336978338,0.011971276140529329,0.01867079863278973,0.028537039716522633,0.042744366763391224,0.06274413672147358,0.09025931550174934,0.12724357641967082,0.17579436292421358,0.23801238330249253,0.31580569735048536,0.41064488629989093,0.5232860560263084,0.6534891895484127,0.7997686098699935,0.9592177020974861,1.1274494084971791,1.298685929414357,1.4660153900782062,1.6218114272376667,1.758286764394068,1.8681281107791556,1.9451417577416241,1.9848310665564775,1.9848310665564775,1.9451417577416232,1.8681281107791545,1.758286764394067,1.6218114272376654,1.466015390078205,1.2986859294143553,1.1274494084971778,0.959217702097485,0.7997686098699923,0.6534891895484116,0.5232860560263073,0.4106448862998901,0.3158056973504846,0.23801238330249186,0.17579436292421313,0.12724357641967046,0.09025931550174907,0.06274413672147339,0.04274436676339108,0.02853703971652251,0.018670798632789636,0.011971276140529275,0.007522136336978307,0.004631959523522259,0.002795185946248981,0.0016530219556903378,0.0009580056520953905,0.0005440998430143403,0.0003028375644359897,0.00016518135552972863,8.829415468349367e-05,4.625109547623605e-05,2.3742733764819254e-05,1.1944212560840443e-05,5.8884621603975934e-06,2.844875526275817e-06,1.3469178429387983e-06,6.249349740024633e-07,2.8414751520938035e-07,1.2660988511686124e-07,5.528476772205551e-08,2.3656848042453122e-08,9.920217027666315e-09,4.076596683698072e-09,1.6416704118054281e-09,6.478660300314373e-10,2.505502368417704e-10,9.495419304020637e-11,0.0
0.0,1.8248181760687652e-10,5.214348938705782e-10,1.331674283539752e-09,3.333299304744937e-09,8.177706578488992e-09,1.966401613716125e-08,4.634458669408844e-08,1.0705686891684006e-07,2.423937756314432e-07,5.379259418224734e-07,1.1700928795020827e-06,2.4946966951685507e-06,5.213357411459722e-06,1.0678797782282163e-05,2.1440511162485327e-05,4.2194769805277794e-05,8.139460748787797e-05,0.00015390367163711462,0.0002852472550337238,0.0005182220813094275,0.0009228584472610003,0.0016109489558557234,0.0027565046458748184,0.004623476588042073,0.0076017620772521445,0.012251752395540416,0.019356333086267934,0.029977227132011633,0.045509894546787236,0.0677280607142999,0.09880576073126615,0.14130222714301924,0.19809389161053592,0.2722391829194887,0.36676653134514436,0.48438448960189384,0.6271249354815812,0.7959448189138749,0.9903267880238245,1.2079314205781813,1.444360496243348,1.693088885248339,1.9456104047549392,2.1918203964744865,2.4206269921239647,2.6207483755565555,2.7816206711005522,2.8943166841899526,2.952364988407706,2.9523649884077057,2.8943166841899512,2.7816206711005504,2.6207483755565537,2.4206269921239634,2.1918203964744842,1.9456104047549374,1.6930888852483368,1.444360496243346,1.2079314205781797,0.9903267880238226,0.7959448189138734,0.6271249354815798,0.48438448960189284,0.3667665313451435,0.2722391829194879,0.1980938916105354,0.1413022271430188,0.09880576073126587,0.06772806071429964,0.04550989454678707,0.029977227132011498,0.019356333086267836,0.012251752395540367,0.007601762077252109,0.004623476588042054,0.0027565046458748067,0.001610948955855714,0.0009228584472609975,0.0005182220813094249,0.0002852472550337224,0.00015390367163711376,8.139460748787755e-05,4.2194769805277563e-05,2.1440511162485188e-05,1.0678797782282129e-05,5.213357411459693e-06,2.4946966951685384e-06,1.1700928795020757e-06,5.379259418224698e-07,2.423937756314411e-07,1.0705686891683917e-07,4.6344586694088095e-08,1.9664016137161076e-08,8.177706578488926e-09,3.3332993047449097e-09,1.3316742835397437e-09,5.214348938705766e-10,1.8248181760687505e-10,0.0
0.0,3.4824507150195823e-10,1.0279627076021206e-09,2.61117535281607e-09,6.4463193239538696e-09,1.559976761574398e-08,3.7004945745783564e-08,8.604818117863578e-08,1.9614128235754994e-07,4.3827529588423756e-07,9.600217541798537e-07,2.0614692239951273e-06,4.3395039977106485e-06,8.955229123909246e-06,1.8117269908857068e-05,3.593308239542481e-05,6.986959536564004e-05,0.00013319273273283786,0.0002489304482144214,0.0004561287759772654,0.0008194373680207983,0.0014433441228292334,0.0024926248503282385,0.00422069546213337,0.007007424003356561,0.01140741704552111,0.018208663640322115,0.028499546709514628,0.04373954231574949,0.06582549875342036,0.09714152158993539,0.14057676793845214,0.19949273781217092,0.27762102022211904,0.37887503147311524,0.5070659843033432,0.6655245256647713,0.8566447034395747,1.0813846246402694,1.33877571822144,1.625506452841774,1.9356529470591222,2.2606249272503036,2.589379116201995,2.908923704835732,3.205099950901819,3.463585442774746,3.6710250901946506,3.8161677562024576,3.8908747581500576,3.890874758150057,3.8161677562024563,3.6710250901946484,3.4635854427747432,3.205099950901817,2.90892370483573,2.5893791162019926,2.2606249272503005,1.9356529470591193,1.6255064528417718,1.3387757182214375,1.0813846246402672,0.8566447034395728,0.6655245256647699,0.507065984303342,0.3788750314731142,0.27762102022211826,0.19949273781217036,0.1405767679384517,0.09714152158993504,0.06582549875342013,0.04373954231574932,0.028499546709514493,0.01820866364032203,0.011407417045521062,0.00700742400335653,0.004220695462133352,0.002492624850328226,0.0014433441228292267,0.0008194373680207952,0.0004561287759772631,0.0002489304482144201,0.00013319273273283715,6.986959536563967e-05,3.593308239542459e-05,1.8117269908856976e-05,8.955229123909209e-06,4.339503997710625e-06,2.0614692239951167e-06,9.60021754179848e-07,4.382752958842344e-07,1.9614128235754828e-07,8.604818117863509e-08,3.700494574578327e-08,1.5599767615743847e-08,6.446319323953817e-09,2.6111753528160498e-09,1.0279627076021156e-09,3.48245071501957e-10,0.0
0.0,6.79744607696142e-10,1.9862380258905565e-09,5.0166420850543125e-09,1.2218491503488959e-08,2.91476935721237e-08,6.816490400581219e-08,1.562767085362141e-07,3.5124615197214653e-07,7.739630385214963e-07,1.6719680722970628e-06,3.5411392204382958e-06,7.353156476494285e-06,1.4970258665733381e-05,2.9882627886241934e-05,5.848600387018803e-05,0.00011223773312449357,0.0002111981470349906,0.00038968753093235835,0.0007050654290611515,0.0012509517361146201,0.0021765167847427516,0.003713695686953817,0.006214215243100951,0.010198003669141729,0.016413698790108303,0.02591039312229957,0.040117316601282496,0.06092483791520535,0.09075613615947557,0.13261459422157174,0.19008813690823914,0.2672894047494373,0.3687110132542262,0.49897935081635764,0.6624992315271421,0.8629953799343364,1.102974343110514,1.3831500165569017,1.7018944689386373,2.0547893649038738,2.434358140861813,2.830052073632523,3.2285430274900735,3.6143428419131527,3.9707275325830933,4.2808995877664255,4.529281018582701,4.702800996184859,4.792031026918609,4.792031026918608,4.702800996184857,4.529281018582697,4.280899587766422,3.97072753258309,3.6143428419131505,3.2285430274900704,2.8300520736325194,2.4343581408618093,2.05478936490387,1.7018944689386344,1.383150016556899,1.1029743431105117,0.8629953799343345,0.6624992315271406,0.49897935081635647,0.3687110132542252,0.2672894047494365,0.19008813690823853,0.13261459422157132,0.09075613615947524,0.06092483791520513,0.04011731660128233,0.025910393122299438,0.016413698790108233,0.010198003669141684,0.0062142152431009234,0.0037136956869538015,0.00217651678474274,0.0012509517361146152,0.0007050654290611483,0.00038968753093235645,0.0002111981470349895,0.00011223773312449297,5.848600387018773e-05,2.9882627886241748e-05,1.4970258665733317e-05,7.35315647649425e-06,3.541139220438277e-06,1.6719680722970537e-06,7.739630385214914e-07,3.5124615197214383e-07,1.5627670853621277e-07,6.816490400581166e-08,2.9147693572123463e-08,1.2218491503488854e-08,5.016642085054273e-09,1.9862380258905424e-09,6.797446076961397e-10,0.0
0.0,1.324618549139462e-09,3.806468664663663e-09,9.507831496927999e-09,2.2854340008124095e-08,5.37396237110303e-08,1.2387215931419753e-07,2.7993405534655764e-07,6.202247431434518e-07,1.3472948547718634e-06,2.8694974475971053e-06,5.992232270838842e-06,1.2269351421869473e-05,2.4632921723192245e-05,4.849348924534557e-05,9.361310198013098e-05,0.00017721021321144282,0.0003289680463305787,0.000598888870766008,0.0010692562866073752,0.0018723054749957735,0.0032154963734477367,0.0054164368505474295,0.008949369459015354,0.014504536682389796,0.023060480140307843,0.035967237177672855,0.05503538541052033,0.0826220219798349,0.12170035347444376,0.1758952091654937,0.24946336845529152,0.3471962420184991,0.4742243708150047,0.6357094417339265,0.8364206125991459,1.0802076415883932,1.3694023379165583,1.704199797941208,2.082088441447585,2.4974092169623248,2.9411259130708887,3.400877730558163,3.8613613690609165,4.305054417114004,4.713248796521063,5.067318420574577,5.350106220363692,5.547289262733056,5.648572280320285,5.648572280320284,5.547289262733053,5.350106220363688,5.067318420574573,4.713248796521059,4.305054417114,3.861361369060913,3.400877730558159,2.9411259130708847,2.4974092169623203,2.0820884414475813,1.704199797941205,1.3694023379165556,1.0802076415883906,0.8364206125991441,0.6357094417339252,0.4742243708150034,0.347196242018498,0.24946336845529074,0.17589520916549317,0.12170035347444333,0.08262202197983459,0.055035385410520124,0.03596723717767269,0.023060480140307732,0.014504536682389732,0.008949369459015314,0.005416436850547407,0.0032154963734477215,0.0018723054749957642,0.0010692562866073708,0.0005988888707660053,0.00032896804633057703,0.0001772102132114419,9.36131019801305e-05,4.84934892453453e-05,2.4632921723192106e-05,1.2269351421869422e-05,5.992232270838812e-06,2.86949744759709e-06,1.3472948547718558e-06,6.202247431434477e-07,2.799340553465554e-07,1.238721593141965e-07,5.3739623711029875e-08,2.2854340008123906e-08,9.507831496927921e-09,3.806468664663633e-09,1.3246185491394539e-09,0.0
0.0,2.5481082737751516e-09,7.236455661806837e-09,1.7821593748267564e-08,4.225957610861429e-08,9.795517980006741e-08,2.2254409483717931e-07,4.957057980391682e-07,1.0825930462305158e-06,2.318192911620646e-06,4.867292938105395e-06,1.0020517485133834e-05,2.0228771942390733e-05,4.004408339106638e-05,7.773387321076525e-05,0.00014797894933833713,0.0002762630542423041,0.0005058194412843135,0.0009083135063026266,0.0015997880304271144,0.0027637300689087093,0.004683350751476587,0.0077851740798251575,0.012695640982383015,0.020311457812909665,0.03188266828023087,0.04910477683078737,0.07421269838799172,0.11006505350711158,0.16020283288763248,0.2288624759087896,0.3209209571390488,0.44175070690420987,0.5969661994369913,0.7920525826246441,1.0318799227331636,1.320123736911909,1.658631714570845,2.046795171066378,2.4809984799607143,2.9542270293176878,3.4559112459693195,3.9720692979915424,4.485784415406926,4.978016657991841,5.42870768278226,5.81809634125053,6.128129043434807,6.343827516890185,6.454472024928346,6.454472024928345,6.343827516890182,6.128129043434804,5.818096341250524,5.428707682782255,4.978016657991836,4.485784415406922,3.9720692979915384,3.4559112459693146,2.954227029317683,2.4809984799607094,2.0467951710663743,1.6586317145708418,1.3201237369119059,1.0318799227331614,0.7920525826246425,0.5969661994369899,0.4417507069042086,0.32092095713904784,0.2288624759087889,0.16020283288763199,0.1100650535071112,0.07421269838799144,0.04910477683078718,0.03188266828023071,0.02031145781290957,0.01269564098238296,0.007785174079825124,0.004683350751476568,0.0027637300689086954,0.0015997880304271072,0.0009083135063026228,0.0005058194412843112,0.0002762630542423027,0.00014797894933833638,7.773387321076485e-05,4.0044083391066145e-05,2.022877194239063e-05,1.002051748513379e-05,4.8672929381053704e-06,2.3181929116206332e-06,1.0825930462305094e-06,4.957057980391647e-07,2.2254409483717746e-07,9.795517980006662e-08,4.225957610861395e-08,1.7821593748267418e-08,7.236455661806779e-09,2.548108273775131e-09,0.0
0.0,4.841717555539108e-09,1.3614838008164532e-08,3.3061778136550126e-08,7.729362287465768e-08,1.7661739156193393e-07,3.9550242444259956e-07,8.683403132264581e-07,1.8693176579169712e-06,3.945841049016738e-06,8.16715068888553e-06,1.6576317654543056e-05,3.299172095862137e-05,6.439248424445213e-05,0.00012325190033012144,0.00023136431108474086,0.0004259520363421866,0.0007691396752262001,0.0013622283713923325,0.002366553531425407,0.004032993984864786,0.006742306452395784,0.011058233096207529,0.01779458746973507,0.02809607576182681,0.04353030546177154,0.06618522298722582,0.09876222814642086,0.14465079716508877,0.20796624412113934,0.29352916175663657,0.40676418009025705,0.5534980431737309,0.7396434733864136,0.970766201975795,1.2515474699022944,1.58517191397552,1.97268883064343,2.4124104703909497,2.8994211387051623,3.42527267532038,3.977933496553046,4.542039398121503,5.099466024337701,5.63020828997243,6.1135153858823825,6.529196283784486,6.858984752141472,7.087838788338706,7.2050495155173255,7.205049515517325,7.087838788338703,6.858984752141469,6.529196283784481,6.113515385882376,5.630208289972424,5.099466024337697,4.5420393981214975,3.9779334965530406,3.4252726753203744,2.8994211387051565,2.4124104703909452,1.9726888306434263,1.585171913975517,1.2515474699022913,0.970766201975793,0.7396434733864121,0.5534980431737295,0.40676418009025583,0.2935291617566356,0.2079662441211387,0.14465079716508833,0.09876222814642051,0.06618522298722557,0.043530305461771356,0.028096075761826676,0.017794587469734995,0.01105823309620748,0.006742306452395755,0.004032993984864769,0.0023665535314253954,0.0013622283713923267,0.0007691396752261969,0.0004259520363421846,0.00023136431108473964,0.00012325190033012082,6.439248424445178e-05,3.299172095862118e-05,1.6576317654542978e-05,8.167150688885493e-06,3.945841049016717e-06,1.8693176579169606e-06,8.683403132264527e-07,3.9550242444259665e-07,1.7661739156193245e-07,7.729362287465706e-08,3.306177813654986e-08,1.3614838008164421e-08,4.841717555539067e-09,0.0
0.0,9.101028285846222e-09,2.5330130192402314e-08,6.069441482969367e-08,1.398736316152854e-07,3.1506023542049513e-07,6.954371819996162e-07,1.5050445563670751e-06,3.1938152928080536e-06,6.645882310797342e-06,1.3560937102560032e-05,2.713523599316267e-05,5.324734996572823e-05,0.00010247021149775715,0.0001933964247839527,0.00035798733008255774,0.0006499409752553529,0.0011574104378091464,0.00202176146841551,0.0034643766791268523,0.005823693907866673,0.009604569241455354,0.015541505977447799,0.024676100916369223,0.038447064414670454,0.058788286556066986,0.08822671296053464,0.12996753983458642,0.18794997979175726,0.26685339069436953,0.3720318979535452,0.509356825416392,0.6849511630078562,0.9048093965241852,1.174309090995505,1.4976366051447882,1.8771663273364734,2.3128483082558198,2.801670283998868,3.3372642316001127,3.9097229636317965,4.505678287304669,5.1086698605753345,5.699805452977741,6.258682337090631,6.76450998997858,7.1973500115458835,7.539373244768261,7.77602840527792,7.897021642516996,7.897021642516994,7.776028405277918,7.539373244768257,7.197350011545879,6.764509989978574,6.258682337090625,5.699805452977736,5.108669860575327,4.5056782873046615,3.90972296363179,3.337264231600107,2.8016702839988623,2.3128483082558153,1.8771663273364698,1.497636605144785,1.1743090909955023,0.9048093965241835,0.6849511630078549,0.5093568254163905,0.372031897953544,0.2668533906943687,0.18794997979175676,0.12996753983458603,0.08822671296053432,0.05878828655606677,0.03844706441467028,0.024676100916369112,0.015541505977447731,0.009604569241455311,0.005823693907866649,0.0034643766791268363,0.0020217614684155,0.0011574104378091411,0.0006499409752553501,0.00035798733008255595,0.00019339642478395164,0.00010247021149775663,5.324734996572793e-05,2.7135235993162526e-05,1.356093710255997e-05,6.64588231079731e-06,3.1938152928080358e-06,1.5050445563670666e-06,6.954371819996118e-07,3.150602354204927e-07,1.3987363161528427e-07,6.069441482969318e-08,2.533013019240211e-08,9.101028285846146e-09,0.0
0.0,1.692437582650827e-08,4.661301374200773e-08,1.1023451759698741e-07,2.5045733386572214e-07,5.56098250666012e-07,1.2099871534508017e-06,2.5813304805444522e-06,5.399961068473291e-06,1.1077417459464647e-05,2.2284345565654507e-05,4.396306187276375e-05,8.505835275256677e-05,0.00016139961462814548,0.0003003732952439887,0.0005482917190174697,0.0009816878228590185,0.0017241219844183777,0.002970426655491177,0.005020550835842537,0.00832517288329299,0.013544862731716806,0.021623607960152558,0.03387579864269328,0.05208318238906175,0.07859486978189797,0.11641940316863553,0.16929365806431151,0.24170964789114646,0.33887808544588144,0.4666078442522894,0.6310841758068357,0.838536230804414,1.0947960501394522,1.4047658898541968,1.771826844408483,2.1972368700612575,2.6795777832800605,3.2143160835358846,3.7935397167102827,4.405921547763807,5.036941202855188,5.669372332595037,6.284015527473023,6.860631768596362,7.379010778414456,7.820095345134818,8.16707770103869,8.406387060581842,8.528497150897127,8.528497150897126,8.406387060581839,8.167077701038686,7.820095345134813,7.37901077841445,6.860631768596355,6.284015527473015,5.669372332595028,5.036941202855179,4.4059215477638,3.7935397167102765,3.214316083535878,2.679577783280055,2.197236870061253,1.7718268444084797,1.4047658898541935,1.09479605013945,0.8385362308044123,0.6310841758068341,0.46660784425228796,0.3388780854458804,0.2417096478911458,0.16929365806431107,0.11641940316863515,0.07859486978189772,0.052083182389061546,0.03387579864269312,0.02162360796015246,0.013544862731716744,0.008325172883292953,0.005020550835842515,0.0029704266554911618,0.0017241219844183692,0.0009816878228590142,0.0005482917190174672,0.0003003732952439871,0.00016139961462814463,8.505835275256633e-05,4.39630618727635e-05,2.2284345565654395e-05,1.1077417459464596e-05,5.399961068473263e-06,2.581330480544438e-06,1.2099871534507947e-06,5.560982506660083e-07,2.504573338657202e-07,1.1023451759698651e-07,4.6613013742007356e-08,1.6924375826508135e-08,0.0
