Dimension,Profile,Perturbation Magnitude,Quantum Coherence
128,Linear,0.0,1.0
128,Linear,0.006122448979591836,0.9406120582638513
128,Linear,0.012244897959183673,0.8847510441513589
128,Linear,0.01836734693877551,0.8322075006903012
128,Linear,0.024489795918367346,0.7827844101269198
128,Linear,0.03061224489795918,0.7362964551863367
128,Linear,0.03673469387755102,0.6925693242051977
128,Linear,0.04285714285714285,0.6514390575310556
128,Linear,0.04897959183673469,0.6127514327377497
128,Linear,0.055102040816326525,0.5763613863515785
128,Linear,0.06122448979591836,0.542132469919965
128,Linear,0.06734693877551019,0.509936338383084
128,Linear,0.07346938775510203,0.47965226883004436
128,Linear,0.07959183673469386,0.4511667078351543
128,Linear,0.0857142857142857,0.42437284567695
128,Linear,0.09183673469387753,0.3991702158434837
128,Linear,0.09795918367346938,0.37546431832216504
128,Linear,0.10408163265306122,0.3531662652616454
128,Linear,0.11020408163265305,0.33219244767711364
128,Linear,0.11632653061224489,0.3124642219492766
128,Linear,0.12244897959183672,0.29390761494152184
128,Linear,0.12857142857142856,0.27645304662956444
128,Linear,0.13469387755102039,0.2600350692035471
128,Linear,0.14081632653061224,0.24459212166433134
128,Linear,0.14693877551020407,0.23006629899380912
128,Linear,0.15306122448979592,0.21640313503371345
128,Linear,0.15918367346938772,0.2035513982588113
128,Linear,0.16530612244897958,0.19146289967870542
128,Linear,0.1714285714285714,0.1800923121479525
128,Linear,0.17755102040816326,0.16939700040698147
128,Linear,0.18367346938775506,0.15933686121653337
128,Linear,0.1897959183673469,0.149874172986185
128,Linear,0.19591836734693877,0.140973454333128
128,Linear,0.2020408163265306,0.1326013310408486
128,Linear,0.20816326530612245,0.12472641091885885
128,Linear,0.21428571428571425,0.11731916609425083
128,Linear,0.2204081632653061,0.11035182229371188
128,Linear,0.22653061224489793,0.10379825470085514
128,Linear,0.23265306122448978,0.09763388999836681
128,Linear,0.23877551020408158,0.09183561422767024
128,Linear,0.24489795918367344,0.08638168612061393
128,Linear,0.25102040816326526,0.08125165557821265
128,Linear,0.2571428571428571,0.07642628699076812
128,Linear,0.26326530612244897,0.07188748711185017
128,Linear,0.26938775510204077,0.06761823721569354
128,Linear,0.2755102040816326,0.06360252928362682
128,Linear,0.2816326530612245,0.05982530598025908
128,Linear,0.2877551020408163,0.056272404194356244
128,Linear,0.29387755102040813,0.05293050193270874
128,Linear,0.3,0.04978706836786394
128,Quadratic,0.0,1.0
128,Quadratic,0.00012494793835901704,0.9987513008907621
128,Quadratic,0.0004997917534360682,0.9950145512741385
128,Quadratic,0.0011245314452311536,0.9888176777527631
128,Quadratic,0.0019991670137442727,0.9802068382609893
128,Quadratic,0.003123698458975426,0.9692458495266095
128,Quadratic,0.004498125780924614,0.9560153994881722
128,Quadratic,0.006122448979591836,0.9406120582638513
