Dimension,Phase Shift,Perturbation Magnitude,Quantum Coherence
64,0.0,0.2,0.13533528323661267
64,0.0,0.25225822630759853,0.08025210690281318
64,0.0,0.3006917339320067,0.049443862725673325
64,0.0,0.341865280937355,0.03275653452334153
64,0.0,0.3730797353708,0.02397371268506044
64,0.0,0.39263782197247465,0.019714946610428878
64,0.0,0.4,0.01831563888873416
64,0.0,0.3958137908281797,0.019098644628964215
64,0.0,0.38181403104514805,0.021968617737971947
64,0.0,0.3606059469966181,0.027158655785064885
64,0.0,0.33535600819348416,0.0349596729947776
64,0.0,0.3094257514314923,0.04530864099170502
64,0.0,0.2859900256856896,0.05727447271650208
64,0.0,0.26768268914240134,0.0687810580202019
64,0.0,0.2563095207720642,0.07706583613380054
64,0.0,0.25266036303312567,0.07993003173325161
64,0.0,0.256441167554474,0.07696444819181766
64,0.0,0.26633295531052154,0.06971571271611823
64,0.0,0.2801702708353262,0.06070660892435849
64,0.0,0.29521813682786063,0.052225658209448314
64,0.0,0.30851533404313425,0.045723022174698924
64,0.0,0.31724430426926387,0.04190110656685472
64,0.0,0.31908495134990394,0.04113690973103592
64,0.0,0.3125114379338869,0.04393190843338205
64,0.0,0.2969975381556128,0.05130457335513171
64,0.0,0.2731064791384911,0.06514988168942559
64,0.0,0.24245431585321253,0.08851854875014574
64,0.0,0.20755025373919547,0.12549334654517674
64,0.0,0.1715313383979898,0.17990733180223006
64,0.0,0.13782098895931646,0.2520293097775004
64,0.0,0.10974959787394763,0.33370564441149153
64,0.0,0.09017986431030951,0.405839043282275
64,0.0,0.08117916517098712,0.4440617490824419
64,0.0,0.08377613305139675,0.4326780632014819
64,0.0,0.0978292782638503,0.3759523837259
64,0.0,0.12202300977801789,0.29516224293284254
64,0.0,0.15399218047174093,0.21439786567322008
64,0.0,0.19056190576057408,0.14873054134425837
64,0.0,0.22807649892666243,0.10220599031642218
64,0.0,0.2627813836285959,0.07223620992578389
64,0.0,0.2912159077087557,0.05435823945007854
64,0.0,0.31057376071310205,0.04479146786544522
64,0.0,0.31899132801801744,0.0411754415111149
64,0.0,0.3157323884685952,0.042539429309483005
64,0.0,0.3012491712030144,0.04916901098136572
64,0.0,0.2771136243864622,0.06259084585829837
64,0.0,0.24582725693038887,0.08558266146723792
64,0.0,0.21053146189802696,0.12180734533711247
64,0.0,0.17465129398969842,0.17438096137449668
64,0.0,0.14151301047958428,0.24289400971734282
64,0.0,0.11397847285484855,0.31988787713237826
64,0.0,0.09413743577545791,0.3900913417153878
64,0.0,0.08309205912935433,0.43564804786164574
64,0.0,0.08085742691437521,0.4454927664429366
64,0.0,0.08638863745839388,0.42152070752072
64,0.0,0.09773063739572589,0.3763234093823217
64,0.0,0.1122730328631178,0.3253901586100078
64,0.0,0.12708019987958824,0.2806064854474683
64,0.0,0.13925847689347456,0.24843233384527671
64,0.0,0.14631802012974593,0.23149888976532926
64,0.0,0.14648751108481015,0.23110685241387963
64,0.0,0.13894525654588824,0.24921169438558802
64,0.0,0.12393971067952413,0.2895587383209004
64,0.0,0.10278500456775597,0.35777533491606694
64,0.0,0.07773127314400277,0.4596395280201384
64,0.0,0.05172381832610726,0.5961647742519193
64,0.0,0.02807783021583879,0.7551957421887073
64,0.0,0.010105071518107894,0.9038871909208697
64,0.0,0.0007345176237052271,0.9926817336436768
64,0.0,0.002169801406848583,0.9785356944498822
