time_Gyr,QCosmo_1,QCosmo_2,QCosmo_3,QCosmo_4,QCosmo_5,QCosmo_6,QCosmo_7,QCosmo_8
2.7727727727727727,2.1172814683588868e+141,2.4563178065222707e+201,2.1553238932426397e+247,1.0390022735307132e+286,-0.002847365655203253,0.007571113944809985,0.0057358451749606925,-0.0021758161833327046
2.7827827827827827,6.916630921213033e+141,1.3220349641941708e+202,1.6995421856593966e+248,1.1300212044777422e+287,0.0054135584804018665,0.006188378742035392,-0.0032889329267370014,0.006003347038375953
2.7927927927927927,2.259490956660275e+142,7.115432873290314e+202,1.3401436578678306e+249,1.2290135994307426e+288,-0.0023451922849476938,-0.0005737063034332726,0.005383594720682342,-0.0013800219228056942
2.8028028028028027,7.381193881599465e+142,3.829655519959903e+203,1.056746361303434e+250,1.3366779486842218e+289,-0.000676190826652116,0.006011765017345262,-0.001304997279471007,0.005459253533138094
2.8128128128128127,2.4112520991443965e+143,2.061190326017677e+204,8.332784823548072e+250,1.4537739367138107e+290,1.455592351447135e+17,-0.004960845459886709,-0.006030107028024956,1.455592351447135e+17
2.8228228228228227,7.876959715901229e+143,1.1093701609807516e+205,6.570668748877978e+251,1.5811277979588574e+291,0.005142106852790862,0.002670531510258804,-0.004524488929348922,0.004927699797965816
2.8328328328328327,2.573206442883428e+144,5.970832186985653e+205,5.181183563128309e+252,1.7196381413436499e+292,0.0003829785865821433,-0.012409756894221809,0.0037366703237817545,-0.0005138938014610877
2.8428428428428427,8.406024198019707e+144,3.213610592818689e+206,4.085529827502744e+253,1.8702823015199632e+293,0.002020722464928281,-0.005653562207379252,-0.003648583282807607,-0.006736058940662233
2.8528528528528527,2.746038624771821e+145,1.7296237305570548e+207,3.221571622774194e+254,2.034123230717976e+294,-0.0028548039471395443,0.0016144817404037818,0.0028015676197846707,0.0037591741914649373
2.8628628628628627,8.970623865213759e+145,9.30914982493432e+207,2.540312804853276e+255,2.212316990855522e+295,-6.71344543496113e+116,-0.0007805923814183785,-0.004269852860267241,-6.71344543496113e+116
2.8728728728728727,2.930479265452935e+146,5.010353922671721e+208,2.0031183221601413e+256,2.4061209236564923e+296,-0.004203116482466822,-4.1911178974670186e+64,-4.1911178974670186e+64,-0.002393223638735941
2.8828828828828827,9.573145471700804e+146,2.6966637018060522e+209,1.57952319994412e+257,2.616902519251025e+297,-0.0004399614617847886,0.001213355456387999,-0.0008172863785118416,0.002850259897006038
2.8928928928928928,3.127308058085369e+147,1.45139350112145e+210,1.245504828749989e+258,2.8461490533255027e+298,-4.444068667889e+251,0.00020642778080096847,0.007855936330919132,-4.444068667889e+251
2.9029029029029028,1.0216136085914951e+148,7.81166407221819e+210,9.821206015870151e+258,3.0954780968507705e+299,0.005673544937038005,0.003600908890727038,-1.504032808676836e-05,-0.0021859691324369783
2.9129129129129128,3.337357068649034e+148,4.204379828038997e+211,7.744336717153163e+259,3.366648928557145e+300,0.002004933140858598,0.0037539274837344715,-0.010439507379197901,0.006151406637046214
2.9229229229229228,1.090231386015675e+149,2.2628737715045835e+212,6.106658493977207e+260,3.661574931287174e+301,7.065671133856601e-05,0.0028596483818585264,-0.0018825253376801418,-0.0015965459258816626
2.932932932932933,3.5615142482874663e+149,1.2179198634953718e+213,4.8152965607293504e+261,3.982337111122421e+302,-0.0001222015028259719,0.0023584025164896886,0.0021709929299259575,0.004504994641466132
2.942942942942943,1.1634579507196855e+150,6.555066449623358e+213,3.7970161616200626e+262,4.331198783585191e+303,-6.301674906678463e+155,-0.00020227979353130353,-0.0011615122031488846,-6.301674906678463e+155
2.952952952952953,3.8007271874416364e+150,3.528056109710955e+214,2.994069320896813e+263,4.710621519212509e+304,0.0030957521187471326,-0.00907733551372472,-0.008737308860037414,-0.0065002874269377165
2.962962962962963,1.2416028568286509e+151,1.898864032276667e+215,2.3609199258410485e+264,5.1232825335863314e+305,1.8568859815942971e+167,0.0036031425775633298,-0.0016390342813382048,1.8568859815942971e+167
2.972972972972973,4.056007122048258e+151,1.022003193715229e+216,1.861661268344162e+265,7.539305461827025e+305,-6.600497723287488e+78,0.001688778373011104,0.0014249322984508314,-6.600497723287488e+78
2.982982982982983,1.3249964498194163e+152,5.500607259020805e+216,1.4679797655987213e+266,1.3249964498194163e+152,-0.002643699615363933,0.0006338026700101244,-0.0008068781282421166,-0.0015472969438578346
2.992992992992993,4.32843320803697e+152,2.9605269737453426e+217,1.1575492441395805e+267,4.32843320803697e+152,-0.00939816293808511,0.0019729566899489943,-0.0003079997277157717,0.009487975619660674
3.003003003003003,1.4139912628737714e+153,1.5934095184262277e+218,9.127647952845327e+267,1.4139912628737714e+153,1.8679808848527714e+167,-0.005362841879105231,-0.001409745999024776,1.8679808848527714e+167
3.013013013013013,4.6191570828024334e+153,8.576020135305284e+218,7.197443886757016e+268,4.6191570828024334e+153,-8.388432087270375e+150,0.008434103978505443,0.012446645681566148,-8.388432087270375e+150
3.023023023023023,1.508963507276029e+154,4.615770178348523e+219,5.675415911236412e+269,1.508963507276029e+154,-1.5476935717892432e+88,0.0005642401989441926,-0.005092919920974119,-1.5476935717892432e+88
3.033033033033033,4.9294077375009173e+154,2.484291548392592e+220,4.475247920986884e+270,4.9294077375009173e+154,0.005701597008188536,0.004800672904551546,0.005329101037403631,-0.0050771006783128635
3.043043043043043,1.6103146648326308e+155,1.337090942341153e+221,3.528876874619615e+271,1.6103146648326308e+155,3.8494275826235914e+176,-0.0028104036473258114,0.003150580217679909,3.8494275826235914e+176
3.053053053053053,5.260496712988789e+155,7.1964668922662515e+221,2.782632872635918e+272,5.260496712988789e+155,0.0005980007496808393,2.6098484545244407e+180,2.6098484545244407e+180,0.00019172689226543016
3.063063063063063,1.718473182553592e+156,3.8732695044688686e+222,2.194195488599512e+273,1.718473182553592e+156,3.8494275826235914e+176,0.00644612305193014,0.002575483991951002,3.8494275826235914e+176
3.073073073073073,5.613823637824595e+156,2.084664165637429e+223,1.7301936885014862e+274,5.613823637824595e+156,0.0025252714339627507,4.826483405525745e+199,4.826483405525745e+199,8.662459323111125e-05
3.083083083083083,1.8338962841461226e+157,1.1220042083150224e+224,1.3643133525287856e+275,1.8338962841461226e+157,7.851371844733086e+84,0.004445374007627471,-0.0025898534715351816,7.851371844733086e+84
3.093093093093093,5.990882147635756e+157,6.038830927392656e+224,1.0758049438097122e+276,5.990882147635756e+157,-4.26303779423758e+92,1.1407363146604807e+243,1.1407363146604807e+243,-4.26303779423758e+92
3.103103103103103,1.9570719030265398e+158,3.250208751901207e+225,8.483067865924676e+276,1.9570719030265398e+158,0.00513104593434295,0.01105940787240077,-0.001807313587147509,0.0015865206224912865
3.113113113113113,6.393266198794419e+158,1.7493215258872865e+226,6.689171764080776e+277,6.393266198794419e+158,1.8907954576082135e+100,3.861336505176276e+199,3.861336505176276e+199,1.8907954576082135e+100
3.123123123123123,2.088520744814937e+159,9.415166947340293e+226,5.27462699934592e+278,2.088520744814937e+159,5.699699767320013e+22,8.916411779672225e+252,8.916411779672225e+252,5.699699767320013e+22
3.133133133133133,6.822676805983964e+159,5.067414271167613e+227,4.1592129793973004e+279,6.822676805983964e+159,-0.0029763909498768453,2.5934543247470546e+161,2.5934543247470546e+161,0.0029453548745163307
3.143143143143143,2.2287984882983238e+160,2.7273746220772318e+228,3.2796731601902433e+280,2.2287984882983238e+160,-1.7395530413492513e+78,1.1307264348044053e+277,1.1307264348044053e+277,-1.7395530413492513e+78
3.153153153153153,7.280929233704106e+160,1.4679226780924374e+229,2.5861277327266105e+281,7.280929233704106e+160,-0.005505594879992077,2.456512426981904e+198,2.456512426981904e+198,-0.010602859553674458
3.163163163163163,2.378498136496082e+161,7.900627111062027e+229,2.0392448676757553e+282,2.378498136496082e+161,0.0007465141845730501,0.0020540532134208154,0.005909686011008273,0.0028764494054229466
3.173173173173173,7.76996067977019e+161,4.252261353258656e+230,1.6080101417379896e+283,7.76996067977019e+161,-0.0020078691563404005,3.680659152115906e+180,3.680659152115906e+180,-0.003633833171130325
3.183183183183183,2.538252523485339e+162,2.2886444790765252e+231,1.2679676978861213e+284,2.538252523485339e+162,0.0004600840508951584,1.3696256360886664e+281,1.3696256360886664e+281,-0.00519911728254556
3.193193193193193,8.29183845207554e+162,1.2317901270117108e+232,9.998332968960839e+284,8.29183845207554e+162,9.18399890427127e+48,4.73786349003082e+164,4.73786349003082e+164,9.18399890427127e+48
3.203203203203203,2.708736986765141e+163,6.629718731377337e+232,7.884007007599866e+285,2.708736986765141e+163,-0.005921339484674745,7.266070645826049e+223,7.266070645826049e+223,0.010243473367453043
3.2132132132132134,8.848768709625303e+163,3.568235326739721e+233,6.216793015409138e+286,8.848768709625303e+163,0.0105878989076515,1.9420747268528826e+227,1.9420747268528826e+227,-0.00791947925480478
3.2232232232232234,2.8906722233660195e+164,1.9204892189510555e+234,4.902141168100902e+287,2.8906722233660195e+164,1.9783894428748077e+49,4.615595630919996e+281,4.615595630919996e+281,1.9783894428748077e+49
3.2332332332332334,9.443105789424178e+164,1.0336422636138209e+235,3.865495926371626e+288,9.443105789424178e+164,0.002278864649732617,4.7123605355552036e+257,4.7123605355552036e+257,0.0026142451149700993
3.2432432432432434,3.0848273362704395e+165,5.563250855643551e+235,3.048067818876714e+289,3.0848273362704395e+165,0.004846528655880567,4.7123600962616166e+257,4.7123600962616166e+257,0.00040734598725096927
3.2532532532532534,1.0077362158256039e+166,2.9942428987109034e+236,2.403499475691626e+290,1.0077362158256039e+166,-0.0010994692468463058,9.076524071183896e+223,9.076524071183896e+223,0.0032846142322015114
3.2632632632632634,3.292023085367779e+166,1.611556042634722e+237,1.895236614649614e+291,3.292023085367779e+166,0.009620430158025217,4.719845519119994e+164,4.719845519119994e+164,0.003067777432809294
3.2732732732732734,1.0754219032589048e+167,8.673688028356108e+237,1.4944550042772467e+292,1.0754219032589048e+167,-0.0007547077771196363,0.0004587857996194194,0.013597721549479386,0.001049899201394208
3.2832832832832834,3.513135357522134e+167,4.668336814477475e+238,1.1784258212231387e+293,3.513135357522134e+167,0.006441446737737614,-0.008763864593845743,-0.001263228045176989,0.00804452344841294
3.2932932932932935,1.1476537723343064e+168,2.512583868080864e+239,9.292266478317684e+293,1.1476537723343064e+168,-0.0033637211554286717,2.6451987425565815e+185,2.6451987425565815e+185,0.00041157995441779797
3.3033033033033035,3.7490988738816676e+168,1.3523183836110873e+240,7.32725088162725e+294,3.7490988738816676e+168,0.001462865196973374,3.6511515294415163e+180,3.6511515294415163e+180,0.00026430033151786863
3.3133133133133135,1.2247371730265732e+169,7.27842375382904e+240,5.777772907013673e+295,1.2247371730265732e+169,0.003983332228497285,-0.002702377346763889,-0.0021049462482957567,-0.003786079174457087
3.3233233233233235,4.000911135149025e+169,3.917380181092353e+241,4.5559596985656495e+296,4.000911135149025e+169,-0.008169740379822727,1.1218100089296347e+219,1.1218100089296347e+219,-0.0017155252596111918
3.3333333333333335,1.3069979637469416e+170,2.108405336429849e+242,3.5925207077050176e+297,1.3069979637469416e+170,0.005390237082191953,4.249763775218185e+175,4.249763775218185e+175,-0.005714027783948008
3.3433433433433435,4.2696366393973735e+170,1.1347821392689472e+243,2.8328180813785275e+298,4.2696366393973735e+170,-0.0033440660641518515,5.287589413416722e+180,5.287589413416722e+180,0.006116267254640554
3.3533533533533535,1.3947838894206038e+171,6.1076040788691325e+243,2.233768137908144e+299,1.3947838894206038e+171,0.004079970195679045,1.7145745800977618e+214,1.7145745800977618e+214,-0.0009673882579328238
3.3633633633633635,4.556411382348586e+171,3.287223712840908e+244,1.7613979967006698e+300,4.556411382348586e+171,-0.00016704932027113172,2.796332570847026e+39,2.796332570847026e+39,-0.0015079990007849165
3.3733733733733735,1.488466051420413e+172,1.7692436509460821e+245,1.3889189514539294e+301,1.488466051420413e+172,0.000746173644319141,0.0017144654862328624,-0.002442111573192443,0.006030930905851562
3.3833833833833835,4.862447659221498e+172,9.522391447396522e+245,1.0952072504318248e+302,4.862447659221498e+172,-0.0032488063497088304,5.317454134441236e+228,5.317454134441236e+228,0.005768137734429314
3.3933933933933935,1.58844047619e+173,5.1251244475682126e+246,8.636061289328041e+302,1.58844047619e+173,-0.004630870792440307,2.0582095369540888e+217,2.0582095369540888e+217,-0.003836593959293083
3.4034034034034035,5.189039188967472e+173,2.7584352892942564e+247,6.809811994388621e+303,5.189039188967472e+173,-0.0007250320120457192,-0.007875688847081303,0.004486050527885565,-0.006270139509815591
3.4134134134134135,1.6951297896346978e+174,1.4846400948867573e+248,5.369755704733372e+304,1.6951297896346978e+174,-0.0004612817259249006,4.822812550406471e+231,4.822812550406471e+231,0.005402763072094993
3.4234234234234235,5.537566588526727e+174,7.9906032961817115e+248,4.234225018167595e+305,5.537566588526727e+174,-0.009257586351365546,9.588410602184902e+199,9.588410602184902e+199,-0.0024570372760286136
3.4334334334334335,1.8089850059008212e+175,4.300688177268656e+249,8.713441659263283e+305,1.8089850059008212e+175,-0.003284429523823037,4.764891066582117e+180,4.764891066582117e+180,-0.01019152403983066
3.4434434434434436,5.9095032078751456e+175,2.3147086784160517e+250,2.3147086784160517e+250,5.9095032078751456e+175,0.0022638960087742956,-0.002147266245533247,-0.007411269530492331,0.00012341519112842733
3.4534534534534536,1.9304874309695666e+176,1.2458183535755127e+251,1.2458183535755127e+251,1.9304874309695666e+176,0.004965848369597063,-0.005855730382374714,-0.007944202337523595,0.0011117674332546581
3.4634634634634636,6.306421352775575e+176,6.705221197717386e+251,6.705221197717386e+251,6.306421352775575e+176,0.0005465761124570337,4.619571375611453e+281,4.619571375611453e+281,-0.00010155827862572473
3.4734734734734736,2.0601506978770067e+177,3.6088721270802375e+252,3.6088721270802375e+252,2.0601506978770067e+177,-0.0016755767258923426,5.293703250965475e+180,5.293703250965475e+180,-0.003747236203920168
3.4834834834834836,6.729998934026608e+177,1.9423606839472035e+253,1.9423606839472035e+253,6.729998934026608e+177,0.0037883382607996133,0.006119058387398144,0.005128030579726902,0.005577638451954061
3.4934934934934936,2.1985229381254854e+178,1.0454138839732787e+254,1.0454138839732787e+254,2.1985229381254854e+178,-0.004229460796063222,6.940494971013322e+199,6.940494971013322e+199,-0.002572858464693038
3.5035035035035036,7.182026560064241e+178,5.626607859151885e+254,5.626607859151885e+254,7.182026560064241e+178,-5.081918849285768e-05,2.584323290711132e+185,2.584323290711132e+185,-0.00902849661632688
3.5135135135135136,2.3461890986313063e+179,3.0283427922132247e+255,3.0283427922132247e+255,2.3461890986313063e+179,-0.0036450601797125993,1.3336030129897565e+241,1.3336030129897565e+241,-0.0025940330441300958
3.5235235235235236,7.66441510575058e+179,1.6299092272189074e+256,1.6299092272189074e+256,7.66441510575058e+179,-0.0038542763415644024,1.1322420179626027e+277,1.1322420179626027e+277,0.0012553634387608874
3.5335335335335336,2.5037734142339225e+180,8.7724682148655e+256,8.7724682148655e+256,2.5037734142339225e+180,-0.005100704971197002,8.915296713347815e+197,8.915296713347815e+197,0.01570679965833198
3.5435435435435436,8.179203791721372e+180,4.7215021107466935e+257,4.7215021107466935e+257,8.179203791721372e+180,0.0016325600623126747,4.931453128927824e+180,4.931453128927824e+180,0.006196330754058815
3.5535535535535536,2.6719420492125274e+181,2.5411983979395857e+258,2.5411983979395857e+258,2.6719420492125274e+181,0.004428681638366713,2.5043033341433353e+265,2.5043033341433353e+265,-0.0060729723405877935
3.5635635635635636,8.728568815221954e+181,1.3677192439082676e+259,1.3677192439082676e+259,8.728568815221954e+181,0.003614106161618311,1.9180046302375542e+87,1.9180046302375542e+87,-0.00925589388879896
3.5735735735735736,2.851405912469738e+182,7.361313984549032e+259,7.361313984549032e+259,2.851405912469738e+182,-0.00035764263375444533,3.852795022768462e+231,3.852795022768462e+231,0.0015383047271038735
3.5835835835835836,9.314832534998142e+182,3.961993210880699e+260,3.961993210880699e+260,9.314832534998142e+182,-0.002356820674057607,-2.5732803214668194e+127,-2.5732803214668194e+127,0.005426254538084945
3.5935935935935936,3.0429236603195694e+183,2.1324168807955863e+261,2.1324168807955863e+261,3.0429236603195694e+183,-0.0014989903570371218,3.416368208537557e+228,3.416368208537557e+228,-0.0011363447535048372
3.6036036036036037,9.940473291803756e+183,1.1477055896084008e+262,1.1477055896084008e+262,9.940473291803756e+183,-0.004812299235679377,4.824108956510057e+228,4.824108956510057e+228,0.005542187160817764
3.6136136136136137,3.247304904763133e+184,6.177160443647184e+262,6.177160443647184e+262,3.247304904763133e+184,0.007362397392494935,0.002765199414736047,-0.000747523238495407,4.834846680968107e-05
3.6236236236236237,1.0608135885597333e+185,3.324660217123341e+263,3.324660217123341e+263,1.0608135885597333e+185,-0.0019004512569286125,-0.005479702359381205,0.004004585736650871,-0.006864796569286863
3.6336336336336337,3.465413635751695e+185,1.7893926601421991e+264,1.7893926601421991e+264,3.465413635751695e+185,-0.0033421836309804375,1.3336031968078986e+241,1.3336031968078986e+241,-0.007809530421230423
3.6436436436436437,1.1320642755084423e+186,9.630837085016402e+264,9.630837085016402e+264,1.1320642755084423e+186,0.0022984746424202676,3.338254166944754e+151,3.338254166944754e+151,0.00048517064671758844
3.6536536536536537,3.6981718732151036e+186,5.1834918623378535e+265,5.1834918623378535e+265,3.6981718732151036e+186,-0.004318845921579044,6.231029907422043e+228,6.231029907422043e+228,0.0025364570209895215
3.6636636636636637,1.2081005907903125e+187,2.7898496932753845e+266,2.7898496932753845e+266,1.2081005907903125e+187,-0.006550661547495317,3.8555104881645568e+233,3.8555104881645568e+233,-0.001230045406544919
3.6736736736736737,3.946563565550893e+187,1.5015478983918817e+267,1.5015478983918817e+267,3.946563565550893e+187,-0.005866687155558036,0.005895228823163408,0.002153446545246288,-0.005763282831974504
