Dimension,Gamma,Perturbation Max,Nonlinear Factor,Frequency Shift,Perturbation Magnitude,Quantum Coherence,Stable
64,10,0.4,1,0.0,0.0,1.0,True
64,10,0.4,1,0.0,0.031780066788685744,0.7277478374719258,True
64,10,0.4,1,0.0,0.06335920976288599,0.530682111210864,True
64,10,0.4,1,0.0,0.09453777541316198,0.3885327733164115,False
64,10,0.4,1,0.0,0.12511864280889087,0.2861650810856057,False
64,10,0.4,1,0.0,0.15490846986025641,0.21244233362911977,False
64,10,0.4,1,0.0,0.18371891568919116,0.159264464958243,False
64,10,0.4,1,0.0,0.21136783138104778,0.12079283431678757,False
64,10,0.4,1,0.0,0.23768041158868414,0.09284683157534858,False
64,10,0.4,1,0.0,0.26249029970815024,0.0724467842429234,False
64,10,0.4,1,0.0,0.28564063963869996,0.05747493171663073,False
64,10,0.4,1,0.0,0.3069850674775632,0.046428087224371514,False
64,10,0.4,1,0.0,0.32638863687966446,0.038239496076688,False
64,10,0.4,1,0.0,0.34372867223186443,0.032151803857855786,False
64,10,0.4,1,0.0,0.3588955442476849,0.027627173528438,False
64,10,0.4,1,0.0,0.3717933630789548,0.024284095944437707,False
64,10,0.4,1,0.0,0.38234058456230435,0.021853245224183353,False
64,10,0.4,1,0.0,0.3904705257676204,0.02014689175795769,False
64,10,0.4,1,0.0,0.3961317865890007,0.019038008210387078,False
64,10,0.4,1,0.0,0.39928857471277324,0.018446405577414726,False
64,10,0.4,1,0.0,0.3999209319080263,0.01833012644169737,False
64,10,0.4,1,0.0,0.398024860208971,0.018680994626112262,False
64,10,0.4,1,0.0,0.3936123471913683,0.01952375261381363,False
64,10,0.4,1,0.0,0.386711290183215,0.020918676599843235,False
64,10,0.4,1,0.0,0.37736531988885386,0.022968003152928636,False
64,10,0.4,1,0.0,0.36563352454161385,0.025826989080916723,False
64,10,0.4,1,0.0,0.35159007632897354,0.029721019289927895,False
64,10,0.4,1,0.0,0.3353237624521107,0.03497094781824398,False
64,10,0.4,1,0.0,0.31693742378462986,0.04202989039089664,False
64,10,0.4,1,0.0,0.2965473046794473,0.05153608449843414,False
64,10,0.4,1,0.0,0.27428231803456543,0.06438831024096488,False
64,10,0.4,1,0.0,0.250283230264224,0.08185283799518729,False
64,10,0.4,1,0.0,0.22470177132830843,0.10571402444768735,False
64,10,0.4,1,0.0,0.19769967544668918,0.13848451641152484,False
64,10,0.4,1,0.0,0.16944765856341115,0.18369535265580647,False
64,10,0.4,1,0.0,0.1401243390255299,0.24629053822251012,False
64,10,0.4,1,0.0,0.10991510830041021,0.3331537835958703,False
64,10,0.4,1,0.0,0.07901095887118122,0.45379506174104534,False
64,10,0.4,1,0.0,0.047607276720761954,0.6212182762834384,True
64,10,0.4,1,0.0,0.015902606038770358,0.8529741298429582,True
64,10,0.4,1,0.0,0.015902606038770258,0.8529741298429591,True
64,10,0.4,1,0.0,0.04760727672076185,0.6212182762834391,True
64,10,0.4,1,0.0,0.07901095887118095,0.4537950617410465,False
64,10,0.4,1,0.0,0.10991510830041012,0.3331537835958705,False
64,10,0.4,1,0.0,0.14012433902552965,0.24629053822251068,False
64,10,0.4,1,0.0,0.16944765856341126,0.18369535265580625,False
64,10,0.4,1,0.0,0.1976996754466891,0.13848451641152493,False
64,10,0.4,1,0.0,0.2247017713283082,0.10571402444768759,False
64,10,0.4,1,0.0,0.25028323026422394,0.08185283799518733,False
64,10,0.4,1,0.0,0.2742823180345652,0.06438831024096506,False
64,10,0.4,1,0.0,0.2965473046794473,0.051536084498434116,False
64,10,0.4,1,0.0,0.31693742378462963,0.04202989039089673,False
64,10,0.4,1,0.0,0.3353237624521106,0.034970947818244044,False
64,10,0.4,1,0.0,0.35159007632897343,0.029721019289927937,False
64,10,0.4,1,0.0,0.36563352454161374,0.025826989080916768,False
64,10,0.4,1,0.0,0.3773653198888538,0.022968003152928643,False
64,10,0.4,1,0.0,0.38671129018321493,0.020918676599843273,False
64,10,0.4,1,0.0,0.39361234719136823,0.019523752613813658,False
64,10,0.4,1,0.0,0.398024860208971,0.01868099462611227,False
64,10,0.4,1,0.0,0.3999209319080263,0.018330126441697354,False
64,10,0.4,1,0.0,0.3992885747127733,0.018446405577414716,False
64,10,0.4,1,0.0,0.3961317865890007,0.01903800821038706,False
64,10,0.4,1,0.0,0.3904705257676204,0.02014689175795769,False
64,10,0.4,1,0.0,0.3823405845623044,0.021853245224183342,False
64,10,0.4,1,0.0,0.37179336307895494,0.024284095944437676,False
64,10,0.4,1,0.0,0.35889554424768494,0.027627173528437986,False
64,10,0.4,1,0.0,0.34372867223186443,0.03215180385785577,False
64,10,0.4,1,0.0,0.32638863687966463,0.03823949607668793,False
64,10,0.4,1,0.0,0.30698506747756316,0.046428087224371535,False
64,10,0.4,1,0.0,0.2856406396387,0.05747493171663073,False
64,10,0.4,1,0.0,0.2624902997081505,0.07244678424292322,False
64,10,0.4,1,0.0,0.23768041158868405,0.09284683157534866,False
64,10,0.4,1,0.0,0.21136783138104787,0.12079283431678746,False
64,10,0.4,1,0.0,0.1837189156891912,0.15926446495824298,False
64,10,0.4,1,0.0,0.1549084698602567,0.21244233362911916,False
64,10,0.4,1,0.0,0.12511864280889104,0.2861650810856051,False
64,10,0.4,1,0.0,0.09453777541316205,0.3885327733164112,False
64,10,0.4,1,0.0,0.06335920976288631,0.5306821112108623,True
64,10,0.4,1,0.0,0.03178006678868596,0.7277478374719244,True
64,10,0.4,1,0.0,9.797174393178826e-17,0.999999999999999,True
64,10,0.4,1,0.5235987755982988,0.19999999999999996,0.13533528323661273,False
64,10,0.4,1,0.5235987755982988,0.2268901129759071,0.10342576916171806,False
64,10,0.4,1,0.5235987755982988,0.25234575360563294,0.08018189513374012,False
64,10,0.4,1,0.5235987755982988,0.2762059831331482,0.06316153217048837,False
64,10,0.4,1,0.5235987755982988,0.2983199495050872,0.05063058214452723,False
64,10,0.4,1,0.5235987755982988,0.3185478411059995,0.041358454725048295,False
64,10,0.4,1,0.5235987755982988,0.3367617706923974,0.034471661202045666,False
64,10,0.4,1,0.5235987755982988,0.3528465839370858,0.029349908819587683,False
64,10,0.4,1,0.5235987755982988,0.3667005874718947,0.025552863999030735,False
64,10,0.4,1,0.5235987755982988,0.3782361918258952,0.022768849703400783,False
64,10,0.4,1,0.5235987755982988,0.3873804651942356,0.020779161364564785,False
64,10,0.4,1,0.5235987755982988,0.3940755945364938,0.01943351851306649,False
64,10,0.4,1,0.5235987755982988,0.39827925108933354,0.018633532274964823,False
64,10,0.4,1,0.5235987755982988,0.39996485798257386,0.01832207650483201,False
64,10,0.4,1,0.5235987755982988,0.3991217582667196,0.018477202895977943,False
64,10,0.4,1,0.5235987755982988,0.3957552822896278,0.01910982223642835,False
64,10,0.4,1,0.5235987755982988,0.3898867139963322,0.020264855692203394,False
64,10,0.4,1,0.5235987755982988,0.3815531563650892,0.02202600311862838,False
64,10,0.4,1,0.5235987755982988,0.37080729683040414,0.02452473771208661,False
64,10,0.4,1,0.5235987755982988,0.3577170741761064,0.0279546774778261,False
64,10,0.4,1,0.5235987755982988,0.34236524900448345,0.03259317103376457,False
64,10,0.4,1,0.5235987755982988,0.32484888049710664,0.0388328475186902,False
64,10,0.4,1,0.5235987755982988,0.3052787127754354,0.04722711279176442,False
64,10,0.4,1,0.5235987755982988,0.283778474740825,0.058555237035791664,False
64,10,0.4,1,0.5235987755982988,0.2604840978205749,0.07391489034151212,False
64,10,0.4,1,0.5235987755982988,0.23554285656567983,0.0948528471498995,False
64,10,0.4,1,0.5235987755982988,0.2091124375336998,0.12354814320701249,False
64,10,0.4,1,0.5235987755982988,0.18135994234357294,0.16306613513567086,False
64,10,0.4,1,0.5235987755982988,0.15246083120537893,0.2177063131058796,False
64,10,0.4,1,0.5235987755982988,0.12259781360439792,0.29347050580920075,False
