Gamma,Mean Quantum Coherence,Max Quantum Coherence,Min Quantum Coherence,Std Quantum Coherence
1,0.9225257489751404,1.0,0.8498208989709349,0.03512957669750492
5,0.6779132557624933,1.0,0.44323805016970247,0.12937415727577595
10,0.4763040549093208,1.0,0.1964599691182397,0.18306619399170546
20,0.26037878410567006,1.0,0.0385965194659397,0.20496111313672086
50,0.08125851299581104,1.0,0.00029266470971795085,0.17105995420502862
