temperature_K,resistivity_ohm_m,kss_bound_threshold
1.0,1e-08,6.077873551407886e-13
4.020202020202021,4.020202020202021e-08,6.077873551407886e-13
7.040404040404041,7.04040404040404e-08,6.077873551407886e-13
10.06060606060606,1.0060606060606061e-07,6.077873551407886e-13
13.080808080808081,1.3080808080808083e-07,6.077873551407886e-13
16.101010101010104,1.6101010101010103e-07,6.077873551407886e-13
19.12121212121212,1.912121212121212e-07,6.077873551407886e-13
22.141414141414142,2.2141414141414142e-07,6.077873551407886e-13
25.161616161616163,2.5161616161616165e-07,6.077873551407886e-13
28.181818181818183,2.818181818181818e-07,6.077873551407886e-13
31.202020202020204,3.1202020202020206e-07,6.077873551407886e-13
34.22222222222222,3.4222222222222223e-07,6.077873551407886e-13
37.24242424242424,3.724242424242424e-07,6.077873551407886e-13
40.26262626262626,4.0262626262626264e-07,6.077873551407886e-13
43.282828282828284,4.328282828282828e-07,6.077873551407886e-13
46.303030303030305,4.6303030303030305e-07,6.077873551407886e-13
49.323232323232325,4.932323232323233e-07,6.077873551407886e-13
52.343434343434346,5.234343434343435e-07,6.077873551407886e-13
55.36363636363637,5.536363636363636e-07,6.077873551407886e-13
58.38383838383839,5.838383838383839e-07,6.077873551407886e-13
61.40404040404041,6.140404040404041e-07,6.077873551407886e-13
64.42424242424244,6.442424242424244e-07,6.077873551407886e-13
67.44444444444444,6.744444444444445e-07,6.077873551407886e-13
70.46464646464646,7.046464646464646e-07,6.077873551407886e-13
73.48484848484848,7.348484848484848e-07,6.077873551407886e-13
76.5050505050505,7.650505050505051e-07,6.077873551407886e-13
79.52525252525253,7.952525252525253e-07,6.077873551407886e-13
82.54545454545455,8.254545454545455e-07,6.077873551407886e-13
85.56565656565657,8.556565656565657e-07,6.077873551407886e-13
88.58585858585859,8.858585858585859e-07,6.077873551407886e-13
91.60606060606061,9.160606060606061e-07,6.077873551407886e-13
94.62626262626263,9.462626262626263e-07,6.077873551407886e-13
97.64646464646465,9.764646464646465e-07,6.077873551407886e-13
100.66666666666667,1.0066666666666668e-06,6.077873551407886e-13
103.68686868686869,1.036868686868687e-06,6.077873551407886e-13
106.70707070707071,1.0670707070707072e-06,6.077873551407886e-13
109.72727272727273,1.0972727272727274e-06,6.077873551407886e-13
112.74747474747475,1.1274747474747476e-06,6.077873551407886e-13
115.76767676767678,1.1576767676767677e-06,6.077873551407886e-13
118.7878787878788,1.187878787878788e-06,6.077873551407886e-13
121.80808080808082,1.2180808080808083e-06,6.077873551407886e-13
124.82828282828284,1.2482828282828285e-06,6.077873551407886e-13
127.84848484848486,1.2784848484848487e-06,6.077873551407886e-13
130.86868686868686,1.3086868686868686e-06,6.077873551407886e-13
133.88888888888889,1.3388888888888888e-06,6.077873551407886e-13
136.9090909090909,1.3690909090909092e-06,6.077873551407886e-13
139.92929292929293,1.3992929292929294e-06,6.077873551407886e-13
142.94949494949495,1.4294949494949495e-06,6.077873551407886e-13
145.96969696969697,1.4596969696969697e-06,6.077873551407886e-13
148.989898989899,1.48989898989899e-06,6.077873551407886e-13
152.010101010101,1.52010101010101e-06,6.077873551407886e-13
155.03030303030303,1.5503030303030303e-06,6.077873551407886e-13
158.05050505050505,1.5805050505050506e-06,6.077873551407886e-13
161.07070707070707,1.6107070707070708e-06,6.077873551407886e-13
164.0909090909091,1.640909090909091e-06,6.077873551407886e-13
167.11111111111111,1.6711111111111112e-06,6.077873551407886e-13
170.13131313131314,1.7013131313131314e-06,6.077873551407886e-13
173.15151515151516,1.7315151515151515e-06,6.077873551407886e-13
176.17171717171718,1.7617171717171717e-06,6.077873551407886e-13
179.1919191919192,1.791919191919192e-06,6.077873551407886e-13
182.21212121212122,1.8221212121212123e-06,6.077873551407886e-13
185.23232323232324,1.8523232323232325e-06,6.077873551407886e-13
188.25252525252526,1.8825252525252526e-06,6.077873551407886e-13
191.27272727272728,1.912727272727273e-06,6.077873551407886e-13
194.2929292929293,1.942929292929293e-06,6.077873551407886e-13
197.31313131313132,1.973131313131313e-06,6.077873551407886e-13
200.33333333333334,2.0033333333333334e-06,6.077873551407886e-13
203.35353535353536,2.0335353535353535e-06,6.077873551407886e-13
206.37373737373738,2.0637373737373737e-06,6.077873551407886e-13
209.3939393939394,2.093939393939394e-06,6.077873551407886e-13
212.41414141414143,2.1241414141414145e-06,6.077873551407886e-13
215.43434343434345,2.1543434343434347e-06,6.077873551407886e-13
218.45454545454547,2.184545454545455e-06,6.077873551407886e-13
221.4747474747475,2.214747474747475e-06,6.077873551407886e-13
224.4949494949495,2.244949494949495e-06,6.077873551407886e-13
227.51515151515153,2.2751515151515154e-06,6.077873551407886e-13
230.53535353535355,2.3053535353535356e-06,6.077873551407886e-13
233.55555555555557,2.3355555555555557e-06,6.077873551407886e-13
236.5757575757576,2.365757575757576e-06,6.077873551407886e-13
239.5959595959596,2.395959595959596e-06,6.077873551407886e-13
242.61616161616163,2.4261616161616163e-06,6.077873551407886e-13
245.63636363636365,2.4563636363636364e-06,6.077873551407886e-13
248.65656565656568,2.4865656565656566e-06,6.077873551407886e-13
251.6767676767677,2.516767676767677e-06,6.077873551407886e-13
254.69696969696972,2.5469696969696974e-06,6.077873551407886e-13
257.7171717171717,2.577171717171717e-06,6.077873551407886e-13
260.73737373737373,2.6073737373737373e-06,6.077873551407886e-13
263.75757575757575,2.6375757575757575e-06,6.077873551407886e-13
266.77777777777777,2.6677777777777777e-06,6.077873551407886e-13
269.7979797979798,2.697979797979798e-06,6.077873551407886e-13
272.8181818181818,2.728181818181818e-06,6.077873551407886e-13
