Dimension,Gamma,Nonlinear Factor,Perturbation Magnitude,Quantum Coherence
64,5,2,0.0,1.0
64,5,2,0.03894594849378829,0.8230570653714463
64,5,2,0.14061592493434502,0.495058359852157
64,5,2,0.2654135926634844,0.2652538562777891
64,5,2,0.36473531628596667,0.1614311437974082
64,5,2,0.3998993084766371,0.1354034359703488
64,5,2,0.35721061894855755,0.16762044780892504
64,5,2,0.253294762738007,0.2818236343812404
64,5,2,0.12862275568162565,0.5256531058396229
64,5,2,0.03174929343376376,0.8532126489681575
64,5,2,0.0004026647056231264,0.997988701848225
64,5,2,0.04679111137620439,0.7913969872644793
64,5,2,0.15284821289811454,0.4656872234644216
64,5,2,0.277269025138626,0.24998730917881506
64,5,2,0.3715966826469956,0.15598687447783738
64,5,2,0.3990943845146171,0.1359494813966804
64,5,2,0.349052889935151,0.17459881026234716
64,5,2,0.24096133361303806,0.29974994514854963
64,5,2,0.11691699739962265,0.5573371159716757
64,5,2,0.025230124586043047,0.8814820653720858
64,5,2,0.0016090374338409603,0.9919870887358584
64,5,2,0.055253192378986016,0.7586111422714926
64,5,2,0.16527036446661383,0.43764297685511944
64,5,2,0.288813322521155,0.23596622169632556
64,5,2,0.37776708973098483,0.15124784219460188
64,5,2,0.3974877777352788,0.13704596634304023
64,5,2,0.3402949775412638,0.1824142849664776
64,5,2,0.228462967654657,0.3190795487146019
64,5,2,0.10554578504546318,0.5899432546734987
64,5,2,0.019414692342675833,0.9074893379628836
64,5,2,0.0036142605474586732,0.9820910040848643
64,5,2,0.06429811768857378,0.7250674540090966
64,5,2,0.17783236001979763,0.41100010866303616
64,5,2,0.30000000000000004,0.2231301601484298
64,5,2,0.38322169148641416,0.14717860092116622
64,5,2,0.3950859573770813,0.1387016872646861
64,5,2,0.33097214678905695,0.19111867019535467
64,5,2,0.2158499913713574,0.3398503324865317
64,5,2,0.09455490647789962,0.6232705826656376
64,5,2,0.014326413396785451,0.9308733318431484
64,5,2,0.006410259720728827,0.9684569003182301
64,5,2,0.07388946658309593,0.6911161822747423
64,5,2,0.1904836168352517,0.38580698085731036
64,5,2,0.31078401277322226,0.21141757688180404
64,5,2,0.38793852415718166,0.14374812817426
64,5,2,0.3918985947228994,0.14092985796577515
64,5,2,0.32112193742753303,0.20076711246209772
64,5,2,0.20317319276696108,0.3620887382769839
64,5,2,0.08398861808576027,0.6570842131318385
64,5,2,0.009985776451810818,0.951297076194095
64,5,2,0.009985776451810889,0.9512970761940948
64,5,2,0.08398861808576102,0.6570842131318362
64,5,2,0.20317319276696263,0.3620887382769812
64,5,2,0.32112193742753314,0.20076711246209764
64,5,2,0.39189859472289945,0.14092985796577515
64,5,2,0.38793852415718155,0.14374812817426014
64,5,2,0.3107840127732215,0.2114175768818048
64,5,2,0.19048361683525072,0.3858069808573123
64,5,2,0.07388946658309577,0.6911161822747428
64,5,2,0.00641025972072877,0.9684569003182305
64,5,2,0.014326413396785535,0.930873331843148
64,5,2,0.09455490647789981,0.6232705826656371
64,5,2,0.2158499913713583,0.33985033248653007
64,5,2,0.33097214678905756,0.19111867019535403
64,5,2,0.39508595737708124,0.1387016872646861
64,5,2,0.38322169148641416,0.1471786009211663
64,5,2,0.2999999999999998,0.22313016014842998
64,5,2,0.17783236001979746,0.4110001086630365
64,5,2,0.06429811768857312,0.7250674540090991
64,5,2,0.003614260547458497,0.9820910040848652
64,5,2,0.019414692342676235,0.9074893379628817
64,5,2,0.10554578504546336,0.5899432546734982
64,5,2,0.2284629676546573,0.3190795487146015
64,5,2,0.3402949775412645,0.182414284966477
64,5,2,0.39748777773527894,0.13704596634304014
64,5,2,0.37776708973098444,0.1512478421946022
64,5,2,0.28881332252115505,0.23596622169632545
64,5,2,0.16527036446661403,0.43764297685511905
64,5,2,0.05525319237898588,0.7586111422714933
64,5,2,0.001609037433840888,0.9919870887358587
64,5,2,0.02523012458604333,0.8814820653720847
64,5,2,0.11691699739962347,0.5573371159716733
64,5,2,0.2409613336130393,0.29974994514854775
64,5,2,0.34905288993515093,0.1745988102623473
64,5,2,0.39909438451461704,0.13594948139668042
64,5,2,0.3715966826469953,0.15598687447783763
64,5,2,0.27726902513862517,0.24998730917881598
64,5,2,0.15284821289811368,0.46568722346442365
64,5,2,0.04679111137620459,0.7913969872644784
64,5,2,0.0004026647056230338,0.9979887018482254
64,5,2,0.03174929343376389,0.853212648968157
64,5,2,0.12862275568162598,0.5256531058396222
64,5,2,0.2532947627380077,0.28182363438123936
64,5,2,0.3572106189485581,0.16762044780892466
64,5,2,0.3998993084766371,0.13540343597034882
64,5,2,0.3647353162859667,0.16143114379740806
64,5,2,0.2654135926634842,0.2652538562777894
64,5,2,0.14061592493434458,0.49505835985215807
64,5,2,0.03894594849378789,0.823057065371448
64,5,2,5.999039130647432e-31,1.0
64,5,3,0.0,1.0
64,5,3,0.012152438504512565,0.9410470011823884
64,5,3,0.08337229684492527,0.6591122110603181
64,5,3,0.2161995299309578,0.33925689723035857
64,5,3,0.34828657105528277,0.17526908537703575
64,5,3,0.3998489722204635,0.1354375187693691
64,5,3,0.3375643273599604,0.1849219126489737
64,5,3,0.2015623065932169,0.36501693363104293
64,5,3,0.07293680232647706,0.6944160436054427
64,5,3,0.008944809617003079,0.9562613275716264
64,5,3,1.2775719002029624e-05,0.9999361234451839
64,5,3,0.016003502619256753,0.9231001799027434
64,5,3,0.09448449633072971,0.6234900441614223
64,5,3,0.23084583195439068,0.31530048955381595
64,5,3,0.35816054871619407,0.166826197242509
64,5,3,0.39864234594299597,0.13625710095240226
64,5,3,0.32606701025227314,0.19586393867219423
64,5,3,0.18702128711478594,0.3925440826532356
64,5,3,0.06321010104858596,0.7290226297728022
64,5,3,0.006336495006112575,0.9688141559306767
64,5,3,0.00010205146092833443,0.9994898728544778
64,5,3,0.020535537162646444,0.9024177886677479
64,5,3,0.10623374252751783,0.5879174614397827
64,5,3,0.24541202465443623,0.2931531461905493
64,5,3,0.36711842793248856,0.15951901626012896
64,5,3,0.39623758961793687,0.13790531560869912
64,5,3,0.3138725337974066,0.20817781826583434
64,5,3,0.1726607905607177,0.42176628186863124
64,5,3,0.05421648355372088,0.7625536458451678
64,5,3,0.004277261213901692,0.9788407593962489
64,5,3,0.0003435573071118312,0.9982836880152898
64,5,3,0.025779078750517395,0.8790659165229321
64,5,3,0.11857310494985374,0.5527411198636162
64,5,3,0.2598076211353317,0.27279406593784866
64,5,3,0.3750983290694675,0.15327958912006023
64,5,3,0.392651621209843,0.14040023606050453
64,5,3,0.30106285429049834,0.22194753109733073
64,5,3,0.15856161397519913,0.4525721550519508
64,5,3,0.04597228691183988,0.7946437050302221
64,5,3,0.002711291562563295,0.9865350171360862
64,5,3,0.0008114905060920441,0.9959507678084218
64,5,3,0.03175731679439759,0.8531784214908105
64,5,3,0.13144874600920795,0.5182778813666419
64,5,3,0.27394161336469314,0.2541811526338659
64,5,3,0.38204486628210627,0.14804717123922861
64,5,3,0.3879096320997315,0.14376889557014375
64,5,3,0.28772325672344135,0.23725582642736043
64,5,3,0.1448003502654471,0.4848082867086433
64,5,3,0.038485812330129786,0.8249528369205118
64,5,3,0.0015777666192639058,0.9921422020834176
64,5,3,0.001577766619263922,0.9921422020834175
64,5,3,0.0384858123301303,0.8249528369205098
64,5,3,0.1448003502654488,0.4848082867086392
64,5,3,0.2877232567234415,0.2372558264273602
64,5,3,0.38790963209973167,0.14376889557014358
64,5,3,0.3820448662821061,0.14804717123922875
64,5,3,0.2739416133646921,0.25418115263386737
64,5,3,0.13144874600920692,0.5182778813666445
64,5,3,0.03175731679439748,0.853178421490811
64,5,3,0.0008114905060920334,0.9959507678084221
64,5,3,0.0027112915625633186,0.986535017136086
64,5,3,0.04597228691184002,0.7946437050302216
64,5,3,0.15856161397520013,0.4525721550519485
64,5,3,0.3010628542904992,0.22194753109732973
64,5,3,0.3926516212098428,0.14040023606050467
64,5,3,0.3750983290694675,0.15327958912006023
64,5,3,0.25980762113533135,0.27279406593784916
64,5,3,0.11857310494985357,0.5527411198636167
64,5,3,0.02577907875051699,0.8790659165229339
64,5,3,0.00034355730711180607,0.9982836880152899
64,5,3,0.004277261213901824,0.9788407593962484
64,5,3,0.05421648355372102,0.7625536458451674
64,5,3,0.17266079056071804,0.4217662818686306
64,5,3,0.3138725337974075,0.20817781826583348
64,5,3,0.3962375896179369,0.13790531560869912
64,5,3,0.36711842793248795,0.1595190162601294
64,5,3,0.24541202465443634,0.2931531461905491
64,5,3,0.10623374252751801,0.5879174614397822
64,5,3,0.020535537162646365,0.9024177886677482
64,5,3,0.00010205146092832753,0.9994898728544778
64,5,3,0.006336495006112681,0.9688141559306762
64,5,3,0.06321010104858661,0.7290226297727999
64,5,3,0.18702128711478738,0.39254408265323276
64,5,3,0.32606701025227297,0.19586393867219443
64,5,3,0.3986423459429958,0.13625710095240237
64,5,3,0.3581605487161937,0.1668261972425093
64,5,3,0.23084583195438968,0.3153004895538174
64,5,3,0.09448449633072889,0.6234900441614248
64,5,3,0.016003502619256853,0.923100179902743
64,5,3,1.2775719002025214e-05,0.9999361234451839
64,5,3,0.008944809617003132,0.9562613275716261
64,5,3,0.07293680232647735,0.6944160436054416
64,5,3,0.20156230659321772,0.36501693363104143
64,5,3,0.3375643273599611,0.1849219126489731
64,5,3,0.3998489722204635,0.13543751876936905
64,5,3,0.34828657105528293,0.1752690853770356
64,5,3,0.21619952993095756,0.3392568972303589
64,5,3,0.08337229684492489,0.6591122110603194
64,5,3,0.012152438504512376,0.9410470011823893
64,5,3,7.346704069307097e-46,1.0
64,5,4,0.0,1.0
64,5,4,0.003791967260202025,0.9812187708267582
64,5,4,0.049432095862853374,0.781015346666591
64,5,4,0.17611093792634508,0.41455289969958303
64,5,4,0.3325796273655603,0.18958872905743426
64,5,4,0.39979864230023154,0.13547160585577048
64,5,4,0.31899856572402896,0.20290998364189547
64,5,4,0.16039559207625811,0.4484410876097809
64,5,4,0.0413595331978379,0.81318416815747
64,5,4,0.0025200440838580866,0.9874788299921494
64,5,4,4.053471628863977e-07,0.9999979732662395
64,5,4,0.005473520259550909,0.9730034984262106
64,5,4,0.05840644046536836,0.746744488676078
64,5,4,0.19219528075331002,0.38251921037787834
64,5,4,0.3452102363856298,0.17798585788544458
64,5,4,0.39819081937775264,0.1365650669625984
64,5,4,0.3045947999302016,0.21806240413628675
64,5,4,0.1451559107414346,0.48394715906691005
64,5,4,0.034173960702358425,0.842931313024369
64,5,4,0.0015913979665681346,0.9920745832131256
64,5,4,6.472503658753756e-06,0.9999676380053669
64,5,4,0.007632288170173096,0.962557532239873
64,5,4,0.06828573342731843,0.7107541659414441
64,5,4,0.2085328381642717,0.3525142645213418
64,5,4,0.35676993520954486,0.16799019303948445
64,5,4,0.3949913336223261,0.13876732516292203
64,5,4,0.28950167934952314,0.2351554729079782
64,5,4,0.13048831897393215,0.5207727072631638
64,5,4,0.027849781852157793,0.8700114475985792
64,5,4,0.0009423256969018891,0.9952994538249054
64,5,4,3.2657198262290675e-05,0.9998367273391204
64,5,4,0.010335619845734214,0.9496345057274281
64,5,4,0.07906087067552729,0.6734750336521313
64,5,4,0.2250000000000001,0.32465246735834963
64,5,4,0.3671471620642709,0.15949609970421164
64,5,4,0.3902322842914123,0.14210892734658495
64,5,4,0.2738564048753926,0.2542894676657512
64,5,4,0.11647804693753766,0.5585616762062896
64,5,4,0.022351575847610855,0.8942607503848499
64,5,4,0.0005131153020389841,0.9974377117685086
64,5,4,0.00010272857421799602,0.9994864890208268
64,5,4,0.013649133179836126,0.9340309858277146
64,5,4,0.09071002070659745,0.6353685190060578
64,5,4,0.24146675648856594,0.2989933990943015
64,5,4,0.37624074631313054,0.1524065387348527
64,5,4,0.38396127136445835,0.1466353543172592
64,5,4,0.25779824674303103,0.2755486070811142
64,5,4,0.10319836564780178,0.5969082704461476
64,5,4,0.017635219919889242,0.9155996257982745
64,5,4,0.0002492893283638486,0.9987543298501442
64,5,4,0.0002492893283638521,0.9987543298501442
64,5,4,0.017635219919889557,0.915599625798273
64,5,4,0.10319836564780338,0.5969082704461428
64,5,4,0.2577982467430312,0.27554860708111406
64,5,4,0.38396127136445846,0.14663535431725905
64,5,4,0.37624074631313037,0.15240653873485277
64,5,4,0.2414667564885647,0.29899339909430334
64,5,4,0.09071002070659652,0.6353685190060607
64,5,4,0.013649133179836064,0.9340309858277148
64,5,4,0.00010272857421799424,0.9994864890208268
64,5,4,0.0005131153020389901,0.9974377117685087
64,5,4,0.02235157584761095,0.8942607503848495
64,5,4,0.11647804693753863,0.5585616762062869
64,5,4,0.27385640487539364,0.25428946766574995
64,5,4,0.3902322842914121,0.14210892734658512
64,5,4,0.3671471620642709,0.1594960997042117
64,5,4,0.22499999999999976,0.3246524673583502
64,5,4,0.07906087067552714,0.6734750336521319
64,5,4,0.010335619845733997,0.9496345057274294
64,5,4,3.265719826228748e-05,0.9998367273391205
64,5,4,0.000942325696901928,0.9952994538249051
64,5,4,0.027849781852157886,0.8700114475985788
64,5,4,0.13048831897393245,0.5207727072631629
64,5,4,0.28950167934952425,0.2351554729079769
64,5,4,0.39499133362232625,0.13876732516292192
64,5,4,0.3567699352095441,0.16799019303948512
64,5,4,0.20853283816427184,0.35251426452134166
64,5,4,0.06828573342731857,0.7107541659414436
64,5,4,0.0076322881701730546,0.9625575322398732
64,5,4,6.472503658753173e-06,0.9999676380053669
64,5,4,0.00159139796656817,0.9920745832131255
64,5,4,0.0341739607023589,0.8429313130243669
64,5,4,0.14515591074143608,0.48394715906690644
64,5,4,0.30459479993020144,0.21806240413628694
64,5,4,0.39819081937775247,0.13656506696259854
64,5,4,0.3452102363856293,0.177985857885445
64,5,4,0.1921952807533089,0.38251921037788056
64,5,4,0.05840644046536769,0.7467444886760807
64,5,4,0.005473520259550955,0.9730034984262104
64,5,4,4.0534716288621107e-07,0.9999979732662395
64,5,4,0.0025200440838581066,0.9874788299921494
64,5,4,0.041359533197838125,0.8131841681574691
64,5,4,0.16039559207625903,0.4484410876097789
64,5,4,0.31899856572402985,0.20290998364189455
64,5,4,0.39979864230023154,0.13547160585577042
64,5,4,0.33257962736556046,0.18958872905743418
64,5,4,0.1761109379263448,0.4145528996995836
64,5,4,0.049432095862853076,0.7810153466665921
64,5,4,0.0037919672602019466,0.9812187708267586
64,5,4,8.997117622759771e-61,1.0
64,10,2,0.0,1.0
64,10,2,0.03894594849378829,0.677422932857857
64,10,2,0.14061592493434502,0.2450827796595077
64,10,2,0.2654135926634844,0.07035960827023803
64,10,2,0.36473531628596667,0.026060014187739455
64,10,2,0.3998993084766371,0.018334090472576343
64,10,2,0.35721061894855755,0.028096614523664583
64,10,2,0.253294762738007,0.07942456089585108
64,10,2,0.12862275568162565,0.276311187678842
64,10,2,0.03174929343376376,0.7279718243592604
64,10,2,0.0004026647056231264,0.995981449016705
64,10,2,0.04679111137620439,0.6263091914512944
64,10,2,0.15284821289811454,0.2168645900980021
64,10,2,0.277269025138626,0.062493654750464464
64,10,2,0.3715966826469956,0.024331905009364586
64,10,2,0.3990943845146171,0.01848226149202634
64,10,2,0.349052889935151,0.030484744545027115
64,10,2,0.24096133361303806,0.08985002961655855
64,10,2,0.11691699739962265,0.3106246608396249
64,10,2,0.025230124586043047,0.7770106315726384
64,10,2,0.0016090374338409603,0.9840383842186436
64,10,2,0.055253192378986016,0.5754908651784589
64,10,2,0.16527036446661383,0.19153137519061061
64,10,2,0.288813322521155,0.05568005778163946
64,10,2,0.37776708973098483,0.0228759097685232
64,10,2,0.3974877777352788,0.018781596890897714
64,10,2,0.3402949775412638,0.033274971359831276
64,10,2,0.228462967654657,0.10181175840791407
64,10,2,0.10554578504546318,0.3480330437347607
64,10,2,0.019414692342675833,0.8235368985163127
64,10,2,0.0036142605474586732,0.9645027403044167
64,10,2,0.06429811768857378,0.5257228128632332
64,10,2,0.17783236001979763,0.16892108932102756
64,10,2,0.30000000000000004,0.049787068367863896
64,10,2,0.38322169148641416,0.021661540569111924
64,10,2,0.3950859573770813,0.019238158050070786
64,10,2,0.33097214678905695,0.03652634609724074
