Dimension,Gamma,Scale,Nonlinear Factor,Perturbation Magnitude,Quantum Coherence,Stable
16,5,1,1,0.0,1.0,True
16,5,1,1,0.025628087992285165,0.8797298212464526,True
16,5,1,1,0.0511508646738024,0.7743321807474071,True
16,5,1,1,0.07646345148054894,0.6822785609411267,False
16,5,1,1,0.10146183356380296,0.6021135875589994,False
16,5,1,1,0.12604328720944827,0.5324765414163092,False
16,5,1,1,0.15010680195174966,0.4721143717316974,False
16,5,1,1,0.17355349564702327,0.4198879125365625,False
16,5,1,1,0.19628702080157512,0.37477287468544035,False
16,5,1,1,0.2182139604842194,0.33585700081522196,False
16,5,1,1,0.2392442121964863,0.30233455976691403,False
16,5,1,1,0.25929135812311527,0.27349914299033024,False
16,5,1,1,0.27827302024139455,0.24873552360319964,False
16,5,1,1,0.29611119883012627,0.22751115833885002,False
16,5,1,1,0.312732592987212,0.2093677581510932,False
16,5,1,1,0.32806890183878235,0.19391322589297982,False
16,5,1,1,0.34205710520213845,0.18081415810073498,False
16,5,1,1,0.35463972254919995,0.16978902997691706,False
16,5,1,1,0.3657650492063249,0.16060212498297716,False
16,5,1,1,0.3753873688199042,0.15305822964187712,False
16,5,1,1,0.3834671412146643,0.14699808697356959,False
16,5,1,1,0.38997116487272954,0.14229458552009022,False
16,5,1,1,0.39487271336578006,0.1388496526533339,False
16,5,1,1,0.39815164517967927,0.1365918187173747,False
16,5,1,1,0.39979448648027527,0.13547442086303263,False
16,5,1,1,0.3997944864802752,0.13547442086303263,False
16,5,1,1,0.39815164517967927,0.13659181871737466,False
16,5,1,1,0.39487271336578006,0.1388496526533339,False
16,5,1,1,0.38997116487272954,0.14229458552009017,False
16,5,1,1,0.38346714121466435,0.14699808697356959,False
16,5,1,1,0.37538736881990425,0.15305822964187707,False
16,5,1,1,0.3657650492063251,0.16060212498297702,False
16,5,1,1,0.35463972254920006,0.16978902997691694,False
16,5,1,1,0.3420571052021385,0.18081415810073487,False
16,5,1,1,0.32806890183878246,0.1939132258929798,False
16,5,1,1,0.3127325929872121,0.20936775815109301,False
16,5,1,1,0.2961111988301263,0.22751115833884997,False
16,5,1,1,0.2782730202413946,0.2487355236031996,False
16,5,1,1,0.2592913581231153,0.2734991429903301,False
16,5,1,1,0.2392442121964866,0.30233455976691365,False
16,5,1,1,0.2182139604842196,0.3358570008152216,False
16,5,1,1,0.19628702080157523,0.3747728746854401,False
16,5,1,1,0.17355349564702327,0.41988791253656244,False
16,5,1,1,0.1501068019517498,0.47211437173169724,False
16,5,1,1,0.12604328720944855,0.5324765414163084,False
16,5,1,1,0.10146183356380314,0.6021135875589988,False
16,5,1,1,0.07646345148054902,0.6822785609411264,False
16,5,1,1,0.05115086467380242,0.7743321807474068,True
16,5,1,1,0.025628087992285293,0.879729821246452,True
16,5,1,1,4.898587196589413e-17,0.9999999999999998,True
16,5,1,3,0.0,1.0,True
16,5,1,3,0.00010520312407664675,0.999474122701579,True
16,5,1,3,0.0008364480174143894,0.995826493299719,True
16,5,1,3,0.002794098489356825,0.986126642017925,True
16,5,1,3,0.006528120112503578,0.9678863548980663,True
16,5,1,3,0.012515239947390615,0.9393414825124339,True
16,5,1,3,0.021138839162230996,0.8996997379605318,True
16,5,1,3,0.032672330517085076,0.8492839871181652,True
16,5,1,3,0.04726664398111255,0.7895175471331979,True
16,5,1,3,0.06494229202171951,0.7227358616862251,True
16,5,1,3,0.08558631694238866,0.6518560101899199,False
16,5,1,3,0.1089542422918018,0.5799744596722959,False
16,5,1,3,0.13467696547351435,0.5099794606206642,False
16,5,1,3,0.16227234607347313,0.44425270175013515,False
16,5,1,3,0.19116107082865322,0.38450235925816284,False
16,5,1,3,0.22068621798813604,0.33173093017442895,False
16,5,1,3,0.2501358069035325,0.28631031625064235,False
16,5,1,3,0.27876750808035045,0.24812129977393757,False
16,5,1,3,0.3058346087071056,0.21671480694601156,False
16,5,1,3,0.330612281815322,0.19146286433718201,False
16,5,1,3,0.35242319544177714,0.1716812056941371,False
16,5,1,3,0.3706615219013502,0.1567179463293597,False
16,5,1,3,0.384814465661635,0.14601114445429825,False
16,5,1,3,0.39448051918842547,0.1391221999211164,False
16,5,1,3,0.3993837761551265,0.13575291042872523,False
16,5,1,3,0.3993837761551264,0.13575291042872528,False
16,5,1,3,0.39448051918842547,0.1391221999211164,False
16,5,1,3,0.384814465661635,0.14601114445429825,False
16,5,1,3,0.3706615219013503,0.15671794632935962,False
16,5,1,3,0.35242319544177725,0.17168120569413703,False
16,5,1,3,0.3306122818153221,0.19146286433718196,False
16,5,1,3,0.305834608707106,0.21671480694601106,False
