validated file 0: 21842 score rows, 21586 retained
validated file 1: 21333 score rows, 21077 retained
validated file 2: 21343 score rows, 21087 retained
validated file 3: 28732 score rows, 28476 retained
validated file 4: 28722 score rows, 28466 retained
validated file 5: 28714 score rows, 28458 retained
validated file 6: 28715 score rows, 28459 retained
validated file 7: 28711 score rows, 28455 retained
validated file 8: 28708 score rows, 28452 retained
validated file 9: 28722 score rows, 28466 retained
validated file 10: 28706 score rows, 28450 retained
validated file 11: 28712 score rows, 28456 retained
validated file 12: 28718 score rows, 28462 retained
validated file 13: 28714 score rows, 28458 retained
validated file 14: 28715 score rows, 28459 retained
validated file 15: 28710 score rows, 28454 retained
validated file 16: 28705 score rows, 28449 retained
validated file 17: 28707 score rows, 28451 retained
validated file 18: 26523 score rows, 26267 retained
validated file 19: 28703 score rows, 28447 retained
validated file 20: 28702 score rows, 28446 retained
validated file 21: 28713 score rows, 28457 retained
validated file 22: 28707 score rows, 28451 retained
validated file 23: 28705 score rows, 28449 retained
validated file 24: 28705 score rows, 28449 retained
validated file 25: 28701 score rows, 28445 retained
validated file 26: 28699 score rows, 28443 retained
validated file 27: 28699 score rows, 28443 retained
validated file 28: 28709 score rows, 28453 retained
validated file 29: 28707 score rows, 28451 retained
validated file 30: 28709 score rows, 28453 retained
validated file 31: 28701 score rows, 28445 retained
validated file 32: 28699 score rows, 28443 retained
validated file 33: 28698 score rows, 28442 retained
validated file 34: 28713 score rows, 28457 retained
validated file 35: 28696 score rows, 28440 retained
validated file 36: 28694 score rows, 28438 retained
validated file 37: 28524 score rows, 28268 retained
validated file 38: 28693 score rows, 28437 retained
validated file 39: 28692 score rows, 28436 retained
validated file 40: 28260 score rows, 28004 retained
validated file 41: 28692 score rows, 28436 retained
validated file 42: 28692 score rows, 28436 retained
validated file 43: 28693 score rows, 28437 retained
validated file 44: 27685 score rows, 27429 retained
validated file 45: 27530 score rows, 27274 retained
validated file 46: 28695 score rows, 28439 retained
validated file 47: 28696 score rows, 28440 retained
validated file 48: 28695 score rows, 28439 retained
validated file 49: 28696 score rows, 28440 retained
validated file 50: 28697 score rows, 28441 retained
validated file 51: 28706 score rows, 28450 retained
validated file 52: 28697 score rows, 28441 retained
validated file 53: 28697 score rows, 28441 retained
validated file 54: 28697 score rows, 28441 retained
validated file 55: 28697 score rows, 28441 retained
validated file 56: 28699 score rows, 28443 retained
validated file 57: 28699 score rows, 28443 retained
validated file 58: 28699 score rows, 28443 retained
validated file 59: 28700 score rows, 28444 retained
validated file 60: 28698 score rows, 28442 retained
validated file 61: 28705 score rows, 28449 retained
validated file 62: 28710 score rows, 28454 retained
validated file 63: 28266 score rows, 28010 retained
validated file 64: 28266 score rows, 28010 retained
validated file 65: 28982 score rows, 28726 retained
validated file 66: 28996 score rows, 28740 retained
validated file 67: 28991 score rows, 28735 retained
validated file 68: 28981 score rows, 28725 retained
validated file 69: 28999 score rows, 28743 retained
validated file 70: 28998 score rows, 28742 retained
validated file 71: 28988 score rows, 28732 retained
validated file 72: 28981 score rows, 28725 retained
validated file 73: 28998 score rows, 28742 retained
validated file 74: 29000 score rows, 28744 retained
validated file 75: 28806 score rows, 28550 retained
validated file 76: 28987 score rows, 28731 retained
validated file 77: 28981 score rows, 28725 retained
validated file 78: 28761 score rows, 28505 retained
validated file 79: 28749 score rows, 28493 retained
validated file 80: 28756 score rows, 28500 retained
validated file 81: 28752 score rows, 28496 retained
validated file 82: 28745 score rows, 28489 retained
validated file 83: 28753 score rows, 28497 retained
validated file 84: 28752 score rows, 28496 retained
validated file 85: 28749 score rows, 28493 retained
validated file 86: 28753 score rows, 28497 retained
validated file 87: 28752 score rows, 28496 retained
