timestamp,instrument_value,r_au,lat_deg,lon_deg,x,y,z,in_bounds
1979-07-03T00:00:00+00:00,2.64811,5.289,-5.55,44.0,92,4,7,true
1979-07-03T01:00:00+00:00,2.82161,5.289,-5.55,43.41,92,4,7,true
1979-07-03T02:00:00+00:00,2.86727,5.289,-5.55,42.82,92,4,7,true
1979-07-03T03:00:00+00:00,3.04989,5.289,-5.55,42.23,92,4,7,true
1979-07-03T04:00:00+00:00,2.80335,5.29,-5.55,41.65,92,4,7,true
1979-07-03T05:00:00+00:00,3.68909,5.29,-5.55,41.06,92,4,7,true
1979-07-03T06:00:00+00:00,2.90379,5.29,-5.55,40.47,92,3,7,true
1979-07-03T07:00:00+00:00,2.96771,5.29,-5.55,39.88,92,3,7,true
1979-07-03T08:00:00+00:00,2.73943,5.29,-5.55,39.29,92,3,7,true
1979-07-03T09:00:00+00:00,2.75769,5.291,-5.55,38.7,92,3,7,true
1979-07-03T10:00:00+00:00,3.196,5.291,-5.55,38.11,92,3,7,true
1979-07-03T11:00:00+00:00,2.77595,5.291,-5.55,37.52,92,3,7,true
1979-07-03T12:00:00+00:00,4.53831,5.291,-5.55,36.93,92,3,7,true
1979-07-03T13:00:00+00:00,3.13208,5.291,-5.55,36.34,92,3,7,true
1979-07-03T14:00:00+00:00,2.62985,5.292,-5.55,35.75,92,3,7,true
1979-07-03T15:00:00+00:00,2.26459,5.292,-5.55,35.16,92,3,7,true
1979-07-03T16:00:00+00:00,3.20513,5.292,-5.55,34.57,92,3,7,true
1979-07-03T17:00:00+00:00,2.95858,5.292,-5.55,33.98,92,3,7,true
1979-07-03T18:00:00+00:00,3.04989,5.292,-5.55,33.39,92,3,7,true
1979-07-03T19:00:00+00:00,2.39243,5.293,-5.56,32.8,92,3,7,true
1979-07-03T20:00:00+00:00,2.62985,5.293,-5.56,32.21,92,3,7,true
1979-07-03T21:00:00+00:00,2.35591,5.293,-5.56,31.63,92,3,7,true
1979-07-03T22:00:00+00:00,2.02717,5.293,-5.56,31.04,92,3,7,true
1979-07-03T23:00:00+00:00,3.08033,5.293,-5.56,30.45,92,3,7,true
1979-07-04T00:00:00+00:00,2.11849,5.293,-5.56,29.86,92,3,7,true
1979-07-04T01:00:00+00:00,2.849,5.294,-5.56,29.27,92,3,7,true
1979-07-04T02:00:00+00:00,2.52027,5.294,-5.56,28.68,92,2,7,true
1979-07-04T03:00:00+00:00,3.4882,5.294,-5.56,28.09,92,2,7,true
1979-07-04T04:00:00+00:00,3.50646,5.294,-5.56,27.5,92,2,7,true
1979-07-04T05:00:00+00:00,4.29177,5.294,-5.56,26.91,92,2,7,true
1979-07-04T06:00:00+00:00,3.03163,5.295,-5.56,26.32,92,2,7,true
1979-07-04T07:00:00+00:00,3.44254,5.295,-5.56,25.73,92,2,7,true
1979-07-04T08:00:00+00:00,3.33297,5.295,-5.56,25.14,92,2,7,true
1979-07-04T09:00:00+00:00,2.98597,5.295,-5.56,24.55,92,2,7,true
1979-07-04T10:00:00+00:00,2.9951,5.295,-5.56,23.96,92,2,7,true
1979-07-04T11:00:00+00:00,2.09414,5.296,-5.56,23.37,92,2,7,true
1979-07-04T12:00:00+00:00,2.62072,5.296,-5.56,22.78,92,2,7,true
1979-07-04T13:00:00+00:00,2.01804,5.296,-5.56,22.19,92,2,7,true
1979-07-04T14:00:00+00:00,2.13675,5.296,-5.56,21.6,92,2,7,true
1979-07-04T15:00:00+00:00,2.88553,5.296,-5.56,21.01,92,2,7,true
1979-07-04T16:00:00+00:00,2.59332,5.297,-5.56,20.43,92,2,7,true
1979-07-04T17:00:00+00:00,2.57506,5.297,-5.56,19.84,92,2,7,true
1979-07-04T18:00:00+00:00,3.4882,5.297,-5.56,19.25,92,2,7,true
1979-07-04T19:00:00+00:00,2.39243,5.297,-5.56,18.66,92,2,7,true
1979-07-04T20:00:00+00:00,2.95858,5.297,-5.56,18.07,92,2,7,true
1979-07-04T21:00:00+00:00,2.92205,5.298,-5.56,17.48,92,2,7,true
1979-07-04T22:00:00+00:00,3.54299,5.298,-5.56,16.89,92,1,7,true
1979-07-04T23:00:00+00:00,,5.298,-5.56,16.3,92,1,7,true
1979-07-05T00:00:00+00:00,115.275,5.298,-5.56,15.71,92,1,7,true
1979-07-05T01:00:00+00:00,57.2175,5.298,-5.56,15.12,92,1,7,true
1979-07-05T02:00:00+00:00,2.53853,5.299,-5.56,14.53,92,1,7,true
1979-07-05T03:00:00+00:00,2.92205,5.299,-5.57,13.94,92,1,7,true
1979-07-05T04:00:00+00:00,3.75301,5.299,-5.57,13.35,92,1,7,true
1979-07-05T05:00:00+00:00,3.05902,5.299,-5.57,12.76,92,1,7,true
1979-07-05T06:00:00+00:00,3.08642,5.299,-5.57,12.17,92,1,7,true
1979-07-05T07:00:00+00:00,2.5568,5.3,-5.57,11.58,92,1,7,true
1979-07-05T08:00:00+00:00,2.49288,5.3,-5.57,10.99,92,1,7,true
1979-07-05T09:00:00+00:00,2.90379,5.3,-5.57,10.4,92,1,7,true
1979-07-05T10:00:00+00:00,4.07261,5.3,-5.57,9.81,92,1,7,true
1979-07-05T11:00:00+00:00,3.32384,5.3,-5.57,9.23,92,1,7,true
1979-07-05T12:00:00+00:00,3.09555,5.301,-5.57,8.64,92,1,7,true
1979-07-05T13:00:00+00:00,3.15034,5.301,-5.57,8.05,92,1,7,true
1979-07-05T14:00:00+00:00,5.29622,5.301,-5.57,7.46,92,1,7,true
1979-07-05T15:00:00+00:00,3.85346,5.301,-5.57,6.87,92,1,7,true
1979-07-05T16:00:00+00:00,3.03163,5.301,-5.57,6.28,92,1,7,true
1979-07-05T17:00:00+00:00,2.37417,5.302,-5.57,5.69,92,0,7,true
1979-07-05T18:00:00+00:00,9.29578,5.302,-5.57,5.1,92,0,7,true
1979-07-05T19:00:00+00:00,245.16,5.302,-5.57,4.51,92,0,7,true
1979-07-05T20:00:00+00:00,322.595,5.302,-5.57,3.92,92,0,7,true
1979-07-05T21:00:00+00:00,336.182,5.302,-5.57,3.33,92,0,7,true
1979-07-05T22:00:00+00:00,1556.87,5.303,-5.57,2.74,92,0,7,true
1979-07-05T23:00:00+00:00,565.417,5.303,-5.57,2.15,92,0,7,true
1979-07-06T00:00:00+00:00,1407.26,5.303,-5.57,1.56,92,0,7,true
