epsilon,mean_frustration,b_0,b_1,b_2
0.047140,0.482727,100,0,0
0.090273,0.482727,1,110,0
0.133406,0.482727,1,0,1579
0.176539,0.482727,1,0,6510
0.219672,0.482727,1,0,12104
0.262805,0.482727,1,0,16743
0.305938,0.482727,1,0,27111
0.349071,0.482727,1,0,35913
0.392204,0.482727,1,0,39207
0.435337,0.482727,1,0,52599
0.478470,0.482727,1,0,63065
0.521603,0.482727,1,0,66855
0.564736,0.482727,1,0,81543
0.607869,0.482727,1,0,92329
0.651002,0.482727,1,0,96231
0.694135,0.482727,1,0,110487
0.737268,0.482727,1,0,117005
0.780401,0.482727,1,0,123879
0.823534,0.482727,1,0,135975
0.866667,0.482727,1,0,137289
