Data Type,mean,std,count
-1,4.554024018219828,8.912865394020791,103
0,797.7131784967972,1335.29007762917,7
1,74.3542789360968,105.25594141578271,3
2,4.61686860001006,9.429300071253953,5
3,18.783415838832536,61.888006901156004,12
4,22.45104715994365,59.702424870457634,10
5,2.519926266514909,4.15217636555922,6
6,3.666774150055466,4.49959197864375,8
7,9.253669066665301,1.238955518681046,3
8,1.8207302289088332,3.0057630525772234,7
9,4.642245499999831,6.21474806482626,2
11,8.59309506666269,0.04253050569826079,3
12,2.348285050000243,4.106343996674374,4
