operation,precision_type,execution_time,execution_time,execution_time
,,mean,std,count
Cholesky Decomposition,complex128,,,0
Cholesky Decomposition,complex64,,,0
Cholesky Decomposition,float128,,,0
Cholesky Decomposition,float16,,,0
Cholesky Decomposition,float32,,,0
Cholesky Decomposition,float64,,,0
Cholesky Decomposition,int16,0.00010149533288010086,,1
Cholesky Decomposition,int32,0.026983673000358976,,1
Cholesky Decomposition,int64,0.03321717399982541,,1
Cholesky Decomposition,int8,0.0001223640004657985,,1
Cholesky Decomposition,uint16,8.370966679649428e-05,,1
Cholesky Decomposition,uint32,0.0012106150000666578,,1
Cholesky Decomposition,uint64,0.001715521666483255,,1
Cholesky Decomposition,uint8,8.085533287764217e-05,,1
LU Decomposition,complex128,0.03165102166652408,,1
LU Decomposition,complex64,0.000747793999228937,,1
LU Decomposition,float128,0.03048044233340382,,1
LU Decomposition,float16,0.00026339399967885885,,1
LU Decomposition,float32,0.000700557000527624,,1
LU Decomposition,float64,0.0008264783330863187,,1
LU Decomposition,int16,0.031153899000249414,,1
LU Decomposition,int32,0.0007074293328817779,,1
LU Decomposition,int64,0.0007338546662746618,,1
LU Decomposition,int8,0.0006418806660803966,,1
LU Decomposition,uint16,0.0007291179996779343,,1
LU Decomposition,uint32,0.0006538479998804784,,1
LU Decomposition,uint64,0.0006790570005250629,,1
LU Decomposition,uint8,0.0007166116665757727,,1
Matrix Inversion,complex128,0.8339315776671962,,1
Matrix Inversion,complex64,1.2000683043333993,,1
Matrix Inversion,float128,,,0
Matrix Inversion,float16,,,0
Matrix Inversion,float32,1.1013208573325148,,1
Matrix Inversion,float64,0.964659980666814,,1
Matrix Inversion,int16,0.8650580853330515,,1
Matrix Inversion,int32,1.3386097523325589,,1
Matrix Inversion,int64,1.2994495156672201,,1
Matrix Inversion,int8,0.8160813416676925,,1
Matrix Inversion,uint16,0.9643925999989733,,1
Matrix Inversion,uint32,1.1663951429994388,,1
Matrix Inversion,uint64,1.168429771666221,,1
Matrix Inversion,uint8,1.1335524556670862,,1
Matrix Multiplication,complex128,0.031114015000639483,,1
Matrix Multiplication,complex64,0.0013158876669573754,,1
Matrix Multiplication,float128,0.0005194803343329113,,1
Matrix Multiplication,float16,0.003160120667113612,,1
Matrix Multiplication,float32,3.623233351390809e-05,,1
Matrix Multiplication,float64,2.9020999742594238e-05,,1
Matrix Multiplication,int16,0.0003553019996616058,,1
Matrix Multiplication,int32,0.00038518433332986507,,1
Matrix Multiplication,int64,0.0003261130004830193,,1
Matrix Multiplication,int8,0.0004292110000581791,,1
Matrix Multiplication,uint16,0.000512340666318778,,1
Matrix Multiplication,uint32,0.00025502133333551075,,1
Matrix Multiplication,uint64,0.0002531149996987854,,1
Matrix Multiplication,uint8,0.00045774066650968354,,1
