Data Type,Mean Time (ms),Residual Norm,Status,Source_File,Unnamed: 0,Operation,Matrix Size,FFT Size,Reconstruction Error,Stable,CFL,Spatial Error (L2 Norm)
float16,,,Error: array type float16 is unsupported in linalg,Refined_Linear_Algebra_Benchmarks.csv,,,,,,,,
float32,2898.396689333329,3.6629946862376528e-06,PASS,Refined_Linear_Algebra_Benchmarks.csv,,,,,,,,
float64,2761.8360293333426,4.724186699414458e-13,PASS,Refined_Linear_Algebra_Benchmarks.csv,,,,,,,,
complex64,2401.812389999994,3.478943108348176e-05,PASS,Refined_Linear_Algebra_Benchmarks.csv,,,,,,,,
complex128,2633.972119999991,3.07001258871788e-14,PASS,Refined_Linear_Algebra_Benchmarks.csv,,,,,,,,
complex128,2865.857467666672,3.983916248077412e-14,,Linear_Algebra_Benchmarks.csv,0.0,np.linalg.solve,100x100,,,,,
float32,215.2266236666757,,PASS,FFT_Large-Scale_Benchmark_Results.csv,,,,1000000.0,1.0883026680731496e-16,,,
float64,191.8432800000005,,PASS,FFT_Large-Scale_Benchmark_Results.csv,,,,1000000.0,1.4009273010890582e-16,,,
complex64,195.89167899999893,,PASS,FFT_Large-Scale_Benchmark_Results.csv,,,,1000000.0,1.0270208019571821e-16,,,
complex128,201.0564053333231,,PASS,FFT_Large-Scale_Benchmark_Results.csv,,,,1000000.0,1.4375581567739144e-16,,,
float16,0.0284419999919312,,PASS,FFT_Benchmarks.csv,,,,100.0,6.561306506009518e-17,,,
float32,0.017103000023629,,PASS,FFT_Benchmarks.csv,,,,100.0,6.517773617997778e-17,,,
float64,0.0197329999878093,,PASS,FFT_Benchmarks.csv,,,,100.0,7.87282317733716e-17,,,
complex64,0.0141410000082942,,PASS,FFT_Benchmarks.csv,,,,100.0,6.040153151128634e-17,,,
complex128,0.0103800000109307,,PASS,FFT_Benchmarks.csv,,,,100.0,9.644678523320607e-17,,,
float16,1.0335680000252978,,,PDE_Stability_Benchmarks.csv,,,,,,True,,
float32,0.3858099999926405,,,PDE_Stability_Benchmarks.csv,,,,,,True,,
float64,0.3433259999875797,,,PDE_Stability_Benchmarks.csv,,,,,,True,,
complex64,28.683250666669363,,,PDE_Stability_Benchmarks.csv,,,,,,True,,
complex128,0.7118079999865282,,,PDE_Stability_Benchmarks.csv,,,,,,True,,
float32,6.263365000014194,,PASS,PDE_Wave_Equation_Stability_Benchmarks.csv,,,,,,True,0.5,
float64,4.244539666653206,,PASS,PDE_Wave_Equation_Stability_Benchmarks.csv,,,,,,True,0.5,
complex64,4.670570333322151,,PASS,PDE_Wave_Equation_Stability_Benchmarks.csv,,,,,,True,0.5,
complex128,4.625854000001557,,PASS,PDE_Wave_Equation_Stability_Benchmarks.csv,,,,,,True,0.5,
float32,4.147953000028792,,,PDE_Wave_Equation_Accuracy_Benchmarks.csv,,,,,,,,0.0002377536286616
float64,3.911345000005895,,,PDE_Wave_Equation_Accuracy_Benchmarks.csv,,,,,,,,0.0
complex64,3.8586969999414578,,,PDE_Wave_Equation_Accuracy_Benchmarks.csv,,,,,,,,0.0002377536286616
complex128,4.5073730000240175,,,PDE_Wave_Equation_Accuracy_Benchmarks.csv,,,,,,,,0.0
float32,3030.2993716666533,3.5887966998531145e-06,,Linear_Algebra_Residual_Benchmarks.csv,,,100x100,,,,,
float64,3099.879802999984,7.322415338686013e-14,,Linear_Algebra_Residual_Benchmarks.csv,,,100x100,,,,,
complex64,3068.780706999936,3.5887966998531145e-06,,Linear_Algebra_Residual_Benchmarks.csv,,,100x100,,,,,
complex128,2666.877843999979,6.659487518975747e-14,,Linear_Algebra_Residual_Benchmarks.csv,,,100x100,,,,,
