Data Type,mean,std,count
-1,4.071394532408757,8.156157343384269,51
0,1326.8683093999957,1848.5239363800663,2
1,74.3542789360968,105.25594141578271,3
2,7.293149332933001,12.279179132873356,3
3,1.6577613200007515,2.638202293487062,5
4,5.243225933307031,5.4824757798510575,6
5,3.993650533638485,5.969004103796386,3
6,3.295928650073412,3.847156987774823,4
7,8.386540199995807,,1
8,2.7191274002916113,3.8983436333700205,4
9,0.2477549999952089,,1
11,8.588415099995927,0.059044689023549174,2
12,8.502181599996561,,1
