Element 1,Element 2,Multiplication Result
U*_1a*_9,U*_1b*_9,0
U*_1a*_9,U*_1c*_9,0
U*_1a*_9,U*_1d*_9,0
U*_1a*_9,U*_1e*_9,0
U*_1a*_9,U*_1f*_9,0
U*_1a*_9,U*_1g*_9,0
U*_1a*_9,U*_1h*_9,0
U*_1a*_9,U*_1i*_9,0
U*_1b*_9,U*_1c*_9,0
U*_1b*_9,U*_1d*_9,0
U*_1b*_9,U*_1e*_9,0
U*_1b*_9,U*_1f*_9,0
U*_1b*_9,U*_1g*_9,0
U*_1b*_9,U*_1h*_9,0
U*_1b*_9,U*_1i*_9,0
U*_1c*_9,U*_1d*_9,0
U*_1c*_9,U*_1e*_9,0
U*_1c*_9,U*_1f*_9,0
U*_1c*_9,U*_1g*_9,0
U*_1c*_9,U*_1h*_9,0
U*_1c*_9,U*_1i*_9,0
U*_1d*_9,U*_1e*_9,0
U*_1d*_9,U*_1f*_9,0
U*_1d*_9,U*_1g*_9,0
U*_1d*_9,U*_1h*_9,0
U*_1d*_9,U*_1i*_9,0
U*_1e*_9,U*_1f*_9,0
U*_1e*_9,U*_1g*_9,0
U*_1e*_9,U*_1h*_9,0
U*_1e*_9,U*_1i*_9,0
U*_1f*_9,U*_1g*_9,0
U*_1f*_9,U*_1h*_9,0
U*_1f*_9,U*_1i*_9,0
U*_1g*_9,U*_1h*_9,0
U*_1g*_9,U*_1i*_9,0
U*_1h*_9,U*_1i*_9,0
