,e_1,e_2,e_3,e_4,e_5,e_6,e_7
e_1,0.722,0.0,0.636,0.0,0.263,0.0,0.074
e_2,0.0,0.722,0.0,0.634,0.0,0.278,0.0
e_3,-0.636,0.0,0.458,0.0,0.562,0.0,0.263
e_4,0.0,-0.634,0.0,0.444,0.0,0.634,0.0
e_5,0.263,0.0,-0.562,0.0,0.458,0.0,0.636
e_6,0.0,0.278,0.0,-0.634,0.0,0.722,0.0
e_7,-0.074,0.0,0.263,0.0,-0.636,0.0,0.722
