,Eigenvec_-2.2497,Eigenvec_-2.2497,Eigenvec_-2.2489,Eigenvec_-2.2489,Eigenvec_-2.2454,Eigenvec_-2.2454,Eigenvec_3.9692,Eigenvec_3.9863,Eigenvec_3.9863,Eigenvec_3.9966,Eigenvec_3.9966,Eigenvec_4.0000
Eigenvec_-2.2497,1.0,-4.964578153240617e-18,9.005307008953054e-17,9.866419197611063e-16,-1.0720433703407162e-16,1.0798269568815816e-15,1.75054153870412e-16,5.2988947510254955e-17,-2.3252511032807934e-17,-5.2731487254477626e-18,6.56320800707723e-17,4.212819914348124e-05
Eigenvec_-2.2497,-4.964578153240618e-18,1.0,-3.0054309454238305e-16,3.702671446317597e-16,-2.3114934195815303e-16,4.523975706037233e-17,3.183887371268669e-16,6.756921980133942e-17,-7.850089847193102e-17,-6.263717074537745e-17,4.8501060287570164e-17,6.393298064984115e-05
Eigenvec_-2.2489,9.005307008953054e-17,-3.0054309454238305e-16,1.0,4.300391126800004e-17,-6.807330353853025e-17,3.70790502951778e-16,-1.4573719645480933e-16,-2.6239890855802376e-17,-4.886526505890406e-18,2.116648099108083e-17,3.119751674586426e-17,-0.0003122907227337584
Eigenvec_-2.2489,9.866419197611061e-16,3.702671446317597e-16,4.300391126800003e-17,1.0,5.9176145938299825e-18,-1.052969963131111e-15,6.484055167131542e-17,-4.279435157589523e-17,4.6023689998347825e-17,-3.514709922544349e-17,7.66723430192652e-17,8.333170389875339e-05
Eigenvec_-2.2454,-1.0720433703407162e-16,-2.3114934195815303e-16,-6.807330353853025e-17,5.9176145938299825e-18,1.0,1.7723656416934443e-16,-7.227336390657719e-17,-5.3143690738422464e-17,7.89118190216763e-17,1.8985678901443976e-17,-5.861732619645216e-17,-0.00031192837666996166
Eigenvec_-2.2454,1.0798269568815816e-15,4.523975706037233e-17,3.70790502951778e-16,-1.0529699631311112e-15,1.772365641693444e-16,1.0,-8.627865309405872e-17,6.610316793512613e-18,-4.02767615664906e-17,-4.337376078017384e-17,-1.3088041675500745e-16,-0.00012991995905128984
Eigenvec_3.9692,1.75054153870412e-16,3.183887371268669e-16,-1.4573719645480933e-16,6.484055167131542e-17,-7.227336390657719e-17,-8.627865309405872e-17,0.9999999999999998,-3.0711544991970834e-16,-5.973109474740905e-17,4.389842560271972e-17,6.320061304783515e-17,-0.001079994386593115
Eigenvec_3.9863,5.2988947510254955e-17,6.756921980133942e-17,-2.6239890855802376e-17,-4.279435157589523e-17,-5.314369073842247e-17,6.610316793512614e-18,-3.0711544991970834e-16,1.0,-4.7226892975909194e-17,1.8505687596729514e-16,-1.1417728342649648e-16,-0.014256886139869465
Eigenvec_3.9863,-2.3252511032807937e-17,-7.850089847193102e-17,-4.886526505890406e-18,4.602368999834782e-17,7.891181902167629e-17,-4.02767615664906e-17,-5.973109474740905e-17,-4.7226892975909194e-17,0.9999999999999998,-4.3098436944480616e-16,-3.2438142480489243e-17,-0.5209927887439407
Eigenvec_3.9966,-5.2731487254477626e-18,-6.263717074537744e-17,2.116648099108083e-17,-3.514709922544349e-17,1.8985678901443976e-17,-4.3373760780173843e-17,4.389842560271972e-17,1.8505687596729514e-16,-4.309843694448062e-16,0.9999999999999998,-3.8229567564151794e-17,-0.7089614758163969
Eigenvec_3.9966,6.563208007077231e-17,4.8501060287570164e-17,3.119751674586427e-17,7.667234301926521e-17,-5.861732619645216e-17,-1.3088041675500745e-16,6.320061304783515e-17,-1.1417728342649648e-16,-3.2438142480489243e-17,-3.8229567564151794e-17,1.0,0.038678700987275376
Eigenvec_4.0000,4.212819914348124e-05,6.393298064984115e-05,-0.0003122907227337584,8.333170389875338e-05,-0.00031192837666996166,-0.00012991995905128984,-0.001079994386593115,-0.014256886139869467,-0.5209927887439406,-0.7089614758163969,0.038678700987275376,1.0
