0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(1+0j),(-1+1.732j),(-1.5+2.598j),(-2+3.464j),(-2.5+4.33j),(-3+5.196j),(-3.5+6.062j),(-4+6.928j),(-4.5+7.794j),(-5+8.66j),(-5.5+9.526j),(-6+10.392j),(-6.5+11.258j),(-7+12.124j),(-7.5+12.99j)
0j,(-1+1.732j),(1+0j),(-3+5.196j),(-4+6.928j),(-5+8.66j),(-6+10.392j),(-7+12.124j),(-8+13.856j),(-9+15.588j),(-10+17.321j),(-11+19.053j),(-12+20.785j),(-13+22.517j),(-14+24.249j),(-15+25.981j)
0j,(-1.5+2.598j),(-3+5.196j),(1+0j),(-6+10.392j),(-7.5+12.99j),(-9+15.588j),(-10.5+18.187j),(-12+20.785j),(-13.5+23.383j),(-15+25.981j),(-16.5+28.579j),(-18+31.177j),(-19.5+33.775j),(-21+36.373j),(-22.5+38.971j)
0j,(-2+3.464j),(-4+6.928j),(-6+10.392j),(1+0j),(-10+17.321j),(-12+20.785j),(-14+24.249j),(-16+27.713j),(-18+31.177j),(-20+34.641j),(-22+38.105j),(-24+41.569j),(-26+45.033j),(-28+48.497j),(-30+51.962j)
0j,(-2.5+4.33j),(-5+8.66j),(-7.5+12.99j),(-10+17.321j),(1+0j),(-15+25.981j),(-17.5+30.311j),(-20+34.641j),(-22.5+38.971j),(-25+43.301j),(-27.5+47.631j),(-30+51.962j),(-32.5+56.292j),(-35+60.622j),(-37.5+64.952j)
0j,(-3+5.196j),(-6+10.392j),(-9+15.588j),(-12+20.785j),(-15+25.981j),(1+0j),(-21+36.373j),(-24+41.569j),(-27+46.765j),(-30+51.962j),(-33+57.158j),(-36+62.354j),(-39+67.55j),(-42+72.746j),(-45+77.942j)
0j,(-3.5+6.062j),(-7+12.124j),(-10.5+18.187j),(-14+24.249j),(-17.5+30.311j),(-21+36.373j),(1+0j),(-28+48.497j),(-31.5+54.56j),(-35+60.622j),(-38.5+66.684j),(-42+72.746j),(-45.5+78.808j),(-49+84.87j),(-52.5+90.933j)
0j,(-4+6.928j),(-8+13.856j),(-12+20.785j),(-16+27.713j),(-20+34.641j),(-24+41.569j),(-28+48.497j),(1+0j),(-25.2+43.648j),(-28+48.497j),(-30.8+53.347j),(-33.6+58.197j),(-36.4+63.047j),(-39.2+67.896j),(-42+72.746j)
0j,(-4.5+7.794j),(-9+15.588j),(-13.5+23.383j),(-18+31.177j),(-22.5+38.971j),(-27+46.765j),(-31.5+54.56j),(-25.2+43.648j),(1+0j),(-31.5+54.56j),(-34.65+60.016j),(-37.8+65.472j),(-40.95+70.927j),(-44.1+76.383j),(-47.25+81.839j)
0j,(-5+8.66j),(-10+17.321j),(-15+25.981j),(-20+34.641j),(-25+43.301j),(-30+51.962j),(-35+60.622j),(-28+48.497j),(-31.5+54.56j),(1+0j),(-38.5+66.684j),(-42+72.746j),(-45.5+78.808j),(-49+84.87j),(-52.5+90.933j)
0j,(-5.5+9.526j),(-11+19.053j),(-16.5+28.579j),(-22+38.105j),(-27.5+47.631j),(-33+57.158j),(-38.5+66.684j),(-30.8+53.347j),(-34.65+60.016j),(-38.5+66.684j),(1+0j),(-46.2+80.021j),(-50.05+86.689j),(-53.9+93.358j),(-57.75+100.026j)
0j,(-6+10.392j),(-12+20.785j),(-18+31.177j),(-24+41.569j),(-30+51.962j),(-36+62.354j),(-42+72.746j),(-33.6+58.197j),(-37.8+65.472j),(-42+72.746j),(-46.2+80.021j),(1+0j),(-54.6+94.57j),(-58.8+101.845j),(-63+109.119j)
0j,(-6.5+11.258j),(-13+22.517j),(-19.5+33.775j),(-26+45.033j),(-32.5+56.292j),(-39+67.55j),(-45.5+78.808j),(-36.4+63.047j),(-40.95+70.927j),(-45.5+78.808j),(-50.05+86.689j),(-54.6+94.57j),(1+0j),(-63.7+110.332j),(-68.25+118.212j)
0j,(-7+12.124j),(-14+24.249j),(-21+36.373j),(-28+48.497j),(-35+60.622j),(-42+72.746j),(-49+84.87j),(-39.2+67.896j),(-44.1+76.383j),(-49+84.87j),(-53.9+93.358j),(-58.8+101.845j),(-63.7+110.332j),(1+0j),(-73.5+127.306j)
0j,(-7.5+12.99j),(-15+25.981j),(-22.5+38.971j),(-30+51.962j),(-37.5+64.952j),(-45+77.942j),(-52.5+90.933j),(-42+72.746j),(-47.25+81.839j),(-52.5+90.933j),(-57.75+100.026j),(-63+109.119j),(-68.25+118.212j),(-73.5+127.306j),(1+0j)
