id	url
CORE-DL-PDF	https://core.ac.uk/download/pdf/82141950.pdf
CORE-DL-PDF-DL1	https://core.ac.uk/download/pdf/82141950.pdf?download=1
CORE-DL-PLAIN	https://core.ac.uk/download/82141950.pdf
CORE-READER	https://core.ac.uk/reader/82141950
CORE-DISPLAY	https://core.ac.uk/display/82141950
CORE-WORKS	https://core.ac.uk/works/82141950
CORE-WEBARCHIVE	https://web.archive.org/web/*/https://core.ac.uk/download/pdf/82141950.pdf
SCISPACE-BROWN	https://scispace.com/papers/structure-of-zero-divisors-and-other-algebraic-structures-in-2dzr8sw00c
EAKIN-DOI	https://doi.org/10.1016/0021-8693(90)90221-9
EAKIN-SD-PII-S	https://www.sciencedirect.com/science/article/pii/S0021869390902219
EAKIN-SD-PII-NOS	https://www.sciencedirect.com/science/article/pii/0021869390902219
EAKIN-SD-PII-S-PDFFT	https://www.sciencedirect.com/science/article/pii/S0021869390902219/pdfft
EAKIN-SD-PII-S-PDFFT-DL	https://www.sciencedirect.com/science/article/pii/S0021869390902219/pdfft?isDTMRedir=true&download=true
EAKIN-SD-PII-NOS-PDFFT-DL	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true
EAKIN-SD-PII-NOS-PDF	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdf?md5=33f3d3d19bcdcb137ceddaafe4873896&pid=1-s2.0-0021869390902219-main.pdf
EAKIN-LINKINGHUB	https://linkinghub.elsevier.com/retrieve/pii/S0021869390902219
EAKIN-JALG-ISSUE	https://www.sciencedirect.com/journal/journal-of-algebra/vol/129/issue/2
EAKIN-SUBSTITUTE-MATH0510397	https://arxiv.org/pdf/math/0510397.pdf
