id	url	http_code	content_type	size_download	url_effective	magic	is_pdf	result	sha256	body_path	headers_path	stderr_path
CORE-DL-PDF	https://core.ac.uk/download/pdf/82141950.pdf	503	text/html; charset=iso-8859-1	299	https://files01.core.ac.uk/reader/82141950	<!DOC	0	http_503	5764fed31b533e202f88d735a531f70a4ee3f66bb856afa4277872a758e6b578	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/01_CORE-DL-PDF.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/01_CORE-DL-PDF.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/01_CORE-DL-PDF.curl.err
CORE-DL-PDF-DL1	https://core.ac.uk/download/pdf/82141950.pdf?download=1	503	text/html; charset=iso-8859-1	299	https://files01.core.ac.uk/reader/82141950	<!DOC	0	http_503	5764fed31b533e202f88d735a531f70a4ee3f66bb856afa4277872a758e6b578	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/02_CORE-DL-PDF-DL1.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/02_CORE-DL-PDF-DL1.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/02_CORE-DL-PDF-DL1.curl.err
CORE-DL-PLAIN	https://core.ac.uk/download/82141950.pdf	503	text/html; charset=iso-8859-1	299	https://files01.core.ac.uk/reader/82141950	<!DOC	0	http_503	5764fed31b533e202f88d735a531f70a4ee3f66bb856afa4277872a758e6b578	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/03_CORE-DL-PLAIN.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/03_CORE-DL-PLAIN.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/03_CORE-DL-PLAIN.curl.err
CORE-READER	https://core.ac.uk/reader/82141950	200	text/html; charset=utf-8	2325	https://core.ac.uk/reader/82141950	<!DOC	0	ok_nonpdf	f9d1ee0b03a0a2c2a0541ae14c103c20ea38032c1a441367ca940c765d378155	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/04_CORE-READER.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/04_CORE-READER.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/04_CORE-READER.curl.err
CORE-DISPLAY	https://core.ac.uk/display/82141950	200	text/html; charset=utf-8	17187	https://core.ac.uk/outputs/82141950/	<!DOC	0	ok_nonpdf	6f5f07b4a8c8b05f2b37351c54f5112a7c98be280201d2d0131ff93fd58c9954	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/05_CORE-DISPLAY.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/05_CORE-DISPLAY.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/05_CORE-DISPLAY.curl.err
CORE-WORKS	https://core.ac.uk/works/82141950	200	text/html; charset=utf-8	17781	https://core.ac.uk/works/82141950/	<!DOC	0	ok_nonpdf	d0e8b9f5b6f436c3e5edb5b47c5dbe823ee801810696a40bb366f7134cf19c88	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/06_CORE-WORKS.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/06_CORE-WORKS.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/06_CORE-WORKS.curl.err
CORE-WEBARCHIVE	https://web.archive.org/web/*/https://core.ac.uk/download/pdf/82141950.pdf	200	text/html	35800	https://web.archive.org/web/*/https://core.ac.uk/download/pdf/82141950.pdf	<!DOC	0	ok_nonpdf	c4cbfb6421f092833fe6593ae61476f793b97356b8d0adb07a7fb3528ac2ea24	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/07_CORE-WEBARCHIVE.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/07_CORE-WEBARCHIVE.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/07_CORE-WEBARCHIVE.curl.err
SCISPACE-BROWN	https://scispace.com/papers/structure-of-zero-divisors-and-other-algebraic-structures-in-2dzr8sw00c	405	text/html; charset=UTF-8	2117	https://scispace.com/papers/structure-of-zero-divisors-and-other-algebraic-structures-in-2dzr8sw00c	<!DOC	0	http_405	333907d6857c8e14ac56cbd45a7b54dfb533b059331f52d301986ca054924681	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/08_SCISPACE-BROWN.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/08_SCISPACE-BROWN.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/08_SCISPACE-BROWN.curl.err
EAKIN-DOI	https://doi.org/10.1016/0021-8693(90)90221-9	200	text/html;charset=UTF-8	2669	https://linkinghub.elsevier.com/retrieve/pii/0021869390902219		0	ok_nonpdf	acf8480ab064f8c00992a0ad80b346a5cc7231ef23abd6e34c17eafc05f64057	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/09_EAKIN-DOI.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/09_EAKIN-DOI.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/09_EAKIN-DOI.curl.err
EAKIN-SD-PII-S	https://www.sciencedirect.com/science/article/pii/S0021869390902219	404	text/html	113911	https://www.sciencedirect.com/science/article/pii/S0021869390902219	<!DOC	0	http_404	51919f0e384b3d269e018125f741516edaad5f244a637dfb25cca1010a17d5d4	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/raw/10_EAKIN-SD-PII-S.bin	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/10_EAKIN-SD-PII-S.headers.txt	data/external/intake/2026_02_15_cayley_dickson_sources/mirror_retries/2026_02_15_round3/meta/10_EAKIN-SD-PII-S.curl.err
