# n_ref_cm3=5.600000
# v_ref_kms=515.000000
# u_scale=0.050000
# kn_regime=Kinetic
# kn_max=720014124.13
x,y,z,rho,ux,uy,uz,bx,by,bz
0,0,0,1.26785714,0.05359223,0.00000000,0.00000000,-5.80000000e-3,-1.10000000e-3,-2.30000000e-3
1,0,0,1.21428571,0.05398058,0.00000000,0.00000000,-4.60000000e-3,-1.40000000e-3,-3.30000000e-3
2,0,0,1.12500000,0.05359223,0.00000000,0.00000000,-4.40000000e-3,7.00000000e-4,-3.20000000e-3
3,0,0,0.89285714,0.05233010,0.00000000,0.00000000,-5.40000000e-3,2.00000000e-3,-4.00000000e-4
4,0,0,1.05357143,0.05271845,0.00000000,0.00000000,-1.00000000e-3,-3.60000000e-3,-2.40000000e-3
5,0,0,0.89285714,0.05262136,0.00000000,0.00000000,-2.00000000e-4,8.00000000e-4,-4.00000000e-3
6,0,0,0.78571429,0.05116505,0.00000000,0.00000000,-3.20000000e-3,2.20000000e-3,-1.30000000e-3
7,0,0,0.83928571,0.05174757,0.00000000,0.00000000,-3.00000000e-4,9.00000000e-4,-1.80000000e-3
8,0,0,0.91071429,0.05145631,0.00000000,0.00000000,-1.50000000e-3,3.00000000e-3,-1.40000000e-3
9,0,0,1.05357143,0.05029126,0.00000000,0.00000000,-1.90000000e-3,0.00000000e0,-5.00000000e-4
10,0,0,1.01785714,0.04980583,0.00000000,0.00000000,-3.20000000e-3,-5.00000000e-4,0.00000000e0
11,0,0,1.01785714,0.05029126,0.00000000,0.00000000,1.70000000e-3,-2.70000000e-3,-2.00000000e-3
12,0,0,1.07142857,0.05000000,0.00000000,0.00000000,6.00000000e-4,2.70000000e-3,-5.00000000e-4
13,0,0,1.07142857,0.04990291,0.00000000,0.00000000,1.10000000e-3,2.00000000e-4,-2.10000000e-3
14,0,0,0.94642857,0.04961165,0.00000000,0.00000000,2.90000000e-3,1.80000000e-3,-4.00000000e-4
15,0,0,1.00000000,0.04864078,0.00000000,0.00000000,6.00000000e-4,4.10000000e-3,6.00000000e-4
16,0,0,1.00000000,0.04796117,0.00000000,0.00000000,1.30000000e-3,3.00000000e-3,-1.00000000e-3
17,0,0,1.00000000,0.04708738,0.00000000,0.00000000,7.00000000e-4,1.70000000e-3,-2.00000000e-3
18,0,0,0.89285714,0.04669903,0.00000000,0.00000000,3.10000000e-3,1.00000000e-3,-6.00000000e-4
19,0,0,0.94642857,0.04631068,0.00000000,0.00000000,2.00000000e-3,1.20000000e-3,-1.70000000e-3
20,0,0,0.92857143,0.04631068,0.00000000,0.00000000,9.00000000e-4,2.10000000e-3,-9.00000000e-4
21,0,0,0.92857143,0.04621359,0.00000000,0.00000000,-1.30000000e-3,2.30000000e-3,3.00000000e-4
22,0,0,0.94642857,0.04485437,0.00000000,0.00000000,-3.40000000e-3,1.60000000e-3,-3.00000000e-4
23,0,0,0.91071429,0.04514563,0.00000000,0.00000000,-3.70000000e-3,-1.00000000e-4,6.00000000e-4
0,1,0,1.26785714,0.05359223,0.00000000,0.00000000,-5.80000000e-3,-1.10000000e-3,-2.30000000e-3
1,1,0,1.21428571,0.05398058,0.00000000,0.00000000,-4.60000000e-3,-1.40000000e-3,-3.30000000e-3
2,1,0,1.12500000,0.05359223,0.00000000,0.00000000,-4.40000000e-3,7.00000000e-4,-3.20000000e-3
3,1,0,0.89285714,0.05233010,0.00000000,0.00000000,-5.40000000e-3,2.00000000e-3,-4.00000000e-4
