Module,Category,DataType,Operation,Sample Result,Mean Time (ms),Status,Input Size,Computed Result Sample,UFunc,Computed Sample,Function,R^2,AIC,F-Value,p-value
NumPy,Arithmetic,uint8,Addition,2.0,0.192,PASS,,,,,,,,,
NumPy,,uint16,add,,0.305,PASS,10000 elements,2.0,,,,,,,
NumPy,,uint32,add,,0.05,PASS,10000 elements,2.0,,,,,,,
NumPy,,uint64,add,,0.05,PASS,10000 elements,2.0,,,,,,,
NumPy,,float16,add,,0.192,PASS,10000 elements,4.0,,,,,,,
NumPy,,float32,add,,0.305,PASS,10000 elements,4.0,,,,,,,
NumPy,,float64,add,,0.05,PASS,10000 elements,4.0,,,,,,,
NumPy,,,,,0.21,PASS,10000 elements,,exp(log1p(x)),6.001,,,,,
NumPy,,,,,0.192,PASS,,10.0,sqrt(square(x)),,,,,,
NumPy,,,,,0.019,PASS,,0.1,reciprocal(absolute(x)),,,,,,
NumPy,,,,,0.04,PASS,,0.280794,sin(cos(x)),,,,,,
NumPy,,,,,0.036,PASS,,0.64836,tan(sqrt(x)),,,,,,
NumPy,,,,,0.212,PASS,,1.542,cosh(tanh(x)),,,,,,
NumPy,,,,,0.207,PASS,,3.277,log1p(square(x)),,,,,,
NumPy,,,,,0.213,PASS,,1.68644,sqrt(abs(tan(x))),,,,,,
NumPy,,,,,0.068,PASS,,-1.06001,reciprocal(sin(x)),,,,,,
NumPy,,,,,0.084,PASS,,2.715062,exp(sin(log(x))),,,,,,
Statsmodels,,,,,1.42,PASS,,,,,OLS Regression,0.38,,,
Statsmodels,,,,,326.95,PASS,500 points,,,,"ARIMA(1,1,1)",,1406.04,,
Statsmodels,,,,,6.75,PASS,3 groups,,,,ANOVA,,,0.4091,0.6646
