r_au,mission,max_alignment,best_orient_idx
1.0,ACE,0.9283442907725341,0
1.0,ACE,0.940793886612898,0
1.0,ACE,0.952975467427105,0
1.0,ACE,0.9515743373464557,13
1.0,ACE,0.9537233338702619,0
1.0,ACE,0.9344617872520192,0
1.0,ACE,0.8808414567202013,0
1.0,ACE,0.8575659197255434,8
1.0,ACE,0.8514814330032978,6
1.0,ACE,0.8672251360598433,0
1.0,ACE,0.8777840509697693,13
1.0,ACE,0.8292815591396658,0
1.0,ACE,0.7529762849455475,5
1.0,ACE,0.6960709815874749,1
1.0,ACE,0.7130880864603313,17
1.0,ACE,0.6935076398759962,1
1.0,ACE,0.6925776671081965,1
1.0,ACE,0.6709898077298551,2
1.0,ACE,0.6359083126103141,0
1.0,ACE,0.6374146591283492,6
1.0,ACE,0.7477821617593584,1
1.0,ACE,0.6983250316644095,6
1.0,ACE,0.8272402754484747,1
1.0,ACE,0.7694758827356821,2
1.0,ACE,0.8636313138278995,2
1.0,ACE,0.8025906029537733,0
1.0,ACE,0.7847775372404985,0
1.0,ACE,0.7891289097899276,0
1.0,ACE,0.7301188416662462,10
1.0,ACE,0.8072822631379956,0
1.0,ACE,0.8026753105601665,1
1.0,ACE,0.7933101164123236,0
1.0,ACE,0.8208693813036171,8
1.0,ACE,0.6693983395180568,4
1.0,ACE,0.7396882874649066,0
1.0,ACE,0.8308743468975872,5
1.0,ACE,0.7175573092910789,0
1.0,ACE,0.7135225215845283,0
1.0,ACE,0.5820656538099168,12
1.0,ACE,0.5849888723380395,1
1.0,ACE,0.5251220581467162,0
1.0,ACE,0.5759866244273673,0
1.0,ACE,0.6257555312265076,12
1.0,ACE,0.7187946978724313,13
1.0,ACE,0.6361608106552313,6
1.0,ACE,0.6721615287180985,3
1.0,ACE,0.6338341489112951,1
1.0,ACE,0.5857608789725107,4
1.0,ACE,0.6232506658696677,5
1.0,ACE,0.5255484474346884,0
1.0,ACE,0.6489058491610671,8
1.0,ACE,0.5767387139577924,2
1.0,ACE,0.7644010821734432,0
1.0,ACE,0.6466664046877423,4
1.0,ACE,0.6658616120494727,9
1.0,ACE,0.5425437156707438,0
1.0,ACE,0.5914886793895927,1
1.0,ACE,0.5819756975885929,0
1.0,ACE,0.616404921088496,5
1.0,ACE,0.6411333845079679,0
1.0,ACE,0.7548896072388641,1
1.0,ACE,0.8033595507904461,3
1.0,ACE,0.9064045138970904,10
1.0,ACE,0.9442720040126764,1
1.0,ACE,0.8316730045030826,4
1.0,ACE,0.8415778610244157,0
1.0,ACE,0.9025061932171612,3
1.0,ACE,0.6475735895506193,3
1.0,ACE,0.6693676549996951,14
1.0,ACE,0.587114228512911,0
1.0,ACE,0.5416801887631526,0
1.0,ACE,0.5771221617631463,0
1.0,ACE,0.5898856618716103,2
1.0,ACE,0.6310874581114053,0
1.0,ACE,0.617542038423304,2
1.0,ACE,0.7588145499144678,0
1.0,ACE,0.7219239368914415,3
1.0,ACE,0.8279952053889612,7
1.0,ACE,0.7061365429904282,4
1.0,ACE,0.8720668531043765,1
1.0,ACE,0.6192490522083748,2
1.0,ACE,0.7311527126294404,0
1.0,ACE,0.6957044707201862,4
1.0,ACE,0.6273274142349373,3
1.0,ACE,0.8300113928550517,1
1.0,ACE,0.662033067261751,5
1.0,ACE,0.7113804748280763,3
1.0,ACE,0.5892393899705793,0
1.0,ACE,0.5840962144608555,0
1.0,ACE,0.6004216303741879,1
1.0,ACE,0.6369573199265851,2
1.0,ACE,0.5954081648742541,4
1.0,ACE,0.5928218458189976,0
1.0,ACE,0.7256637943977722,1
1.0,ACE,0.5051327507047028,0
1.0,ACE,0.7689993631511035,1
1.0,ACE,0.7727924183891414,0
1.0,ACE,0.8233019959173774,0
1.0,ACE,0.9319971899802202,0
1.0,ACE,0.8691400952137331,8
1.0,ACE,0.902711825190072,0
1.0,ACE,0.8517705855299915,15
1.0,ACE,0.8615566200602446,0
1.0,ACE,0.8349523270264121,4
1.0,ACE,0.8588575251263196,1
1.0,ACE,0.9176447455562237,0
1.0,ACE,0.927791543949647,0
1.0,ACE,0.9930335259228871,1
1.0,ACE,0.8975199762879712,1
1.0,ACE,0.9095363397432417,1
1.0,ACE,0.9080110403200192,0
1.0,ACE,0.7752216444506479,0
1.0,ACE,0.8639019023677389,4
1.0,ACE,0.8310990425979157,3
1.0,ACE,0.8673110520750447,0
1.0,ACE,0.9739083062103292,3
1.0,ACE,0.9344001700929951,0
1.0,ACE,0.9283623261559187,0
1.0,ACE,0.7909472293966404,3
1.0,ACE,0.8372332359134012,0
1.0,ACE,0.6928829387572254,0
1.0,ACE,0.84999244535005,7
1.0,ACE,0.9187746842008154,1
1.0,ACE,0.8160967123177847,0
