r_center_au,lat_center_deg,mean_associator,median_associator,max_associator,sample_count,mission_diversity
2.5,-45.0,3.370629058902045,2.898744022809676,11.98878760479611,123,1
2.5,-35.0,3.051826569552213,2.3321704321933203,22.74026648162782,588,1
2.5,-25.0,2.9272307503663635,2.1966012527855368,12.113333067314771,321,1
2.5,-15.0,2.914601698825885,2.483921751783116,13.967369693341777,301,1
2.5,-5.0,4.934442606016886,3.797161185386975,40.16989566760953,10765,5
2.5,5.0,4.057316083960891,3.3118011001157,33.92604798772202,57156,9
2.5,15.0,3.3179575378441943,2.6911074156065107,14.838552679124971,294,1
2.5,25.0,2.8671898795655273,2.2123898671632745,14.782260407713622,282,1
2.5,35.0,3.6350216562229125,2.900855756939325,21.32286228597531,253,1
2.5,45.0,6.00303418502554,5.589926617868451,21.996976977666364,74,1
107.5,-35.0,1.5034268439001546,1.158656766508637,2.6306168412834414,22,1
112.5,-35.0,2.883180257274147,1.8146663175121849,31.705393596574837,2824,1
132.5,35.0,0.16237377048854132,0.14795073174877177,1.3312410239818504,1072,1
137.5,35.0,0.162592356350409,0.14496742438188903,1.061906615127387,1617,1
